"Members – Detailed Contract Expenditures Report – Sidhu, Maninder – Q2 2021"
Supplier,Description,Date,Total
"Facebook ",Advertising,2020/04/06,250.62
PAKISTAN POST,Advertising,2020/04/10,37.50
"Facebook ",Advertising,2020/04/27,300.00
"Facebook ",Advertising,2020/04/30,155.85
"Facebook ",Advertising,2020/05/16,500.59
"Facebook ",Advertising,2020/05/19,500.00
"Facebook ",Advertising,2020/05/24,750.00
Improve Art Inc.,Professional Communication Services,2020/05/26,850.00
Improve Art Inc.,Professional Communication Services,2020/05/26,250.00
Improve Art Inc.,External Printing Costs,2020/05/26,100.00
Improve Art Inc.,Professional Communication Services,2020/05/26,175.00
Improve Art Inc.,Professional Communication Services,2020/05/26,175.00
Micro Printing Ltd.,Constituency Mail,2020/05/26,2100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,168.79
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Zoom,Photography and Video Services,2020/06/18,200.00
"Staples ",Cleaning Products,2020/06/19,25.97
Gujarat Weekly Inc.,Advertising,2020/06/26,90.00
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/27,86.97
"Amazon ",Consumable Items for Constituency Offices (COVID19),2020/06/29,29.98
"Bajwa, Jasmeet",Consumable Items for Constituency Offices (COVID19),2020/06/29,1000.00
"Dodge Chemical Company (Canada) Ltd, The",Consumable Items for Constituency Offices (COVID19),2020/06/30,160.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers,Cable and Internet Fees,2020/07/01,214.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,149.25
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,9.75
Improve Art Inc.,Professional Communication Services,2020/07/06,250.00
Improve Art Inc.,Professional Communication Services,2020/07/06,500.00
PARVASI WEEKLY INC.,Advertising,2020/07/06,500.00
ASIAN WORLD TODAY INC.,Advertising,2020/07/07,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,3.20
CANADIAN PUNJABI POST,Advertising,2020/07/16,300.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.04
Cambrian Springs,Spring Water,2020/07/31,13.99
MONTEREY PARK INC.,Office Rental and Related Fees,2020/08/01,3622.67
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,203.75
Improve Art Inc.,Photography and Video Services,2020/08/06,850.00
"Dodge Chemical Company (Canada) Ltd, The",Consumable Items for Constituency Offices (COVID19),2020/08/07,128.00
Micro Printing Ltd.,External Printing Costs,2020/08/10,400.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
"Rogers ",Cable and Internet Fees,2020/08/24,214.99
Micro Printing Ltd.,External Printing Costs,2020/08/26,500.00
"Cambrian Springs ",Spring Water,2020/08/31,13.99
MONTEREY PARK INC.,Office Rental and Related Fees,2020/09/01,3622.67
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Canada Post – Postes Canada,Courier Services,2020/09/23,21.97
Improve Art Inc.,Photography and Video Services,2020/09/24,750.00
MONTEREY PARK INC.,Office Rental and Related Fees,2020/10/01,3622.67
