"Members – Detailed Contract Expenditures Report – Serré, Marc – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Internet (COVID19),2020/04/01,100.95
Dollarama,Cleaning Products,2020/04/19,6.50
BELL CANADA,Internet (COVID19),2020/05/01,100.95
Xplornet,Internet (COVID19),2020/05/06,77.99
Videotron,Internet (COVID19),2020/05/08,40.00
Costco,Cleaning Products,2020/05/20,17.99
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
BELL CANADA,Internet (COVID19),2020/06/01,100.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,133.75
Eastlink,Internet (COVID19),2020/06/04,55.00
Poste Canada,Postage and Parcel Post,2020/06/04,10.82
Xplornet,Internet (COVID19),2020/06/06,77.99
Purolator,Courier Services,2020/06/12,5.38
Zoom Video Communications Inc.,Licence Renewal,2020/06/14,20.00
King Sportswear,Advertising,2020/06/15,1000.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Publication Voyageur,Advertising,2020/06/17,219.75
"Capreol Express,The",Advertising,2020/06/22,97.50
Enbridge Gas Inc.,Public Utilities,2020/06/22,51.66
HYDRO ONE NETWORKS INC.,Public Utilities,2020/06/22,172.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,6.46
ALARMNORTH SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/06/24,195.00
Publication Voyageur,Advertising,2020/06/24,221.25
TRIBUNE/SF PRINTING,Advertising,2020/06/24,395.00
King Sportswear,Consumable Items for Constituency Offices (COVID19),2020/06/29,68.00
King Sportswear,Consumable Items for Constituency Offices (COVID19),2020/06/29,68.00
Village Media Inc,Advertising,2020/06/29,200.00
Grand & Toy,Cleaning Products,2020/06/30,202.11
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,28.08
Grand & Toy,Bulk Paper Purchases,2020/06/30,79.96
Postmedia Network Inc.,Advertising,2020/06/30,250.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.00
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/07/01,30.00
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/07/01,194.34
NGP Van,Professional Communication Services,2020/07/01,65.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,128.50
Sunwire Inc.,Cable and Internet Fees,2020/07/01,169.95
Costco,Toner,2020/07/02,89.99
ALARMNORTH SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/07/03,179.94
Eastlink,Internet (COVID19),2020/07/03,55.00
TRIBUNE/SF PRINTING,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,71.43
EASTLINK,Cable and Internet Fees,2020/07/10,231.15
Zoom Video Communications Inc.,Licence Renewal,2020/07/14,20.00
"Capreol Express,The",Advertising,2020/07/16,97.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.70
Reliable Maintenance Products,Consumable Items for Constituency Offices (COVID19),2020/07/20,118.42
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/22,90.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,8.26
Enbridge Gas Inc.,Public Utilities,2020/07/23,22.50
ALARM NORTH SECURITY,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/07/24,35.00
Bclan Highway Signs,Advertising,2020/07/31,600.00
1085967 Ontario Limited,Office Rental and Related Fees,2020/08/01,2600.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,16.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.00
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/08/01,85.32
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/08/01,30.00
MORRISON EXCAVATING SERVICES INC.,Office Rental and Related Fees,2020/08/01,250.00
NGP Van Inc.,Professional Communication Services,2020/08/01,65.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,151.09
Sunwire Inc.,Cable and Internet Fees,2020/08/01,192.05
EASTLINK,Cable and Internet Fees,2020/08/10,229.32
Crystal North Inc,Spring Water,2020/08/12,45.00
Les cartouches d'encre Inko,Toner,2020/08/12,50.58
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
"Capreol Express,The",Advertising,2020/08/15,97.50
Mr. Gate's Renos,Office Renovations,2020/08/20,70.00
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/21,172.00
Purolator,Courier Services,2020/08/28,5.50
1085967 Ontario Limited,Office Rental and Related Fees,2020/09/01,2600.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,64.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,64.00
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/09/01,105.90
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/09/01,32.55
MORRISON EXCAVATING SERVICES INC.,Office Rental and Related Fees,2020/09/01,250.00
NGP Van Inc.,Advertising,2020/09/01,65.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Sunwire Inc.,Cable and Internet Fees,2020/09/01,192.03
EASTLINK,Cable and Internet Fees,2020/09/10,241.39
O.F.R.C.,Advertising,2020/09/11,300.00
Publication Voyageur,Advertising,2020/09/16,258.00
