"Members – Detailed Travel Expenditures Report – Serré, Marc – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202853,2020/06/01,2020/06/30,,,,,,,531.0600,0.0000,0.0000,0,0,0,531.06
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/10,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/23,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/23,Greater Sudbury,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/24,Verner,West Nipissing,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/24,West Nipissing,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/26,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/26,Greater Sudbury,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/10,Greater Sudbury,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/12,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/12,Greater Sudbury,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/16,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/16,Greater Sudbury,Verner,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/18,Verner,Greater Sudbury,,,,,,,
T0202853,2020/06/01,2020/06/30,"Serré, Marc",Member,To attend a constituency or community event,2020/06/18,Greater Sudbury,Verner,,,,,,,
