"Members – Detailed Contract Expenditures Report – Strahl, Mark – Q2 2021"
Supplier,Description,Date,Total
Facebook,Advertising,2020/05/31,799.85
Konica Minolta,Photocopier Rental and Related Costs,2020/05/31,87.78
ShredMasters,Shredding,2020/05/31,49.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,161.75
Staples,Cleaning Products,2020/06/24,41.70
Staples,Computer Equipment,2020/06/24,53.49
"Natural, The",Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/28,3500.00
"Natural, The",Office Renovations,2020/06/28,830.00
Envision Financial,Banking Fees and Cheque Orders,2020/06/30,12.00
Facebook,Advertising,2020/06/30,200.15
Grand & Toy,Bulk Paper Purchases,2020/06/30,115.98
Grand & Toy,Cleaning Products,2020/06/30,275.66
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,142.70
Konica Minolta,Photocopier Rental and Related Costs,2020/06/30,60.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,155.75
Shaw,Cable and Internet Fees,2020/07/01,229.21
Fortis BC,Public Utilities,2020/07/02,33.14
M&J Cleaning Services,Janitorial Services and Maintenance,2020/07/02,50.00
Envision Financial,Banking Fees and Cheque Orders,2020/07/06,1.00
Mailchimp,Professional Communication Services,2020/07/09,86.45
Envision Financial,Banking Fees and Cheque Orders,2020/07/16,1.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.71
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,273.91
Envision Financial,Banking Fees and Cheque Orders,2020/07/31,11.00
Facebook,Advertising,2020/07/31,1000.00
Fortis BC,Public Utilities,2020/07/31,27.51
Grand & Toy,Cleaning Products,2020/07/31,86.21
ShredMasters,Shredding,2020/07/31,49.00
376373 B.C. LTD.,Office Rental and Related Fees,2020/08/01,2470.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,205.50
Shaw,Cable and Internet Fees,2020/08/01,229.21
BC Hydro,Public Utilities,2020/08/06,330.51
Urdu Journal,Advertising,2020/08/06,63.38
Mailchimp,Professional Communication Services,2020/08/09,85.03
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/08/12,53.39
Envision Financial,Banking Fees and Cheque Orders,2020/08/13,1.00
Facebook,Advertising,2020/08/21,1108.00
Home Depot,Office Equipment,2020/08/28,79.74
Home Depot,Office Equipment,2020/08/28,126.26
Envision Financial,Banking Fees and Cheque Orders,2020/08/31,9.00
Facebook,Advertising,2020/08/31,892.00
376373 B.C. LTD.,Office Rental and Related Fees,2020/09/01,2470.95
Envision Financial,Banking Fees and Cheque Orders,2020/09/01,1.00
Fortis BC,Public Utilities,2020/09/01,30.77
M&J Cleaning Services,Janitorial Services and Maintenance,2020/09/01,60.00
Shaw,Cable and Internet Fees,2020/09/01,229.21
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/18,274.36
Canada Post – Postes Canada,Courier Services,2020/09/23,60.38
Canada Post – Postes Canada,Courier Services,2020/09/23,108.94
Canada Post – Postes Canada,Courier Services,2020/09/23,16.88
376373 B.C. LTD.,Office Rental and Related Fees,2020/10/01,2470.95
