"Members – Detailed Contract Expenditures Report – Martinez Ferrada, Soraya – Q2 2021"
Supplier,Description,Date,Total
Canva,Computer Software,2020/04/17,16.9900
Facebook,Advertising,2020/05/11,202.9400
Canva,Computer Software,2020/05/17,16.9900
Facebook,Advertising,2020/06/02,200.0000
Projet Harmonie,Advertising,2020/06/03,250.0000
CLAN CREATIF INC.,Professional Communication Services,2020/06/10,136.7600
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/16,15.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Canva,Computer Software,2020/06/17,16.9900
BERA marketing,Advertising,2020/06/22,650.0000
Clan Créatif,Professional Communication Services,2020/06/23,16.9700
Il Cittadino Canadese,Advertising,2020/06/23,71.0000
Marie-Josée Condrain,Advertising,2020/06/23,200.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,2.5200
Facebook,Advertising,2020/06/24,192.5800
Imprimerie RDI,External Printing Costs,2020/06/25,1604.0000
Expert Sanitaire,Consumable Items for Constituency Offices (COVID19),2020/06/26,32.0000
Métro Média,Advertising,2020/06/27,1041.0000
Métro Média,Advertising,2020/06/27,72.0000
Radio Humsafar,Advertising,2020/06/27,40.0000
The Filipino Forum,Advertising,2020/06/29,75.0000
The North American Filipino Star,Advertising,2020/06/29,73.5300
El Chasqui Latino Inc.,Advertising,2020/06/30,29.4100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,289.6300
Grand & Toy,Bulk Paper Purchases,2020/06/30,89.4000
Grand & Toy,Cleaning Products,2020/06/30,54.1200
"SUBURBAN, THE",Advertising,2020/06/30,129.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,52.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,193.8400
BERA marketing,Advertising,2020/07/01,250.0000
Factus Médias Inc.,Advertising,2020/07/01,87.9400
Jean D'Arc Nova Scotia Company,"Office Rentals, Taxes, Common Area Fees",2020/07/01,85.0000
La Presse Chinoise,Advertising,2020/07/01,82.3500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Zigzag Roman-Canadian Inc,Advertising,2020/07/01,22.5000
Montreal Community Contact,Advertising,2020/07/02,58.8200
Zoom Vidéo Communications Inc.,Licence Renewal,2020/07/02,136.0000
Vidéotron ltée.,Cable and Internet Fees,2020/07/03,175.9500
Maghreb Canada Express,Advertising,2020/07/07,29.4100
Expert Sanitaire,Consumable Items for Constituency Offices (COVID19),2020/07/08,75.0000
Métro Média,Advertising,2020/07/11,1041.0000
Imprimerie RDI,Constituency Mail,2020/07/13,7959.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,41.3100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.5300
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/20,644.4200
SAWID,Advertising,2020/07/22,35.2900
Facebook,Advertising,2020/07/23,238.6200
Facebook,Advertising,2020/07/23,161.3800
Facebook,Advertising,2020/07/24,2.1500
Serrurier Sirois Inc.,Repair of Telecommunication Equipment,2020/07/27,301.0000
Ikea,Office Decor,2020/07/29,198.0000
Ikea,Office Plants and Flowers,2020/07/29,169.9600
Ikea,"Framing, Outside Supplier",2020/07/29,228.7700
"Fortier, Jean-François",Janitorial Services and Maintenance,2020/07/31,170.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,31.1500
3091-2703 QUÉBEC INC.,Advertising,2020/08/01,100.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,193.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,165.4400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Jean D'Arc Nova Scotia Company,Office Rental and Related Fees,2020/08/01,3321.0000
Jean D'Arc Nova Scotia Company,"Office Rentals, Taxes, Common Area Fees",2020/08/01,85.0000
Maghreb Canada Express,Advertising,2020/08/01,29.4100
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/08/01,123.6000
BERA marketing,Advertising,2020/08/03,250.0000
"Poésie Partout, La",Advertising,2020/08/06,250.0000
TABLE DE QUARTIER HOCHELAGA-MAISONNEUVE,Advertising,2020/08/07,500.0000
Vidéotron ltée,Cable and Internet Fees,2020/08/07,175.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Ikea,Office Furniture and Fixtures,2020/08/17,179.0000
Ikea,Office Furniture and Fixtures,2020/08/17,174.0000
Ikea,Office Furniture and Fixtures,2020/08/17,260.0000
Ikea,Office Furniture and Fixtures,2020/08/17,249.0000
Radio Humsafar,Advertising,2020/08/19,40.0000
Facebook,Advertising,2020/08/24,46.3600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,225.3600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,193.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,208.2000
