"Members – Detailed Hospitality Expenditures Report – Jeneroux, Matt – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0244129,Costco,38.99
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0240976,Safeway,2.10
2020/05/09,Edmonton,2,To meet constituents,Hosting a meeting,M0240503,Starbucks,13.25
2020/06/06,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Safeway,6.60
2020/06/08,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,16.50
2020/06/11,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Cafe Blackbird,14.95
2020/06/12,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Krew Cafe,9.84
2020/06/13,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,7.10
2020/06/14,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,7.10
2020/06/16,Edmonton,2,To meet constituents,Hosting a meeting,M0240503,Starbucks,11.85
2020/06/17,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Cafe Blackbird,13.75
2020/06/18,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Hart's Table & Bar,48.62
2020/06/18,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Credo,9.05
2020/06/19,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Starbucks,7.50
2020/06/21,Edmonton,2,To meet constituents,Hosting a meeting,M0240521,Starbucks,23.65
2020/06/26,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Bicyclette,15.05
2020/06/27,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,Starbucks,14.25
2020/06/27,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,State & Main,49.61
2020/06/28,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Safeway,6.60
2020/07/02,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,The Provincial Pub,35.44
2020/07/03,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Starbucks,9.50
2020/07/05,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,Starbucks,11.85
2020/07/09,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Second Cup,8.65
2020/07/10,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,9.10
2020/07/15,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Toast Culture,46.97
2020/07/16,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,12.05
2020/07/17,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,8.20
2020/07/19,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,safeway,6.60
2020/07/22,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,New York Bagel Cafe,75.63
2020/07/25,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,9.50
2020/07/25,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Credo Coffee,9.45
2020/07/29,Edmonton,2,To meet constituents,Hosting a meeting,M0244126,Starbucks,10.30
2020/08/08,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,starbucks,7.10
2020/08/09,Edmonton,3,To meet constituents,Hosting a meeting,M0245253,Starbucks,11.85
2020/08/12,Edmonton,3,To meet visitors of Member’s office,Hosting a staff event,M0245255,costco,38.99
2020/08/15,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,Peters Drive In,34.45
2020/08/18,Edmonton,2,To meet constituents,Hosting a meeting,M0246668,Starbucks,7.10
2020/08/21,Ottawa,3,To meet visitors of Member’s office,Hosting a staff event,M0245255,Shoppers Drug Mart,6.78
2020/08/27,Edmonton,2,To meet constituents,Hosting a meeting,M0246696,Earl's,16.20
2020/08/28,Edmonton,2,To meet constituents,Hosting a meeting,M0246696,Starbucks,7.50
2020/08/28,Edmonton,2,To meet constituents,Hosting a meeting,M0246668,McDonalds,2.00
2020/09/01,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Provincial Pub,59.29
2020/09/03,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,New York Bagel Cafe,79.86
2020/09/04,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Good Earth Coffeehouse,5.45
2020/09/05,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Credo,7.15
2020/09/07,Edmonton,3,To meet constituents,Hosting a meeting,M0247339,A & W,27.85
2020/09/10,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Starbucks,7.10
2020/09/13,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Starbucks,9.90
2020/09/13,Edmonton,3,To meet constituents,Hosting a meeting,M0247339,Saratoga Restaurant,61.78
2020/09/16,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,The Provincial Pub,30.60
2020/09/20,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,Starbucks,9.50
2020/09/20,Edmonton,2,To meet constituents,Hosting a meeting,M0247969,Barb & Ernie's Restaurant,59.66
2020/09/21,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,The Provincial Pub,31.00
2020/09/22,Edmonton,3,To meet constituents,Hosting a meeting,M0247969,A & W,27.85
