"Members – Detailed Contract Expenditures Report – McLean, Greg – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,425.0000
Shaw Direct,Internet (COVID19),2020/06/16,100.0000
Rogers Communications Canada Inc.,Internet (COVID19),2020/06/20,68.9900
First on Colour,Constituency Mail,2020/06/22,3258.0000
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/22,49.9500
Amazon.ca,Cleaning Products,2020/06/23,44.9900
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/06/23,12.9900
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/06/23,17.5600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,5.1600
Michaels,"Office Supplies, Stationery and Accessories",2020/06/29,23.9800
Party City,Promotional Items,2020/06/29,71.3400
Ci2 Group Inc,Service and/or Equipment Changes,2020/06/30,1500.0000
Ci2 Group Inc,Office Furniture and Fixtures,2020/06/30,69.9900
Ci2 Group Inc,Computer Equipment,2020/06/30,41.9800
GDI Services (Canada) LP,Janitorial Services and Maintenance,2020/06/30,261.7700
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,54.5200
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,297.8800
Grand & Toy,Bulk Paper Purchases,2020/06/30,89.4000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,616.0000
Scotiabank,Banking Fees and Cheque Orders,2020/06/30,10.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,9.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,156.8800
SCREO Calgary Office L.P.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/02,230.0000
Strategy Portal Inc.,Communications Officer,2020/07/03,3750.0000
Nespresso Canada,Appliances,2020/07/06,29.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,37.2000
Calgary Police Service,Protection and Alarm Monitoring (Member's Office Budget),2020/07/15,20.0000
Shaw Direct,Cable and Internet Fees,2020/07/15,215.0000
Shaw Direct,Internet (COVID19),2020/07/16,100.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,12.9400
Advantages Advertising,Freight,2020/07/20,22.9300
Advantages Advertising,"Office Supplies, Stationery and Accessories",2020/07/20,53.8500
TekSavvy Solutions Inc.,Internet (COVID19),2020/07/22,49.9500
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/07/24,9.9800
London Drugs,"Office Supplies, Stationery and Accessories",2020/07/24,24.9900
Bell Canada,Internet (COVID19),2020/07/27,79.9500
Bell Canada,Internet (COVID19),2020/07/27,79.9500
Amazon.ca,Voice Communication Equipment,2020/07/31,10.9900
GDI Services (Canada) LP,Janitorial Services and Maintenance,2020/07/31,261.7700
Grand & Toy,Cleaning Products,2020/07/31,8.2800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,33.9600
Scotiabank,Banking Fees and Cheque Orders,2020/07/31,10.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,10.7000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,210.4100
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/03,169.0000
Costco Wholesale,Consumable Items for Constituency Offices (COVID19),2020/08/05,89.9700
Long & McQuade Musical Instruments,Photographic Equipment,2020/08/12,109.0000
Shaw Direct,Cable and Internet Fees,2020/08/15,215.0000
Shaw Direct,Internet (COVID19),2020/08/16,100.0000
Best Buy,Photographic Equipment,2020/08/18,34.9900
TekSavvy Solutions Inc.,Internet (COVID19),2020/08/22,49.9500
Best Buy,Photographic Equipment,2020/08/25,69.9900
Bell Canada,Internet (COVID19),2020/08/27,79.9500
Canada Post Corporation,Postage and Parcel Post,2020/08/31,58.8000
Canada Post Corporation,"Office Supplies, Stationery and Accessories",2020/08/31,13.9700
GDI Services (Canada) LP,Janitorial Services and Maintenance,2020/08/31,261.7700
Scotiabank,Banking Fees and Cheque Orders,2020/08/31,10.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,23.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,189.3200
Costco Wholesale,Spring Water,2020/09/01,8.5000
Costco Wholesale,Cleaning Products,2020/09/01,62.2600
Alberta Jewish News,Advertising,2020/09/09,357.5000
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/09/14,19.9900
Shaw Direct,Cable and Internet Fees,2020/09/15,215.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.8400
Canada Post – Postes Canada,Courier Services,2020/09/23,23.5200
Canada Post – Postes Canada,Courier Services,2020/09/23,14.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,27.6500
Canada Post – Postes Canada,Courier Services,2020/09/23,87.0400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9900
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/25,308.0000
