"Members – Detailed Travel Expenditures Report – Arnold, Mel – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204097,2020/05/17,2020/07/17,,,,,,,0.0000,64.9900,0.0000,0,0,0,64.99
T0204097,2020/05/17,2020/07/17,"Arnold, Mel",Member,Secondary Residence,2020/06/17,Ottawa,Ottawa,,,,,,,
T0204097,2020/05/17,2020/07/17,"Arnold, Mel",Member,Secondary Residence,2020/05/17,Ottawa,Ottawa,,,,,,,
T0203282,2020/05/30,2020/06/05,,,,,,,2410.3400,0.0000,245.5800,1.0000,0,0,2655.92
T0203282,2020/05/30,2020/06/05,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2020/05/30,Salmon Arm,Ottawa,,,,,,,
T0203282,2020/05/30,2020/06/05,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2020/06/05,Ottawa,Salmon Arm,,,,,,,
T0204092,2020/07/28,2020/08/27,,,,,,,0.0000,161.8600,0.0000,0,0,0,161.86
T0204092,2020/07/28,2020/08/27,"Arnold, Mel",Member,Secondary Residence,2020/07/28,Ottawa,Ottawa,,,,,,,
200430662,2020/08/01,2020/08/31,,,,,,,0.0000,1971.3500,0.0000,0,0,0,1971.35
200430662,2020/08/01,2020/08/31,"Arnold, Mel",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204653,2020/08/23,2020/08/28,,,,,,,2396.9000,0.0000,315.6700,1.0000,0,0,2712.57
T0204653,2020/08/23,2020/08/28,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2020/08/23,Salmon Arm,Ottawa,,,,,,,
T0204653,2020/08/23,2020/08/28,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2020/08/28,Ottawa,Salmon Arm,,,,,,,
200437144,2020/09/01,2020/09/30,,,,,,,0.0000,1971.3500,0.0000,0,0,0,1971.35
200437144,2020/09/01,2020/09/30,"Arnold, Mel",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204658,2020/09/03,2020/09/05,,,,,,,172.6600,362.6900,118.6500,0,1.0000,0,654.00
T0204658,2020/09/03,2020/09/05,"Arnold, Mel",Member,To attend a regional or provincial caucus meeting,2020/09/03,Salmon Arm,Penticton,,,,,,,
T0204658,2020/09/03,2020/09/05,"Arnold, Mel",Member,To attend a regional or provincial caucus meeting,2020/09/05,Penticton,Salmon Arm,,,,,,,
200442005,2020/10/01,2020/10/31,,,,,,,0.0000,1971.3500,0.0000,0,0,0,1971.35
200442005,2020/10/01,2020/10/31,"Arnold, Mel",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
