"Members – Detailed Travel Expenditures Report – Barrett, Michael – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202815,2020/06/22,2020/06/30,,,,,,,185.5800,0.0000,0.0000,0.0000,0,0,185.58
T0202815,2020/06/22,2020/06/30,"Ilashchuk, Iuliia",Employee,Attending event with Member,2020/06/22,Ottawa,Kemptville,,,,,,,
T0202815,2020/06/22,2020/06/30,"Ilashchuk, Iuliia",Employee,Attending event with Member,2020/06/22,Kemptville,Ottawa,,,,,,,
T0202815,2020/06/22,2020/06/30,"Ilashchuk, Iuliia",Employee,Attending event with Member,2020/06/30,Ottawa,Brockville,,,,,,,
T0202815,2020/06/22,2020/06/30,"Ilashchuk, Iuliia",Employee,Attending event with Member,2020/06/30,Brockville,Ottawa,,,,,,,
T0202806,2020/06/24,2020/07/03,,,,,,,210.8600,0.0000,0.0000,0.0000,0,0,210.86
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/06/24,Brockville,Spencerville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/06/24,Spencerville,Kemptville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/06/24,Kemptville,Elgin,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/06/24,Elgin,Brockville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,To attend a constituency or community event,2020/06/29,Brockville,Kemptville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,To attend a constituency or community event,2020/06/29,Kemptville,Brockville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/07/03,Brockville,Kemptville,,,,,,,
T0202806,2020/06/24,2020/07/03,"Hopkins, Randy",Employee,Attending event with Member,2020/07/03,Kemptville,Brockville,,,,,,,
T0203148,2020/07/06,2020/07/11,,,,,,,175.4400,0.0000,0.0000,0.0000,0,0,175.44
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/06,Brockville,Rockport,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/06,Rockport,Gananoque,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/06,Gananoque,Lyndhurst,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/06,Lyndhurst,Rockport,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/06,Rockport,Brockville,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/09,Brockville,Westport,,,,,,,
T0203148,2020/07/06,2020/07/11,"Hopkins, Randy",Employee,Attending event with Member,2020/07/09,Westport,Brockville,,,,,,,
