"Members – Detailed Contract Expenditures Report – Chong, Michael – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.25
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,194.29
"WELLINGTON ADVERTISER, THE",Advertising,2020/06/04,68.80
Purolator,Courier Services,2020/06/05,19.53
Bell,Cable and Internet Fees,2020/06/10,125.00
Purolator,Courier Services,2020/06/12,7.38
Snap Shot Solutions,Advertising,2020/06/13,60.00
The Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/17,27.96
"WELLINGTON ADVERTISER, THE",Advertising,2020/06/18,118.80
The Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/24,27.96
"WELLINGTON ADVERTISER, THE",Advertising,2020/06/25,504.80
Wrightman,Cable and Internet Fees,2020/06/25,264.95
Star Metroland Media,Advertising,2020/06/28,794.00
Puslinch Pioneer,Advertising,2020/06/30,107.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,209.54
"WELLINGTON ADVERTISER, THE",Advertising,2020/07/02,68.80
Bell,Cable and Internet Fees,2020/07/10,125.00
Walmart,Cleaning Products,2020/07/10,13.97
Snap Shot Solutions,Advertising,2020/07/11,60.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,53.92
The Grand River Booster Magazine,Advertising,2020/07/14,70.00
The Global and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/16,27.96
"WELLINGTON ADVERTISER, THE",Advertising,2020/07/16,118.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.56
Wightman,Cable and Internet Fees,2020/07/25,264.95
House of Commons – Chambre des communes,Language Training,2020/07/31,82.92
House of Commons – Chambre des communes,Language Training,2020/07/31,110.56
Purolator,Courier Services,2020/07/31,11.95
CARRETAL LIMITED,Office Rental and Related Fees,2020/08/01,774.94
Denim Enterprises,Office Rental and Related Fees,2020/08/01,2033.68
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,229.54
"WELLINGTON ADVERTISER, THE",Advertising,2020/08/06,125.00
WILLOW PRINTING AND PUBLISHING CO.,Advertising,2020/08/06,375.00
Metroland Media Toronto,Advertising,2020/08/09,195.00
Bell,Cable and Internet Fees,2020/08/10,125.00
Snap Shot Solutions,Advertising,2020/08/13,60.00
"WELLINGTON ADVERTISER, THE",Advertising,2020/08/13,68.80
Purolator,Courier Services,2020/08/14,12.09
"WELLINGTON ADVERTISER, THE",Advertising,2020/08/20,298.40
Wrightman,Cable and Internet Fees,2020/08/25,264.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,138.45
Grand & Toy,Cleaning Products,2020/08/31,18.58
Puslinch Pioneer,Advertising,2020/08/31,107.00
CARRETAL LIMITED,Office Rental and Related Fees,2020/09/01,774.94
Denim Enterprises,Office Rental and Related Fees,2020/09/01,2033.68
"WELLINGTON ADVERTISER, THE",Advertising,2020/09/03,68.80
Snap Shot Solution,Advertising,2020/09/14,60.00
Zoom Video Communications Inc.,Professional Communication Services,2020/09/22,200.00
Canada Post – Postes Canada,Courier Services,2020/09/23,10.08
Canada Post – Postes Canada,Courier Services,2020/09/23,27.21
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,280.16
CARRETAL LIMITED,Office Rental and Related Fees,2020/10/01,774.94
Denim Enterprises,Office Rental and Related Fees,2020/10/01,2033.68
