"Members – Detailed Travel Expenditures Report – Cooper, Michael – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202657,2020/03/07,2020/03/15,,,,,,,2310.3200,0.0000,0.0000,1.0000,0,0,2310.32
T0202657,2020/03/07,2020/03/15,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/03/07,St. Albert,Ottawa,,,,,,,
T0202657,2020/03/07,2020/03/15,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/03/15,Ottawa,St. Albert,,,,,,,
T0202832,2020/04/19,2020/05/13,,,,,,,2312.0900,0.0000,0.0000,1.0000,0,0,2312.09
T0202832,2020/04/19,2020/05/13,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/04/19,St. Albert,Ottawa,,,,,,,
T0202832,2020/04/19,2020/05/13,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/05/13,Ottawa,St. Albert,,,,,,,
T0202833,2020/06/07,2020/06/23,,,,,,,2321.3100,0.0000,0.0000,1.0000,0,0,2321.31
T0202833,2020/06/07,2020/06/23,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/06/07,St. Albert,Ottawa,,,,,,,
T0202833,2020/06/07,2020/06/23,"Cooper, Michael",Member,To travel to/from constituency and Ottawa,2020/06/23,Ottawa,St. Albert,,,,,,,
200430690,2020/08/01,2020/08/31,,,,,,,0.0000,1939.0000,0.0000,0,0,0,1939.00
200430690,2020/08/01,2020/08/31,"Cooper, Michael",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437173,2020/09/01,2020/09/30,,,,,,,0.0000,1939.0000,0.0000,0,0,0,1939.00
200437173,2020/09/01,2020/09/30,"Cooper, Michael",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442034,2020/10/01,2020/10/31,,,,,,,0.0000,1939.0000,0.0000,0,0,0,1939.00
200442034,2020/10/01,2020/10/31,"Cooper, Michael",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
