"Members – Detailed Contract Expenditures Report – Kram, Michael – Q2 2021"
Supplier,Description,Date,Total
Canada Post,Postage and Parcel Post,2020/04/04,32.14
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/06/01,24.80
Staples,"Office Supplies, Stationery and Accessories",2020/06/09,27.48
SASKENERGY,Public Utilities,2020/06/17,116.06
SASKPOWER,Public Utilities,2020/06/17,117.14
"HOSPITAL ACTIVITY BOOK FOR CHILDREN, THE",Advertising,2020/06/18,253.34
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,128.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.00
DMH Media Services,Communications Officer,2020/07/03,7666.67
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,21.56
City of Regina,Public Utilities,2020/07/14,227.82
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.50
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/20,105.70
SASKPOWER,Public Utilities,2020/07/20,130.41
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,12.50
Canada Post,Postage and Parcel Post,2020/07/30,18.49
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,128.92
Riverbend Joint Venture,Office Rental and Related Fees,2020/08/01,3165.00
DMH Media Services,Communications Officer,2020/08/04,7666.67
Canada Post,Courier Services,2020/08/07,56.12
Staples,"Office Supplies, Stationery and Accessories",2020/08/13,6.79
Canada Post,Postage and Parcel Post,2020/08/15,16.44
City of Regina,Public Utilities,2020/08/17,76.80
SASKPOWER,Public Utilities,2020/08/20,146.84
Canada Post,Postage and Parcel Post,2020/08/22,29.96
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,8.80
Postmedia Network Inc.,Advertising,2020/08/31,648.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,128.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.00
Riverbend Joint Venture,Office Rental and Related Fees,2020/09/01,3165.00
DMH Media Services,Communications Officer,2020/09/09,7666.67
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/09/18,22.15
Canada Post – Postes Canada,Courier Services,2020/09/23,19.91
Riverbend Joint Venture,Office Rental and Related Fees,2020/10/01,3165.00
