"Members – Detailed Contract Expenditures Report – Levitt, Michael – Q2 2021"
Supplier,Description,Date,Total
NGP VAN,Professional Communication Services,2020/05/01,100.00
Zoom Video Communications,Licence Renewal,2020/05/05,20.00
Digital River,Licence Renewal,2020/05/11,19.95
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,180.84
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,937.75
LoSpecchio,Advertising,2020/05/29,151.15
NGP Van,Professional Communication Services,2020/06/01,100.00
UNLIMITED BUILDING MAINTENANCE SERVICES,Janitorial Services and Maintenance,2020/06/01,410.00
CORRIERE CANADESE INC.,Advertising,2020/06/02,256.00
zoom,Licence Renewal,2020/06/05,20.00
Digital River,Licence Renewal,2020/06/11,19.95
Protection Plus Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/06/15,16.20
Protection Plus Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/15,6485.00
City Print Inc.,"Householders ",2020/06/16,3795.37
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
DOMINION OF CANADA,Constituency Office Insurance,2020/06/23,2892.24
Meridian OneCap,Photocopier Rental and Related Costs,2020/06/23,150.00
Rogers,Cable and Internet Fees,2020/06/28,151.42
Rogers,Cable and Internet Fees,2020/06/28,193.84
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,184.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.00
NGP VAN,Professional Communication Services,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
UNLIMITED BUILDING MAINTENANCE SERVICES,Janitorial Services and Maintenance,2020/07/01,410.00
zoom,Licence Renewal,2020/07/05,20.00
Cedar Springs,Spring Water,2020/07/07,41.72
HOMA SIGNS LTD.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/10,2540.00
Digital River,Licence Renewal,2020/07/11,19.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.34
Toronto Division Copiers Limited,Photocopier Rental and Related Costs,2020/07/18,86.19
No Frills,Gifts given as a matter of protocol,2020/07/21,12.00
Rogers,Cable and Internet Fees,2020/07/28,345.26
Grand & Toy,Cleaning Products,2020/07/31,46.10
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,23.02
UNLIMITED BUILDING MAINTENANCE SERVICES,Janitorial Services and Maintenance,2020/07/31,410.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,184.00
NGP Van,Professional Communication Services,2020/08/01,100.00
Quadcam Commercial Properties Limited,Office Rental and Related Fees,2020/08/01,2500.00
zoom,Licence Renewal,2020/08/05,20.00
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/07,245.10
Digital River,Licence Renewal,2020/08/11,19.95
Meridian OneCap,Photocopier Rental and Related Costs,2020/08/12,169.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
HOMA SIGNS LTD.,Signage,2020/08/14,400.00
metro,"Office Supplies, Stationery and Accessories",2020/08/18,14.99
Cedar Springs,Spring Water,2020/08/19,31.72
Protection Plus Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/19,160.00
Grand & Toy,Bulk Paper Purchases,2020/08/31,13.41
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,82.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,4.00
Quadcam Commercial Properties Limited,Office Rental and Related Fees,2020/09/01,2500.00
Canada Post – Postes Canada,Courier Services,2020/09/23,5.21
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.04
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/23,19.33
Canada Post – Postes Canada,Courier Services,2020/09/23,11.42
Canada Post – Postes Canada,Courier Services,2020/09/23,10.84
Canada Post – Postes Canada,Courier Services,2020/09/23,16.02
Canada Post – Postes Canada,Courier Services,2020/09/23,7.04
Canada Post – Postes Canada,Courier Services,2020/09/23,5.04
Canada Post – Postes Canada,Courier Services,2020/09/23,8.05
Canada Post – Postes Canada,Courier Services,2020/09/23,16.08
