"Members – Detailed Contract Expenditures Report – Boudrias, Michel – Q2 2021"
Supplier,Description,Date,Total
Gala des Étoiles Sportives,Advertising,2019/11/12,500.00
SEMAINIER PAROISSIAL,Advertising,2020/01/31,500.00
Danielle Charpentier,Janitorial Services and Maintenance,2020/04/26,200.00
Danielle Charpentier,Janitorial Services and Maintenance,2020/05/31,500.00
adt,Protection and Alarm Monitoring (Member's Office Budget),2020/06/16,24.95
Groupe Lexis Média Inc.,Advertising,2020/06/18,970.00
fleuriste des seigneurs,Gifts given as a matter of protocol,2020/06/22,150.00
L'AUT'JOUNAL,Advertising,2020/06/25,85.00
Danielle Charpentier,Janitorial Services and Maintenance,2020/06/28,300.00
Micro Compo Inc.,Householders,2020/06/29,5178.98
cibc,Banking Fees and Cheque Orders,2020/06/30,4.95
cibc,Banking Fees and Cheque Orders,2020/06/30,4.00
COPISCAN,Photocopier Rental and Related Costs,2020/06/30,4.14
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,10.46
Groupe Lexis Média Inc.,Advertising,2020/07/02,365.00
HYDRO QUEBEC,Public Utilities,2020/07/08,178.41
HYDRO QUEBEC,Public Utilities,2020/07/08,137.82
CIBC,Constituency Office Insurance,2020/07/10,80.18
VIDEOTRON,Cable and Internet Fees,2020/07/10,164.95
Danielle Charpentier,Janitorial Services and Maintenance,2020/07/12,200.00
ADT,Protection and Alarm Monitoring (Member's Office Budget),2020/07/16,24.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.17
CIBC,Banking Fees and Cheque Orders,2020/07/31,4.00
CIBC,Banking Fees and Cheque Orders,2020/07/31,4.95
copiscan,Photocopier Rental and Related Costs,2020/07/31,1.63
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,10.46
Immeubles Hobeychi,Office Rental and Related Fees,2020/08/01,3000.00
Hydro-Québec,Public Utilities,2020/08/06,137.82
Hydro-Québec,Public Utilities,2020/08/06,178.41
vidéotron,Cable and Internet Fees,2020/08/07,164.95
NORTHBRIDGE,Constituency Office Insurance,2020/08/10,80.18
Ville de Terrebonne,Protection and Alarm Monitoring (Member's Office Budget),2020/08/10,100.00
FLEURISTE DES SEIGNEURS,Gifts given as a matter of protocol,2020/08/14,54.00
ADT CANADA,Protection and Alarm Monitoring (Member's Office Budget),2020/08/17,24.95
"Charpentier, Danielle",Janitorial Services and Maintenance,2020/08/31,500.00
CIBC,Banking Fees and Cheque Orders,2020/08/31,4.00
CIBC,Banking Fees and Cheque Orders,2020/08/31,4.95
COPISCAN,Photocopier Rental and Related Costs,2020/08/31,9.17
Grand & Toy,Cleaning Products,2020/08/31,78.98
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,10.46
Immeubles Hobeychi,Office Rental and Related Fees,2020/09/01,3000.00
HYDROQUÉBEC,Public Utilities,2020/09/04,91.88
HYDROQUÉBEC,Public Utilities,2020/09/04,83.76
VIDEOTRON,Cable and Internet,2020/09/04,164.95
NORTHBRIDGE,Constituency Office Insurance,2020/09/10,80.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,5.62
Canada Post – Postes Canada,Courier Services,2020/09/23,9.79
Canada Post – Postes Canada,Courier Services,2020/09/23,10.46
Canada Post – Postes Canada,Courier Services,2020/09/23,5.24
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,5.14
Canada Post – Postes Canada,Courier Services,2020/09/23,12.06
Canada Post – Postes Canada,Courier Services,2020/09/23,9.79
Canada Post – Postes Canada,Courier Services,2020/09/23,5.62
Immeubles Hobeychi,Office Rental and Related Fees,2020/10/01,3000.00
