"Members – Detailed Contract Expenditures Report – Kelloway, Mike – Q2 2021"
Supplier,Description,Date,Total
St. Stephen Jubilee United Church,Public Meeting Room Rentals,2020/03/12,50.00
Dominion Credit Union,Banking Fees and Cheque Orders,2020/05/29,3.75
902 Sign Group LTD,Advertising,2020/05/31,249.99
902 Sign Group LTD,Advertising,2020/06/01,249.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
City Print Plus,Consumable Items for Constituency Offices (COVID19),2020/06/19,55.00
SALTWIRE NETWORK INC.,Advertising,2020/06/20,332.50
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,42.00
Soundpark Studios,Equipment Rental (non-hospitality related),2020/06/23,100.00
Addington Publications,Advertising,2020/06/24,42.00
INVERNESS COMMUNICATIONS LTD.,Advertising,2020/06/24,116.48
Ripple FX,Advertising,2020/06/24,150.00
The Lakes at Ben Eoin Golf Club & Resort,Advertising,2020/06/29,300.00
Acadia Broadcasting,Advertising,2020/06/30,104.00
Advocate media Inc.,Advertising,2020/06/30,112.00
Advocate media Inc.,Advertising,2020/06/30,375.00
COASTAL RADIO CKOA FM,Advertising,2020/06/30,100.00
Dominion Credit Union,Banking Fees and Cheque Orders,2020/06/30,11.25
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,82.76
Grand & Toy,Bulk Paper Purchases,2020/06/30,44.70
Stingray Radio Inc.,Advertising,2020/06/30,62.50
Stingray Radio Inc.,Advertising,2020/06/30,62.50
902 Sign Group LTD,Advertising,2020/07/01,249.99
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,222.43
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,58.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Addington Publications,Advertising,2020/07/02,42.00
SEASIDE COMMUNICATIONS,Cable and Internet Fees,2020/07/03,99.00
SALTWIRE NETWORK INC.,Advertising,2020/07/04,451.25
Thoms Flowers,Gifts given as a matter of protocol,2020/07/04,69.55
Addington Publications,Advertising,2020/07/08,42.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,16.40
Addington Publications,Advertising,2020/07/15,42.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.04
Stingray Radio Inc.,Advertising,2020/07/19,187.50
Stingray Radio Inc.,Advertising,2020/07/19,187.50
Addington Publications,Advertising,2020/07/22,42.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,46.06
NOVA SCOTIA POWER INC.,Public Utilities,2020/07/27,45.74
NOVA SCOTIA POWER INC.,Public Utilities,2020/07/27,152.48
City Printers Ltd.,Consumable Items for Constituency Offices (COVID19),2020/07/28,390.00
Addington Publications,Advertising,2020/07/29,42.00
INVERNESS COMMUNICATIONS LTD.,Advertising,2020/07/29,145.60
Acadia Broadcasting,Advertising,2020/07/31,130.00
Advocate media Inc.,Advertising,2020/07/31,112.00
Advocate media Inc.,Advertising,2020/07/31,60.00
CJFX-FM,Advertising,2020/07/31,139.50
Maritime Broadcasting System Limited,Advertising,2020/07/31,70.00
Maritime Broadcasting System Limited,Advertising,2020/07/31,39.00
Maritime Broadcasting System Limited,Advertising,2020/07/31,90.00
902 Sign Group LTD,Advertising,2020/08/01,249.99
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,222.43
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,58.00
SALTWIRE NETWORK INC.,Advertising,2020/08/01,328.00
V & D HOLDING,Office Rental and Related Fees,2020/08/01,1000.00
Addington Publications,Advertising,2020/08/05,42.00
SEASIDE COMMUNICATIONS,Cable and Internet Fees,2020/08/05,99.00
Rose's Garden of Gifts,Gifts given as a matter of protocol,2020/08/09,120.00
Addington Publications,Advertising,2020/08/12,42.00
L'IMPRIMERIE LESCARBOT LTÉE,Advertising,2020/08/12,296.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
City Print Plus,"Householders ",2020/08/17,4740.30
Addington Publications,Advertising,2020/08/19,42.00
Canadian Springs,Spring Water,2020/08/22,3.62
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,3.14
Addington Publications,Advertising,2020/08/26,42.00
INVERNESS COMMUNICATIONS LTD.,Advertising,2020/08/27,116.48
Maritime Inn Port Hawkesbury,Public Meeting Room Rentals,2020/08/29,145.00
Staples,Voice Communication Equipment,2020/08/29,28.98
Advocate Media,Advertising,2020/08/31,84.00
