"Members – Detailed Travel Expenditures Report – Lake, Mike – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202842,2020/05/01,2020/07/26,,,,,,,0.0000,105.3600,0.0000,0,0,0,105.36
T0202842,2020/05/01,2020/07/26,"Lake, Mike",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0202842,2020/05/01,2020/07/26,"Lake, Mike",Member,Secondary Residence,2020/06/27,Ottawa,Ottawa,,,,,,,
T0203989,2020/06/01,2020/08/26,,,,,,,0.0000,96.5500,0.0000,0,0,0,96.55
T0203989,2020/06/01,2020/08/26,"Lake, Mike",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0203989,2020/06/01,2020/08/26,"Lake, Mike",Member,Secondary Residence,2020/07/27,Ottawa,Ottawa,,,,,,,
T0205086,2020/07/01,2020/09/26,,,,,,,0.0000,98.1100,0.0000,0,0,0,98.11
T0205086,2020/07/01,2020/09/26,"Lake, Mike",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0205086,2020/07/01,2020/09/26,"Lake, Mike",Member,Secondary Residence,2020/08/27,Ottawa,Ottawa,,,,,,,
200430741,2020/08/01,2020/08/31,,,,,,,0.0000,1719.4000,0.0000,0,0,0,1719.40
200430741,2020/08/01,2020/08/31,"Lake, Mike",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437224,2020/09/01,2020/09/30,,,,,,,0.0000,1719.4000,0.0000,0,0,0,1719.40
200437224,2020/09/01,2020/09/30,"Lake, Mike",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442085,2020/10/01,2020/10/31,,,,,,,0.0000,1719.4000,0.0000,0,0,0,1719.40
200442085,2020/10/01,2020/10/31,"Lake, Mike",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
