"Members – Detailed Contract Expenditures Report – Morrison, Rob – Q2 2021"
Supplier,Description,Date,Total
JSL Forum,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/04/15,117.0000
FACEBOOK,Advertising,2020/04/30,671.8000
FACEBOOK,Advertising,2020/05/31,489.0500
Culligan,Spring Water,2020/06/02,24.8000
District of Elkford,Public Meeting Room Rentals,2020/06/17,106.0000
THOMPSON-PALLISTER BAIT CO. LTD,Promotional Items,2020/06/19,1104.0600
Black Press,Advertising,2020/06/22,1694.6400
Golden Civic Centre,Public Meeting Room Rentals,2020/06/29,30.0000
Culligan,Spring Water,2020/06/30,15.7000
FACEBOOK,Advertising,2020/06/30,355.7600
Grand & Toy,Cleaning Products,2020/06/30,6.7300
"Sorge, Dawn",Janitorial Services and Maintenance,2020/06/30,250.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,199.2400
Park Place Lodge,Public Meeting Room Rentals,2020/07/01,75.0000
Pacific Western Print Group,Signage,2020/07/09,203.3000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,238.9000
e-KNOW EAST KOOTENAY NEWS ONLINE WEEKLY,Advertising,2020/07/15,300.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5000
Culligan Water,Spring Water,2020/07/31,16.7500
"Sorge, Dawn",Janitorial Services and Maintenance,2020/07/31,340.0000
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,50.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,202.7400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,12.0000
"Lawrence C. Jewett, M.D.,F.R.C.S. (C) Inc.",Office Rental and Related Fees,2020/08/01,1841.6600
Shaw Direct,Cable and Internet Fees,2020/08/02,220.3700
URDU Journal,Advertising,2020/08/06,63.3800
Deans Plumbina and Heating,Repair of Machinery and Office Furniture,2020/08/12,133.0000
e-KNOW EAST KOOTENAY NEWS ONLINE WEEKLY,Advertising,2020/08/15,300.0000
Canadian Tire,Appliances,2020/08/17,54.2100
Canadian Tire,Appliances,2020/08/17,226.3000
Canadian Tire,Appliances,2020/08/17,289.7300
Culligan Water,Spring Water,2020/08/20,14.8000
Culligan Water,Spring Water,2020/08/31,15.7000
Grand & Toy,Cleaning Products,2020/08/31,16.8600
"Sorge, Dawn",Janitorial Services and Maintenance,2020/08/31,390.0000
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,25.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,200.9900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,12.0000
"Lawrence C. Jewett, M.D.,F.R.C.S. (C) Inc.",Office Rental and Related Fees,2020/09/01,1841.6600
Shaw Direct,Cable and Internet Fees,2020/09/02,166.9200
e-KNOW EAST KOOTENAY NEWS ONLINE WEEKLY,Advertising,2020/09/15,300.0000
Trickle Creek Lodge,Public Meeting Room Rentals,2020/09/17,65.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,6.8200
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,4.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,6.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,6.8500
Canada Post – Postes Canada,Courier Services,2020/09/23,6.8500
Canada Post – Postes Canada,Courier Services,2020/09/23,5.8700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,6.9500
Canada Post – Postes Canada,Courier Services,2020/09/23,30.2700
Canada Post – Postes Canada,Courier Services,2020/09/23,4.9600
Canada Post – Postes Canada,Courier Services,2020/09/23,6.9500
Canada Post – Postes Canada,Courier Services,2020/09/23,5.7600
"Lawrence C. Jewett, M.D.,F.R.C.S. (C) Inc.",Office Rental and Related Fees,2020/10/01,1841.6600
