"Members – Detailed Travel Expenditures Report – Morrison, Rob – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202582,2020/06/11,2020/06/13,,,,,,,187.5800,594.9000,245.6200,0.0000,0,0,1028.1000
T0202582,2020/06/11,2020/06/13,"Morrison, Rob",Member,To attend meetings about constituency issues,2020/06/13,Revelstoke,Creston,,,,,,,
T0202584,2020/06/11,2020/06/13,,,,,,,390.4200,506.7800,178.7000,0.0000,0,0,1075.9000
T0202584,2020/06/11,2020/06/13,"Graham, Wesly",Employee,To attend meetings about constituency issues,2020/06/11,Cranbrook,Revelstoke,,,,,,,
T0202584,2020/06/11,2020/06/13,"Graham, Wesly",Employee,To attend meetings about constituency issues,2020/06/13,Revelstoke,Cranbrook,,,,,,,
T0202569,2020/06/21,2020/06/24,,,,,,,3055.7800,388.0400,347.0300,1.0000,0,0,3790.8500
T0202569,2020/06/21,2020/06/24,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2020/06/21,Creston,Ottawa,,,,,,,
T0202569,2020/06/21,2020/06/24,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2020/06/24,Ottawa,Creston,,,,,,,
T0203255,2020/06/29,2020/07/08,,,,,,,698.6400,846.9100,602.8000,0.0000,0,0,2148.3500
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/06/29,Creston,Fernie,,,,,,,
T0203067,2020/06/29,2020/07/08,,,,,,,110.5000,903.3200,327.9600,0.0000,0,0,1341.7800
T0203067,2020/06/29,2020/07/08,"Graham, Wesly",Employee,Attending event with Member,2020/07/04,Cranbrook,Creston,,,,,,,
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/06/30,Fernie,Creston,,,,,,,
T0203067,2020/06/29,2020/07/08,"Graham, Wesly",Employee,Attending event with Member,2020/07/08,Creston,Cranbrook,,,,,,,
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/07/04,Creston,Nelson,,,,,,,
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/07/05,Nelson,Revelstoke,,,,,,,
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/07/07,Revelstoke,Golden,,,,,,,
T0203255,2020/06/29,2020/07/08,"Morrison, Rob",Member,To attend a constituency or community event,2020/07/08,Golden,Creston,,,,,,,
T0205014,2020/09/03,2020/09/05,,,,,,,395.6000,395.8700,228.1300,0,0.0000,0,1019.6000
T0205014,2020/09/03,2020/09/05,"Morrison, Rob",Member,To attend a regional or provincial caucus meeting,2020/09/03,Creston,Penticton,,,,,,,
T0205014,2020/09/03,2020/09/05,"Morrison, Rob",Member,To attend a regional or provincial caucus meeting,2020/09/03,Penticton,Creston,,,,,,,
T0204669,2020/09/07,2020/09/11,,,,,,,2773.2500,591.1800,456.0600,1.0000,0,0,3820.4900
T0204669,2020/09/07,2020/09/11,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2020/09/07,Creston,Ottawa,,,,,,,
T0204669,2020/09/07,2020/09/11,"Morrison, Rob",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Golden,,,,,,,
T0205008,2020/09/11,2020/09/12,,,,,,,272.2800,208.9100,109.0900,0.0000,0,0,590.2800
T0205008,2020/09/11,2020/09/12,"Graham, Wesly",Employee,Attending event with Member,2020/09/11,Cranbrook,Golden,,,,,,,
T0205077,2020/09/11,2020/09/12,,,,,,,173.6300,208.9100,56.5900,0.0000,0,0,439.1300
T0205077,2020/09/11,2020/09/12,"Morrison, Rob",Member,To attend meetings about constituency issues,2020/09/12,Golden,Creston,,,,,,,
T0205008,2020/09/11,2020/09/12,"Graham, Wesly",Employee,Attending event with Member,2020/09/11,Golden,Cranbrook,,,,,,,
T0205187,2020/09/16,2020/09/18,,,,,,,463.6700,322.5800,191.8800,0,1.0000,0,978.1300
T0205187,2020/09/16,2020/09/18,"Morrison, Rob",Member,To attend meetings about constituency issues,2020/09/16,Cranbrook,Calgary,,,,,,,
T0205187,2020/09/16,2020/09/18,"Morrison, Rob",Member,To attend meetings about constituency issues,2020/09/17,Calgary,Cranbrook,,,,,,,
