"Members – Detailed Contract Expenditures Report – Erskine-Smith, Nathaniel – Q2 2021"
Supplier,Description,Date,Total
Conor Shaw,Photography and Video Services,2020/03/03,649.50
Five Lions Heating & Cooling Inc.,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2020/04/24,225.00
Bell,Cable and Internet Fees,2020/06/18,119.95
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/20,761.05
Otter.ai,Licence Renewal,2020/06/21,13.51
Beach Metro News,Advertising,2020/06/23,788.18
Buzzsprout,Professional Communication Services,2020/06/23,36.50
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/24,56.24
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/24,29.01
"Graham, Andrew Bruce",Communications Officer,2020/06/25,3000.00
Insightly Inc.,Licence Renewal,2020/06/26,141.96
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/30,169.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,180.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,146.70
East York Toronto Canada Day Corporation,Advertising,2020/07/06,500.00
Beach Metro News,Advertising,2020/07/14,339.00
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,17.38
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.38
Bell,Cable and Internet Fees,2020/07/18,119.95
Otter.ai,Licence Renewal,2020/07/21,13.55
Buzzsprout,Professional Communication Services,2020/07/23,27.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/24,28.71
Insightly Inc.,Licence Renewal,2020/07/26,144.73
Silly Goose Kids Inc,Gifts given as a matter of protocol,2020/07/27,264.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,320.69
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,160.00
KONTOS VENTURES INC,Office Rental and Related Fees,2020/08/01,2300.00
Canadian Animal Law Conferance,Other Training and Conferences,2020/08/05,130.00
NRB TV,Advertising,2020/08/05,200.00
Staples,"Office Supplies, Stationery and Accessories",2020/08/05,95.96
"Morris, Kate",Photography and Video Services,2020/08/15,108.00
Bell,Cable and Internet Fees,2020/08/18,119.95
CBC Gem,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/19,5.64
Beach Metro News,Advertising,2020/08/25,339.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/08/25,28.71
Insightly Inc.,Licence Renewal,2020/08/26,140.56
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,160.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,485.68
KONTOS VENTURES INC,Office Rental and Related Fees,2020/09/01,2300.00
Shoppers,"Office Supplies, Stationery and Accessories",2020/09/01,22.02
Nandan TV inc.,Advertising,2020/09/04,200.00
Canada Post – Postes Canada,Courier Services,2020/09/23,7.50
Canada Post – Postes Canada,Courier Services,2020/09/23,8.17
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Courier Services,2020/09/23,5.51
Canada Post – Postes Canada,Courier Services,2020/09/23,7.00
Canada Post – Postes Canada,Courier Services,2020/09/23,8.17
Canada Post – Postes Canada,Courier Services,2020/09/23,30.69
House of Commons – Chambre des communes,Purchase and Recovery of SecurID Cards,2020/09/24,400.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,432.22
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,432.22
KONTOS VENTURES INC,Office Rental and Related Fees,2020/10/01,2300.00
