"Members – Detailed Travel Expenditures Report – Bains, Navdeep – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202618,2019/11/19,2019/11/22,,,,,,,88.3900,0.0000,0.0000,0.0000,0,0,88.39
T0202618,2019/11/19,2019/11/22,,Designated Traveller,To unite the family with the Member,2019/11/19,Toronto,Ottawa,,,,,,,
T0199838,2019/12/10,2019/12/11,,,,,,,666.0400,0.0000,0.0000,1.0000,0,0,666.04
T0199838,2019/12/10,2019/12/11,,Designated Traveller,To travel to/from constituency and Ottawa,2019/12/10,Toronto,Ottawa,,,,,,,
T0199838,2019/12/10,2019/12/11,,Designated Traveller,To travel to/from constituency and Ottawa,2019/12/11,Ottawa,Toronto,,,,,,,
T0202619,2020/02/08,2020/02/08,,,,,,,117.8600,0.0000,0.0000,0.0000,0,0,117.86
T0202619,2020/02/08,2020/02/08,,Designated Traveller,To unite the family with the Member,2020/02/08,Ottawa,Toronto,,,,,,,
T0203466,2020/05/13,2020/05/14,,,,,,,0.0000,187.8200,0.0000,0.0000,0,0,187.82
T0203466,2020/05/13,2020/05/14,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/05/13,Mississauga,Ottawa,,,,,,,
T0203466,2020/05/13,2020/05/14,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/05/14,Ottawa,Mississauga,,,,,,,
T0203459,2020/05/19,2020/05/20,,,,,,,0.0000,187.8200,0.0000,0.0000,0,0,187.82
T0203459,2020/05/19,2020/05/20,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/05/19,Mississauga,Ottawa,,,,,,,
T0203459,2020/05/19,2020/05/20,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/05/20,Ottawa,Mississauga,,,,,,,
T0203467,2020/06/02,2020/06/04,,,,,,,0.0000,375.6400,0.0000,0.0000,0,0,375.64
T0203467,2020/06/02,2020/06/04,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/06/02,Mississauga,Ottawa,,,,,,,
T0203467,2020/06/02,2020/06/04,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/06/04,Ottawa,Mississauga,,,,,,,
T0203468,2020/06/14,2020/06/17,,,,,,,0.0000,563.4600,0.0000,0.0000,0,0,563.46
T0203468,2020/06/14,2020/06/17,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/06/14,Mississauga,Ottawa,,,,,,,
T0203468,2020/06/14,2020/06/17,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/06/17,Ottawa,Mississauga,,,,,,,
T0203715,2020/07/19,2020/07/24,,,,,,,432.3800,1652.6200,0.0000,1.0000,0,0,2085.00
T0203715,2020/07/19,2020/07/24,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/07/19,Mississauga,Ottawa,,,,,,,
T0203715,2020/07/19,2020/07/24,"Bains, Navdeep",Member,To travel to/from constituency and Ottawa,2020/07/24,Ottawa,Mississauga,,,,,,,
