"Members – Detailed Travel Expenditures Report – Shin, Nelly – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0201860,2020/03/21,2020/07/31,,,,,,,0.0000,335.4000,0.0000,0,0,0,335.40
T0201860,2020/03/21,2020/07/31,"Shin, Nelly",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0201860,2020/03/21,2020/07/31,"Shin, Nelly",Member,Secondary Residence,2020/04/18,Ottawa,Ottawa,,,,,,,
T0201860,2020/03/21,2020/07/31,"Shin, Nelly",Member,Secondary Residence,2020/05/17,Ottawa,Ottawa,,,,,,,
T0201860,2020/03/21,2020/07/31,"Shin, Nelly",Member,Secondary Residence,2020/03/21,Ottawa,Ottawa,,,,,,,
T0201860,2020/03/21,2020/07/31,"Shin, Nelly",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202757,2020/05/28,2020/06/19,,,,,,,2325.1700,0.0000,0.0000,1.0000,0,0,2325.17
T0202757,2020/05/28,2020/06/19,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/05/29,Port Moody,Ottawa,,,,,,,
T0202757,2020/05/28,2020/06/19,"Shin, Nelly",Member,To attend meetings with stakeholders about business of the House,2020/06/05,Ottawa,Vanier,,,,,,,
T0202757,2020/05/28,2020/06/19,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Port Moody,,,,,,,
T0202763,2020/06/29,2020/06/29,,,,,,,38.1100,0.0000,0.0000,0,0,0,38.11
T0202763,2020/06/29,2020/06/29,"Shin, Nelly",Member,To support a parliamentary association,2020/06/29,Port Moody,Vancouver,,,,,,,
T0202763,2020/06/29,2020/06/29,"Shin, Nelly",Member,To support a parliamentary association,2020/06/29,Vancouver,Port Moody,,,,,,,
T0203384,2020/07/01,2020/07/01,,,,,,,208.4400,0.0000,0.0000,0,0.5000,0,208.44
T0203384,2020/07/01,2020/07/01,,Designated Traveller,Attending event with Member,2020/07/01,Ottawa,Toronto,,,,,,,
T0203383,2020/07/02,2020/07/11,,,,,,,1056.7800,0.0000,0.0000,1.0000,0,0,1056.78
T0203383,2020/07/02,2020/07/11,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/07/02,Port Moody,Ottawa,,,,,,,
T0203383,2020/07/02,2020/07/11,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/07/11,Ottawa,Port Moody,,,,,,,
T0203451,2020/07/23,2020/07/23,,,,,,,30.1100,0.0000,0.0000,0,1.0000,0,30.11
T0203451,2020/07/23,2020/07/23,"Shin, Nelly",Member,To attend a constituency or community event,2020/07/23,Vancouver,Port Moody,,,,,,,
T0203451,2020/07/23,2020/07/23,"Shin, Nelly",Member,To attend a constituency or community event,2020/07/23,Port Moody,Vancouver,,,,,,,
T0203385,2020/07/26,2020/07/30,,,,,,,1082.8300,0.0000,0.0000,1.0000,0,0,1082.83
T0203385,2020/07/26,2020/07/30,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/07/26,Port Moody,Ottawa,,,,,,,
T0203385,2020/07/26,2020/07/30,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/07/30,Ottawa,Port Moody,,,,,,,
200430792,2020/08/01,2020/08/31,,,,,,,0.0000,2459.0000,0.0000,0,0,0,2459.00
200430792,2020/08/01,2020/08/31,"Shin, Nelly",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204916,2020/08/23,2020/09/01,,,,,,,2099.5700,0.0000,0.0000,1.0000,1.0000,0,2099.57
T0204916,2020/08/23,2020/09/01,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/08/23,Port Moody,Ottawa,,,,,,,
T0204916,2020/08/23,2020/09/01,"Shin, Nelly",Member,To attend meetings with stakeholders about business of the House,2020/08/25,Ottawa,Toronto,,,,,,,
T0204916,2020/08/23,2020/09/01,"Shin, Nelly",Member,To attend meetings with stakeholders about business of the House,2020/08/29,Toronto,Ottawa,,,,,,,
T0204916,2020/08/23,2020/09/01,"Shin, Nelly",Member,To travel to/from constituency and Ottawa,2020/09/01,Ottawa,Port Moody,,,,,,,
200437274,2020/09/01,2020/09/30,,,,,,,0.0000,2459.0000,0.0000,0,0,0,2459.00
200437274,2020/09/01,2020/09/30,"Shin, Nelly",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204917,2020/09/03,2020/09/05,,,,,,,198.3000,586.9900,122.5000,0,0.5000,0,907.79
T0204917,2020/09/03,2020/09/05,"Shin, Nelly",Member,To attend a conference,2020/09/03,Port Moody,Penticton,,,,,,,
200442136,2020/10/01,2020/10/31,,,,,,,0.0000,2459.0000,0.0000,0,0,0,2459.00
200442136,2020/10/01,2020/10/31,"Shin, Nelly",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
