"Members – Detailed Contract Expenditures Report – Ng, Mary – Q2 2021"
Supplier,Description,Date,Total
Rogers,Internet (COVID19),2020/03/23,105.9800
Rogers,Internet (COVID19),2020/04/23,105.9800
Star Metroland Media,Advertising,2020/05/17,1095.0000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,180.8400
Rogers,Internet (COVID19),2020/05/23,105.9800
51.ca,Advertising,2020/06/01,360.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,304.7500
Staples Canada,Consumable Items for Constituency Offices (COVID19),2020/06/11,16.9900
ApexLab,Consumable Items for Constituency Offices (COVID19),2020/06/21,38.9900
Image 360,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/22,285.0000
Rogers,Internet (COVID19),2020/06/23,105.9800
MING PAO NEWSPAPERS (CANADA) LTD,Advertising,2020/06/25,500.0000
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2020/06/26,500.0000
Staples,"Office Supplies, Stationery and Accessories",2020/06/26,91.9700
Grand & Toy,Bulk Paper Purchases,2020/06/30,32.5200
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,18.7900
TD Bank,Banking Fees and Cheque Orders,2020/06/30,3.9500
Toronto Star Newspapers Ltd,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/30,14.9900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/07/01,25.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,230.5000
NEWS REVIEW MEDIA INC.,Advertising,2020/07/02,495.0000
"Emergency Hub Movers ",Tenant Services,2020/07/03,220.0000
Apexlab,Consumable Items for Constituency Offices (COVID19),2020/07/06,57.9900
Rogers,Cable and Internet Fees,2020/07/08,84.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.9000
Fastsigns of Markham-Richmond Hill,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/20,200.0000
Sterling Marking Products,"Office Supplies, Stationery and Accessories",2020/07/21,95.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/07/22,26.9900
Rogers,Internet (COVID19),2020/07/23,105.9800
Amazon,Computer Equipment,2020/07/26,240.3000
ETHNIC MEDIA INC.,Advertising,2020/07/30,250.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,450.7200
TD Bank,Banking Fees and Cheque Orders,2020/07/31,5.2000
Urdu Post Inc.,Advertising,2020/07/31,200.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,230.2500
Sagitta Development & Management Inc.,Office Rental and Related Fees,2020/08/01,3626.0000
Thesiyam - Nation,Translation Services,2020/08/01,120.0000
Uline,Consumable Items for Constituency Offices (COVID19),2020/08/05,136.7900
ETHNIC MEDIA INC.,Advertising,2020/08/06,250.0000
Rogers,Cable and Internet Fees,2020/08/08,84.9900
Costco,Consumable Items for Constituency Offices (COVID19),2020/08/11,99.9500
Family Shoe Repair,"Office Supplies, Stationery and Accessories",2020/08/11,3.9900
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/11,25.9300
Uline,Consumable Items for Constituency Offices (COVID19),2020/08/11,111.8000
Tom Koehler,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/12,220.0000
Benemax,Consumable Items for Constituency Offices (COVID19),2020/08/13,440.0000
Urdu Post Inc.,Advertising,2020/08/14,200.0000
Tom Koehler,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/18,40.0000
"WEEKLY VOICE NEWSPAPER, THE",Advertising,2020/08/19,150.0000
Costco,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/20,99.9800
SNAPD MARKHAM,Advertising,2020/08/21,445.0000
No Frills,Spring Water,2020/08/22,3.9700
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/25,79.9800
Sterling Marking Products Inc.,"Office Supplies, Stationery and Accessories",2020/08/28,116.5000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,338.0400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.0000
Sagitta Development & Management Inc.,Office Rental and Related Fees,2020/09/01,3626.0000
Amazon,Photographic Equipment,2020/09/16,45.9900
Amazon,Office Equipment,2020/09/17,45.9900
Amazon,Office Equipment,2020/09/17,99.9900
Amazon,Office Equipment,2020/09/17,65.8800
Canada Post,Postage and Parcel Post,2020/09/19,11.9900
"Sherwood, Bob",Professional Communication Services,2020/09/21,325.0000
Tom Koehler,Repair of Office Equipment,2020/09/22,45.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7600
Canada Post – Postes Canada,Courier Services,2020/09/23,15.4400
Sagitta Development & Management Inc.,Office Rental and Related Fees,2020/10/01,3626.0000
