"Members – Detailed Contract Expenditures Report – Ashton, Niki – Q2 2021"
Supplier,Description,Date,Total
Logan Colombe,Janitorial Services and Maintenance,2020/05/07,110.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.63
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,177.54
Stapples,Toner,2020/06/11,146.56
Mahihkan Bus Lines,Courier Services,2020/06/21,21.96
Winnipeg Free Press,Advertising,2020/06/21,370.84
NCI Network,Advertising,2020/06/28,550.00
ARCTIC RADIO (1982) LIMITED,Advertising,2020/06/30,690.00
ARCTIC RADIO (1982) LIMITED,Advertising,2020/06/30,100.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,124.48
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,178.54
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,0.75
Gene's Telecom,Cable and Internet Fees,2020/07/02,212.93
Shaw Direct,Cable and Internet Fees,2020/07/02,121.93
Pro Max Pub,Advertising,2020/07/08,378.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,315.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.63
ARCTIC RADIO (1982) LIMITED,Advertising,2020/07/31,690.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,52.27
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,124.48
"NICE, THELMA",Office Rental and Related Fees,2020/08/01,547.25
Rogers Wireless – Rogers sans-fil,Voice and data roaming fees for mobile devices,2020/08/01,4.48
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,425.54
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,31.50
THOMPSON LEASEHOLDS LTD,Office Rental and Related Fees,2020/08/01,1155.00
Shaw Direct,Cable and Internet Fees,2020/08/02,121.93
Gene's Telecom,Cable and Internet Fees,2020/08/05,212.93
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,124.48
Gene's Telecom,Cable and Internet Fees,2020/09/01,212.93
"NICE, THELMA",Office Rental and Related Fees,2020/09/01,547.25
THOMPSON LEASEHOLDS LTD,Office Rental and Related Fees,2020/09/01,1155.00
Shaw Direct,Cable and Internet Fees,2020/09/02,121.93
Winnipeg Free Press,Advertising,2020/09/06,618.75
Winnipeg Free Press,Advertising,2020/09/06,308.34
Canada Post – Postes Canada,Courier Services,2020/09/23,12.59
Canada Post – Postes Canada,Courier Services,2020/09/23,17.51
Canada Post – Postes Canada,Courier Services,2020/09/23,16.01
Canada Post – Postes Canada,Courier Services,2020/09/23,15.14
Canada Post – Postes Canada,Courier Services,2020/09/23,13.49
Canada Post – Postes Canada,Courier Services,2020/09/23,12.09
Canada Post – Postes Canada,Courier Services,2020/09/23,20.17
Canada Post – Postes Canada,Courier Services,2020/09/23,11.92
"NICE, THELMA",Office Rental and Related Fees,2020/10/01,547.25
THOMPSON LEASEHOLDS LTD,Office Rental and Related Fees,2020/10/01,1155.00
