"Members – Detailed Contract Expenditures Report – Alghabra, Omar – Q2 2021"
Supplier,Description,Date,Total
Colliers International ITF Camcenter Holdings Inc,Office Rental and Related Fees,2020/04/01,-3245.47
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,1210.55
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.44
Cedar Springs,Spring Water,2020/05/31,7.95
NGP VAN Inc,Professional Communication Services,2020/06/01,100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,326.84
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/15,249.95
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/06/15,1270.00
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/06/16,85.40
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/24,56.24
Cedar Springs,Spring Water,2020/06/30,7.95
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/07/01,149.53
NGP VAN Inc.,Professional Communication Services,2020/07/01,100.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,372.29
BELL CANADA,Cable and Internet Fees,2020/07/05,173.37
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/08,74.99
Walmart,Cleaning Products,2020/07/08,55.76
Fadi Younes Consultancy LTD,Subject Matter Expert,2020/07/13,3000.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,0.72
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.84
"Lisgar Development Ltd. ","Office Supplies, Stationery and Accessories",2020/07/21,25.00
House of Commons – Chambre des communes,Language Training,2020/07/31,96.74
House of Commons – Chambre des communes,Language Training,2020/07/31,103.65
Lisgar Development Ltd.,Office Rental and Related Fees,2020/08/01,3517.62
NGP Van Inc,Professional Communication Services,2020/08/01,100.00
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,3.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,465.54
BELL CANADA,Cable and Internet Fees,2020/08/05,170.95
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/08/13,150.04
Fadi Younes Consultancy LTD,Subject Matter Expert,2020/08/27,3000.00
Cedar Springs,Spring Water,2020/08/31,7.95
Lisgar Development Ltd.,Office Rental and Related Fees,2020/09/01,3517.62
MaxTV Media,Communications Officer,2020/09/01,2500.00
NGP Van Inc,Professional Communication Services,2020/09/01,100.00
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/09/01,148.06
Canada Post – Postes Canada,Courier Services,2020/09/23,7.04
Canada Post – Postes Canada,Courier Services,2020/09/23,5.76
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/23,7.58
Canada Post – Postes Canada,Courier Services,2020/09/23,7.61
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
Canada Post – Postes Canada,Courier Services,2020/09/23,5.40
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,13.70
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Courier Services,2020/09/23,9.04
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,448.01
Canada Post – Postes Canada,Courier Services,2020/09/30,6.46
Lisgar Development Ltd.,Office Rental and Related Fees,2020/10/01,3517.62
