"Members – Detailed Contract Expenditures Report – Kelly, Pat – Q2 2021"
Supplier,Description,Date,Total
Safeway,Cleaning Products,2020/03/03,5.00
SecurTek Monitoring Solutions Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/04/01,143.70
London Drugs,Cleaning Products,2020/05/30,9.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,84.50
Shoppers Drug Mart,Cleaning Products,2020/06/02,3.99
London Drugs,Cleaning Products,2020/06/21,25.36
Shaw Direct,Cable and Internet Fees,2020/06/21,170.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,4.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,126.88
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,67.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,18.85
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.75
Shaw Direct,Cable and Internet Fees,2020/07/21,171.50
Zoom Video Communications Inc.,Licence Renewal,2020/07/22,20.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,581.11
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,126.88
Melcor Reit,Office Rental and Related Fees,2020/08/01,3785.83
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,69.25
London Drugs,Cleaning Products,2020/08/08,10.00
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/10,354.82
Shaw Direct,Cable and Internet Fees,2020/08/21,198.20
Zoom Video Communications Inc.,Licence Renewal,2020/08/22,20.00
Costco,"Office Supplies, Stationery and Accessories",2020/08/30,16.99
Grand & Toy,Office Equipment,2020/08/31,523.81
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,126.88
Melcor Reit,Office Rental and Related Fees,2020/09/01,3785.83
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,299.97
Shaw Direct,Cable and Internet Fees,2020/09/21,170.95
Zoom,Licence Renewal,2020/09/22,20.00
Canada Post – Postes Canada,Courier Services,2020/09/23,106.55
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,300.16
Melcor Reit,Office Rental and Related Fees,2020/10/01,3785.83
