"Members – Detailed Contract Expenditures Report – Weiler, Patrick – Q2 2021"
Supplier,Description,Date,Total
Bella Bay Properties,Office Rental and Related Fees,2020/02/01,126.54
Bella Bay Properties,Office Rental and Related Fees,2020/03/01,126.54
Bella Bay Properties,Office Rental and Related Fees,2020/04/01,126.54
Bell Canada,Monthly Phone Service,2020/04/07,272.61
Bella Bay Properties,Office Rental and Related Fees,2020/05/01,126.54
Choice Communication,Advertising,2020/05/23,204.00
Bella Bay Properties,Office Rental and Related Fees,2020/06/01,2219.17
Facebook,Advertising,2020/06/07,40.00
BC Hydro,Public Utilities,2020/06/11,73.41
Facebook,Advertising,2020/06/13,8.13
"Mailchimp ",Professional Communication Services,2020/06/14,103.28
Actuate Print,External Printing Costs,2020/06/16,40.66
Facebook,Advertising,2020/06/16,40.00
IDRS,Householders,2020/06/16,7760.83
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Dads Printing,Gifts given as a matter of protocol,2020/06/23,706.20
Spike Imaging Inc.,External Printing Costs,2020/06/30,255.11
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,301.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,32.00
Bella Bay Properties,Office Rental and Related Fees,2020/07/01,2219.17
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Facebook,Advertising,2020/07/03,40.00
Facebook,Advertising,2020/07/13,69.99
Mailchimp,Professional Communication Services,2020/07/14,102.86
LMP Publication Limited,Advertising,2020/07/15,2233.90
The 101 Brewhouse,Consumable Items for Constituency Offices (COVID19),2020/07/15,24.17
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.09
Choice Communication,Advertising,2020/07/20,244.29
Choice Communication,Advertising,2020/07/20,248.57
Shaw Cable,Cable and Internet Fees,2020/07/27,316.58
Glacier Media Group,Advertising,2020/07/31,1300.00
Glacier Media Group,Advertising,2020/07/31,650.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,301.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,32.00
Bella Bay Properties,Office Rental and Related Fees,2020/08/01,2219.17
Mailchimp,Professional Communication Services,2020/08/09,32.42
Facebook,Advertising,2020/08/10,70.00
Glacier Media,Advertising,2020/08/11,1570.00
BC Hydro,Public Utilities,2020/08/12,75.30
"Facebook ",Advertising,2020/08/13,30.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Mailchimp,Professional Communication Services,2020/08/14,132.30
Zoom,Professional Communication Services,2020/08/14,186.00
Vancouver Jewish Seniors Directory,Advertising,2020/08/18,250.00
Facebook,Advertising,2020/08/20,70.00
Shaw Communications,Cable and Internet Fees,2020/08/27,101.65
Facebook,Advertising,2020/08/30,100.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,301.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,32.00
Bella Bay Properties,Office Rental and Related Fees,2020/09/01,2219.17
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Coast Reporter,Advertising,2020/09/04,385.00
Facebook,Advertising,2020/09/12,150.00
Facebook,Advertising,2020/09/14,11.26
Mailchimp,Professional Communication Services,2020/09/14,131.77
Canada Post – Postes Canada,Courier Services,2020/09/23,10.43
Canada Post – Postes Canada,Courier Services,2020/09/23,22.19
Canada Post – Postes Canada,Courier Services,2020/09/23,14.27
Canada Post – Postes Canada,Courier Services,2020/09/23,9.53
Canada Post – Postes Canada,Courier Services,2020/09/23,14.99
Canada Post – Postes Canada,Courier Services,2020/09/23,104.16
Canada Post – Postes Canada,Courier Services,2020/09/23,14.99
Bella Bay Properties,Office Rental and Related Fees,2020/10/01,2219.17
