"Members – Detailed Contract Expenditures Report – Lefebvre, Paul – Q2 2021"
Supplier,Description,Date,Total
Querney's Office Plus,Office Relocation,2019/10/29,495.00
Querney's Office Plus,Operating Machinery and Equipment,2019/11/07,58.99
CANADIAN NETWORK BROADCASTING,Advertising,2019/11/19,275.00
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2019/11/27,81.56
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2019/11/28,17.07
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2019/12/16,29.97
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2020/02/26,272.82
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2020/02/28,123.80
Querney's Office Plus,"Office Supplies, Stationery and Accessories",2020/03/04,16.15
Better Beginnings Education Fund,Advertising,2020/03/07,525.00
Bairds Business Machines,Photocopier Rental and Related Costs,2020/03/10,1801.65
CANADIAN NETWORK BROADCASTING,Advertising,2020/04/01,3588.00
Bell Média Inc.,Advertising,2020/04/26,1625.00
Bell Média Inc.,Advertising,2020/05/31,125.00
Nilgiri Pearson,Research Consultants,2020/05/31,2500.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
Vianet,Cable and Internet Fees,2020/06/01,129.00
Derro Security Systems,Protection and Alarm Monitoring (Member's Office Budget),2020/06/02,264.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.00
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.14
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,280.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.75
Vianet,Cable and Internet Fees,2020/07/01,129.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,595.92
Journal Printing,"Householders ",2020/07/15,11760.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.07
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,280.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
Dalron Leasing Limited,Office Rental and Related Fees,2020/08/01,3000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,25.50
Vianet,Cable and Internet Fees,2020/08/01,129.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,280.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,57.61
Dalron Leasing Limited,Office Rental and Related Fees,2020/09/01,3000.00
Vianet,Cable and Internet Fees,2020/09/01,129.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/08,3202.00
Canada Post – Postes Canada,Courier Services,2020/09/23,22.38
Canada Post – Postes Canada,Courier Services,2020/09/23,7.77
Canada Post – Postes Canada,Courier Services,2020/09/23,7.88
Canada Post – Postes Canada,Courier Services,2020/09/30,26.68
Dalron Leasing Limited,Office Rental and Related Fees,2020/10/01,3000.00
