"Members – Detailed Contract Expenditures Report – Paul-Hus, Pierre – Q2 2021"
Supplier,Description,Date,Total
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2019/11/01,57.6600
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2019/12/01,57.6600
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2020/01/01,57.6600
Comité Paroissial de Saint-Émile Inc.,Advertising,2020/01/06,500.0000
Société d'histoire de Charlesbourg Maison Éphraïm-Bédard,Advertising,2020/04/23,250.0000
Espace région de Québec,Advertising,2020/06/16,150.0000
Métro Média,Advertising,2020/06/20,539.5000
Club de Soccer de la Haute-Saint-Charles,Advertising,2020/06/22,250.0000
LOISIRS N.D.L.,Advertising,2020/06/26,250.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,128.9500
Métro Média,Advertising,2020/06/27,528.0000
Marché Jean-Talon Charlesbourg,Advertising,2020/06/30,350.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,217.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,114.6500
Développement F.I. Sciences Inc.,Computer Software,2020/07/01,495.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/03,82.8300
Métro Média,Advertising,2020/07/04,539.5000
"Dollarama ",Consumable Items for Constituency Offices (COVID19),2020/07/08,25.5500
"Tigre Géant ",Consumable Items for Constituency Offices (COVID19),2020/07/08,46.6800
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/07/09,321.0500
"Mercedes Morin ",Consumable Items for Constituency Offices (COVID19),2020/07/10,71.5000
"Protege-toi ",Consumable Items for Constituency Offices (COVID19),2020/07/10,92.9300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,259.6200
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/15,338.0000
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/07/16,251.0500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,13.7500
"Apple Store ",Voice Communication Equipment,2020/07/20,92.9500
LOISIRS N.D.L.,Advertising,2020/07/24,250.0000
Club Rotary de Québec-Charlesbourg,Advertising,2020/07/27,250.0000
Hélène Demers,Professional Communication Services,2020/07/28,42.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,341.3200
Vidéotron s.e.n.c,Cable and Internet,2020/07/31,82.8300
Vidéotron s.e.n.c,Cable and Internet,2020/07/31,128.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,257.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,197.1700
Développement F.I. Sciences Inc.,Computer Software,2020/08/01,495.0000
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2020/08/01,1991.6300
Le Bouclier Collectif,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/19,663.0000
Club FADOQ Les Aines Trait Carre,Advertising,2020/08/20,175.0000
Clubs Les Aînés Actifs d`Orsainville,Advertising,2020/08/27,200.0000
Ligue de Quilles Les Retraites,Advertising,2020/08/27,200.0000
Cercle de Fermières Lac-Saint-Charles,Advertising,2020/08/28,200.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/28,128.9500
JOURNAL.CA.INC.,Advertising,2020/08/31,593.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,217.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,170.4800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,36.0000
Développement F.I. Sciences Inc.,Licence Renewal,2020/09/01,1485.0000
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2020/09/01,1991.6300
deuil-jeunesse,Advertising,2020/09/04,250.0000
SEMAINIER PAROISSIAL,Advertising,2020/09/04,340.0000
SEMAINIER PAROISSIAL,Advertising,2020/09/04,435.0000
SEMAINIER PAROISSIAL,Advertising,2020/09/04,630.0000
Vidéotron,Cable and Internet Fees,2020/09/04,82.8300
FONDS DE PLACEMENT IMMOBILIER COMINAR,Public Utilities,2020/09/08,560.4600
Best Buy,Video Communication and Broadcasting Equipment,2020/09/09,34.9900
House of Commons – Chambre des communes,Voice Communication Equipment,2020/09/09,1020.0000
Amazon,Video Communication and Broadcasting Equipment,2020/09/14,34.5600
Amazon,Video Communication and Broadcasting Equipment,2020/09/14,39.9900
Amazon,Video Communication and Broadcasting Equipment,2020/09/14,65.9900
Amazon,Video Communication and Broadcasting Equipment,2020/09/14,20.9900
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/18,295.1900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.0400
Canada Post – Postes Canada,Courier Services,2020/09/23,19.1000
FONDS DE PLACEMENT IMMOBILIER COMINAR,Office Rental and Related Fees,2020/10/01,1991.6300
