"Members – Detailed Contract Expenditures Report – Fonseca, Peter – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,1074.15
Embee Properties Limited,Office Rental and Related Fees,2020/06/01,1054.17
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,229.04
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,1.50
Embee Properties Limited,Public Utilities,2020/06/02,198.67
Embee Properties Limited,Public Utilities,2020/06/02,249.87
PRISTINE PRINTING INC.,Constituency Mail,2020/06/15,3862.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Embee Properties Limited,Public Utilities,2020/06/29,113.09
Phillips Moving & Storage (2365208 ON Inc),Office Relocation,2020/06/30,3508.55
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,13.50
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,175.54
"Siery, Kevin",Office Assistant,2020/07/02,704.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,19.11
Embee Properties Limited,Public Utilities,2020/07/14,167.31
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.14
"Bodnar, Anna",Office Assistant,2020/07/31,900.00
"Siery, Kevin",Office Assistant,2020/07/31,2112.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.00
Embee Properties Limited,Office Rental and Related Fees,2020/08/01,3450.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,198.54
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
"Bodnar, Anna",Office Assistant,2020/08/31,1260.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,56.00
Embee Properties Limited,Office Rental and Related Fees,2020/09/01,3450.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
"Siery, Kevin",Office Assistant,2020/09/01,2048.00
Canada Post – Postes Canada,Courier Services,2020/09/23,13.70
Embee Properties Limited,Office Rental and Related Fees,2020/10/01,3450.00
