"Members – Detailed Contract Expenditures Report – Kent, Peter – Q2 2021"
Supplier,Description,Date,Total
Rogers,Internet (COVID19),2020/03/19,100.00
Costco,Office Furniture and Fixtures,2020/03/23,127.98
Poweron Computer Systems,Office Relocation,2020/03/24,200.00
Campbell Moving Systems inc. 0672,Office Relocation,2020/03/31,1800.00
Iron Mountain,Shredding,2020/03/31,105.83
Rochanak Emami-Alagha,Public Utilities,2020/04/21,56.35
Campbell Moving Systems inc. 0672,Office Relocation,2020/04/27,450.00
Iron Mountain,Shredding,2020/04/30,311.55
Rogers,Internet (COVID19),2020/05/19,240.00
Bell Canada,Monthly Phone Service,2020/05/23,13.90
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.82
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,933.75
Campbell Moving Systems inc. 0672,Office Relocation,2020/05/26,1550.00
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/01,24.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,222.29
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/06/01,0.90
Rogers,Cable and Internet Fees,2020/06/05,126.94
Desjardins Insurance,Constituency Office Insurance,2020/06/19,78.89
Bell Canada,Monthly Phone Service,2020/06/23,13.90
Canada Post,Postage and Parcel Post,2020/06/23,167.50
"RBC ",Banking Fees and Cheque Orders,2020/06/25,11.25
Canadian Tire,Office Furniture and Fixtures,2020/06/26,34.99
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,23.39
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,23.35
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,208.75
RBC Bank,Banking Fees and Cheque Orders,2020/07/02,3.75
Rogers,Cable and Internet Fees,2020/07/05,155.60
Walmart,Cleaning Products,2020/07/06,51.84
Emes Marketing Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/08,392.58
Dollarama,Cleaning Products,2020/07/10,13.50
Wrap Werks,Signage,2020/07/10,1700.00
St. Lawrence Pharmacy,Cleaning Products,2020/07/11,10.78
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.03
Rogers,Internet (COVID19),2020/07/19,125.00
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/20,206.09
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/22,10.46
Bell Canada,Monthly Phone Service,2020/07/23,13.90
Brookdale Me4dical Specialties Ltd.,Cleaning Products,2020/07/27,266.00
Grand & Toy,Bulk Paper Purchases,2020/07/31,35.76
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,287.04
Vogue Investments Limited,Office Rental and Related Fees,2020/08/01,4455.94
Rogers,Cable and Internet Fees,2020/08/05,183.65
JRCC Exodus,Advertising,2020/08/09,1380.00
Certas Home and Auto Ins. Co,Constituency Office Insurance,2020/08/11,875.88
RBC,Banking Fees and Cheque Orders,2020/08/18,3.75
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,206.62
Bell,Voice and Data Plan for Mobile Devices,2020/08/23,13.90
"YRCC 889, Suite 100",Storage and Warehousing,2020/08/31,366.52
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/01,169.00
Vogue Investments Limited,Office Rental and Related Fees,2020/09/01,4455.94
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/04,169.00
Canada Post – Postes Canada,Courier Services,2020/09/23,13.70
Canada Post – Postes Canada,Courier Services,2020/09/23,0.29
Canada Post – Postes Canada,Courier Services,2020/09/23,7.19
Vogue Investments Limited,Office Rental and Related Fees,2020/10/01,4455.94
