"Members – Detailed Travel Expenditures Report – Schiefke, Peter – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202649,2020/06/26,2020/06/26,,,,,,,147.5800,0.0000,98.3000,1.0000,0,0,245.88
T0202649,2020/06/26,2020/06/26,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/06/26,Vaudreuil-Dorion,Ottawa,,,,,,,
T0202649,2020/06/26,2020/06/26,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/06/26,Ottawa,Vaudreuil-Dorion,,,,,,,
T0203033,2020/07/08,2020/07/08,,,,,,,142.0500,0.0000,98.3000,1.0000,0,0,240.35
T0203033,2020/07/08,2020/07/08,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/08,Vaudreuil-Dorion,Ottawa,,,,,,,
T0203033,2020/07/08,2020/07/08,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/08,Ottawa,Vaudreuil-Dorion,,,,,,,
T0203306,2020/07/20,2020/07/21,,,,,,,284.1000,0.0000,196.6100,2.0000,0,0,480.71
T0203306,2020/07/20,2020/07/21,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/20,Vaudreuil-Dorion,Ottawa,,,,,,,
T0203306,2020/07/20,2020/07/21,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/20,Ottawa,Vaudreuil-Dorion,,,,,,,
T0203306,2020/07/20,2020/07/21,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/21,Vaudreuil-Dorion,Ottawa,,,,,,,
T0203306,2020/07/20,2020/07/21,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/07/21,Ottawa,Vaudreuil-Dorion,,,,,,,
T0203869,2020/08/12,2020/08/12,,,,,,,142.0500,0.0000,98.3000,1.0000,0,0,240.35
T0203869,2020/08/12,2020/08/12,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/08/12,Vaudreuil-Dorion,Ottawa,,,,,,,
T0203869,2020/08/12,2020/08/12,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/08/12,Ottawa,Vaudreuil-Dorion,,,,,,,
T0204261,2020/08/23,2020/08/24,,,,,,,460.5500,0.0000,98.3000,0,1.0000,0,558.85
T0204261,2020/08/23,2020/08/24,"Schiefke, Peter",Member,To conduct constituency office business,2020/08/23,Vaudreuil-Dorion,Toronto,,,,,,,
T0204261,2020/08/23,2020/08/24,"Schiefke, Peter",Member,To conduct constituency office business,2020/08/24,Toronto,Vaudreuil-Dorion,,,,,,,
T0204264,2020/08/28,2020/08/28,,,,,,,142.0500,0.0000,98.3000,1.0000,0,0,240.35
T0204264,2020/08/28,2020/08/28,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/08/28,Vaudreuil-Dorion,Ottawa,,,,,,,
T0204264,2020/08/28,2020/08/28,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/08/28,Ottawa,Vaudreuil-Dorion,,,,,,,
T0204902,2020/09/04,2020/09/04,,,,,,,142.0500,0.0000,98.3000,1.0000,0,0,240.35
T0204902,2020/09/04,2020/09/04,"Khoriaty, Ramy",Employee,To travel to/from constituency and Ottawa,2020/09/04,Vaudreuil-Dorion,Ottawa,,,,,,,
T0204902,2020/09/04,2020/09/04,"Khoriaty, Ramy",Employee,To travel to/from constituency and Ottawa,2020/09/04,Ottawa,Vaudreuil-Dorion,,,,,,,
T0205328,2020/09/23,2020/09/25,,,,,,,426.1500,0.0000,294.9100,3.0000,0,0,721.06
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/23,Vaudreuil-Dorion,Ottawa,,,,,,,
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/23,Ottawa,Vaudreuil-Dorion,,,,,,,
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/24,Vaudreuil-Dorion,Ottawa,,,,,,,
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Vaudreuil-Dorion,,,,,,,
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/25,Vaudreuil-Dorion,Ottawa,,,,,,,
T0205328,2020/09/23,2020/09/25,"Schiefke, Peter",Member,To travel to/from constituency and Ottawa,2020/09/24,Ottawa,Vaudreuil-Dorion,,,,,,,
