"Members – Detailed Contract Expenditures Report – Bendayan, Rachel – Q2 2021"
Supplier,Description,Date,Total
Centre Publicitaire Québec,Advertising,2020/02/13,350.00
VIRGIN MOBILE,Internet (COVID19),2020/04/03,40.00
VIRGIN MOBILE,Internet (COVID19),2020/04/10,30.00
"VIRGIN MOBILE ",Internet (COVID19),2020/05/03,40.00
VIRGIN MOBILE,Internet (COVID19),2020/05/10,30.00
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,164.77
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Google,Professional Communication Services,2020/05/31,11.50
VIRGIN MOBILE,Internet (COVID19),2020/06/03,40.00
BEST BUY,Computer Equipment,2020/06/08,139.99
BEST BUY,Toner,2020/06/08,103.99
VIRGIN MOBILE,Internet (COVID19),2020/06/10,30.00
Grandes Oreilles,Advertising,2020/06/12,300.00
Vidéotron,Cable and Internet Fees,2020/06/12,122.94
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
CLAN CREATIF INC.,Professional Communication Services,2020/06/19,95.20
"Flag Shop, Le",Pins and Flags,2020/06/25,3168.00
SEQEC INC.,Janitorial Services and Maintenance,2020/06/30,150.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,190.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,224.35
NGP VAN Inc.,Professional Communication Services,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
JOURNAL D'OUTREMONT,Advertising,2020/07/03,485.00
"VIRGIN MOBILE ",Internet (COVID19),2020/07/03,40.00
Montyca Services Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/06,164.50
SDC Expérience Côte-des-neiges,Advertising,2020/07/07,1000.00
Vidéotron,Cable and Internet Fees,2020/07/10,122.94
VIRGIN MOBILE,Internet (COVID19),2020/07/10,30.00
Point Productions,Professional Communication Services,2020/07/13,180.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,11.38
Nich Guilbault Illustrations & Design,Professional Communication Services,2020/07/31,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,190.92
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.05
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,140.76
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/08/01,4100.00
NGP VAN,Professional Communication Services,2020/08/01,100.00
SEQEC INC.,Janitorial Services and Maintenance,2020/08/03,150.00
VIRGINE MOBILE,Internet (COVID19),2020/08/03,40.00
DIGITAL RIVER for Webex,Licence Renewal,2020/08/07,226.00
SEQEC INC.,Janitorial Services and Maintenance,2020/08/10,50.00
VIRGIN  MOBILE,Internet (COVID19),2020/08/10,30.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
VIDEOTRON,Cable and Internet Fees,2020/08/14,122.94
"Nich Guilbault Illustrations ",Professional Communication Services,2020/08/24,240.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,190.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,260.78
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/09/01,4100.00
NGP VAN,Professional Communication Services,2020/09/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
SEQEC INC.,Janitorial Services and Maintenance,2020/09/01,150.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,44.97
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,44.97
"VIDEOTRON ",Cable and Internet Fees,2020/09/11,122.94
BENEMAX Health and Wellness,Consumable Items for Constituency Offices (COVID19),2020/09/14,660.00
Les Laboratoires MZL inc,Consumable Items for Constituency Offices (COVID19),2020/09/14,187.50
Canada Post – Postes Canada,Courier Services,2020/09/23,14.22
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/10/01,4100.00
