"Members – Detailed Contract Expenditures Report – Sarai, Randeep – Q2 2021"
Supplier,Description,Date,Total
TELUS Communications Inc.,Cable and Internet,2020/03/01,91.53
Bell Canada,Internet (COVID19),2020/03/09,82.95
D & L INVESTMENTS,Advertising,2020/03/18,81.00
Shaw Cable,Internet (COVID19),2020/03/19,95.23
TELUS Communications Inc.,Cable and Internet,2020/04/01,91.53
Staples Canada,"Office Supplies, Stationery and Accessories",2020/04/03,110.27
Staples Canada,"Office Supplies, Stationery and Accessories",2020/04/05,118.74
Staples Canada,"Office Supplies, Stationery and Accessories",2020/04/06,89.63
Bell Canada,Internet (COVID19),2020/04/09,82.95
Shaw Cable,Internet (COVID19),2020/04/14,237.99
Shaw Cable,Internet (COVID19),2020/04/18,95.23
TELUS Communications Inc.,Cable and Internet,2020/05/01,91.53
Bell Canada,Internet (COVID19),2020/05/09,82.95
Shaw Cable,Internet (COVID19),2020/05/14,80.25
Shaw Cable,Internet (COVID19),2020/05/18,95.23
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,343.54
TELUS Communications Inc.,Cable and Internet,2020/06/01,91.53
Rona Surrey Fleetwood,"Office Supplies, Stationery and Accessories",2020/06/02,4.06
Bell Canada,Internet (COVID19),2020/06/09,82.95
Shaw Cable,Internet (COVID19),2020/06/14,80.25
7 Subhgyan Enterprises,Janitorial Services and Maintenance,2020/06/15,254.00
7 Subhgyan Enterprises,Consumable Items for Constituency Offices (COVID19),2020/06/15,146.26
REYFORT PUBLISHING,Advertising,2020/06/15,71.43
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Shaw Cable,Internet (COVID19),2020/06/18,95.23
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,105.60
TELUS Communications Inc.,Cable and Internet Fees,2020/06/28,92.82
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/29,37.97
Sunflower Marketing,Advertising,2020/06/29,93.75
Black Press Group Ltd.,Advertising,2020/06/30,524.25
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/30,21.39
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/07/01,338.40
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,332.79
Sach Di Awaaz Newspaper,Advertising,2020/07/03,250.00
BC HYDRO,Public Utilities,2020/07/08,861.97
Bell Canada,Internet (COVID19),2020/07/09,82.95
7 Subhgyan Enterprises,Janitorial Services and Maintenance,2020/07/13,254.00
Canada Post,Postage and Parcel Post,2020/07/13,19.10
"London Drugs ",Spring Water,2020/07/13,9.64
"London Drugs ",Cleaning Products,2020/07/13,20.40
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,1745.26
Shaw Cable,Internet (COVID19),2020/07/14,69.55
Shaw Cable,Internet (COVID19),2020/07/18,95.23
Shaw Cable,Internet (COVID19),2020/07/18,95.23
"Shaw Cable ",Internet (COVID19),2020/07/18,95.23
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,238.21
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,234.11
London Drugs,"Office Supplies, Stationery and Accessories",2020/07/22,42.80
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,182.50
TELUS Communications Inc.,Cable and Internet Fees,2020/07/28,90.95
Black Press Group Ltd.,Advertising,2020/07/31,221.58
Grand & Toy,Cleaning Products,2020/07/31,22.44
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,185.45
Grand & Toy,Bulk Paper Purchases,2020/07/31,133.39
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.00
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,14.25
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,343.04
Solarispro Holdings Partnership,Office Rental and Related Fees,2020/08/01,4946.24
