"Members – Detailed Travel Expenditures Report – Bragdon, Richard – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205478,2020/05/30,2020/05/30,,,,,,,39.0200,0.0000,82.8600,0.0000,0,0,121.88
T0205478,2020/05/30,2020/05/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/05/30,Keswick Ridge,Maple Ridge,,,,,,,
T0205478,2020/05/30,2020/05/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/05/30,Maple Ridge,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,,,,,,,594.2300,0.0000,497.1400,0.0000,0.0000,0,1091.37
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/12,Keswick Ridge,Florenceville-Bristol,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/14,Keswick Ridge,Upper Stoneridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/14,Upper Stoneridge,Wicklow,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/14,Wicklow,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/19,Coldstream,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/19,Keswick Ridge,Maple Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/19,Maple Ridge,Millville,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/19,Millville,Hartland,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/19,Hartland,Coldstream,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/30,Florenceville-Bristol,Lansdowne,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/30,Lansdowne,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/30,Keswick Ridge,Tracey Mills,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/30,Tracey Mills,Florenceville-Bristol,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/09,Fredericton,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/06,Keswick Ridge,Bon Accord,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/06,Perth-Andover,Keswick Ridge,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/06,Pembroke,Perth-Andover,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/06,Bon Accord,Pembroke,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/09,Keswick Ridge,Fredericton,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/12,Florenceville-Bristol,Good Corner,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/12,Good Corner,Lakeville,,,,,,,
T0205479,2020/06/06,2020/06/30,"Bragdon, Richard",Member,To attend a constituency or community event,2020/06/12,Lakeville,Keswick Ridge,,,,,,,
T0205323,2020/06/15,2020/06/29,,,,,,,964.1300,0.0000,0.0000,0.0000,0.0000,0,964.13
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/15,Upper Kingsclear,Nackawic,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/18,Canterbury,Nackawic,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/18,Nackawic,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/20,Upper Kingsclear,Stanley,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/20,Stanley,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/23,Upper Kingsclear,Hartland,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/23,Hartland,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/24,Upper Kingsclear,Zealand,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/24,Zealand,Hartland,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/24,Hartland,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/26,Upper Kingsclear,Grand Falls,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/15,Nackawic,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/26,Grand Falls,Plaster Rock,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/26,Plaster Rock,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/27,Upper Kingsclear,Stanley,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/27,Stanley,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/29,Upper Kingsclear,Nackawic,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/29,Nackawic,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/16,Nackawic,Hartland,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/16,Hartland,Nackawic,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/17,Upper Kingsclear,Grand Falls,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/17,Grand Falls,Plaster Rock,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/17,Plaster Rock,Upper Kingsclear,,,,,,,
T0205323,2020/06/15,2020/06/29,"Hunter, Richard",Employee,To conduct constituency office business,2020/06/18,Upper Kingsclear,Woodstock,,,,,,,
