"Members – Detailed Contract Expenditures Report – Lehoux, Richard – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
DISTRIBUTION DAKI 2008,Consumable Items for Constituency Offices (COVID19),2020/06/05,203.35
Novalie,Consumable Items for Constituency Offices (COVID19),2020/06/05,71.87
MAXI,"Office Supplies, Stationery and Accessories",2020/06/16,47.44
Icimédias Inc.,Advertising,2020/06/17,418.00
Icimédias Inc.,Advertising,2020/06/17,391.00
Impression GP,External Printing Costs,2020/06/17,2628.83
Novalie,Consumable Items for Constituency Offices (COVID19),2020/06/19,43.75
Néomédia inc.,Advertising,2020/06/23,525.00
HORTIBEAUCE,Office Plants and Flowers,2020/06/24,17.97
LIBRAIRIE RENAUD-BRAY,"Office Supplies, Stationery and Accessories",2020/06/27,39.90
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,161.38
Développement F.I. Sciences Inc.,Licence Renewal,2020/07/01,1485.00
"Bouclair ",Office Decor,2020/07/07,17.99
WALMART,Office Furniture and Fixtures,2020/07/07,93.50
Icimédias Inc.,Advertising,2020/07/08,391.00
Icimédias Inc.,Advertising,2020/07/08,418.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,476.81
Canac,"Office Supplies, Stationery and Accessories",2020/07/15,8.49
Les tissus de Naphtaline,Consumable Items for Constituency Offices (COVID19),2020/07/15,32.00
LA SOURCE,"Office Supplies, Stationery and Accessories",2020/07/16,29.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.47
"BOUCLIER PRÉVENTION, LE",Advertising,2020/07/19,250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/22,5.32
10679313 Canada inc.,Advertising,2020/07/26,360.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/29,95.95
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/08/01,2690.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,161.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,32.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/08/01,650.00
LES TISSUS DE NAPHTALINE,Consumable Items for Constituency Offices (COVID19),2020/08/07,24.00
ENCADREMENTS STE-MARIE,"Framing, Outside Supplier",2020/08/12,58.00
IGA,Cleaning Products,2020/08/19,46.07
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/29,66.94
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/09/01,2690.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,161.38
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.00
Cable-Axion Digitel Inc,Cable and Internet Fees,2020/09/01,45.50
Développement F.I. Sciences Inc.,Licence Renewal,2020/09/01,990.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/09/01,650.00
Super C,Cleaning Products,2020/09/13,3.99
Copie Extra,"Office Supplies, Stationery and Accessories",2020/09/21,10.99
Canada Post – Postes Canada,Courier Services,2020/09/23,9.63
Canada Post – Postes Canada,Courier Services,2020/09/23,39.33
Canada Post – Postes Canada,Courier Services,2020/09/23,11.97
Canada Post – Postes Canada,Courier Services,2020/09/23,10.55
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Courier Services,2020/09/23,8.96
Canada Post – Postes Canada,Courier Services,2020/09/30,7.39
9241-9282 Quebec Inc.,Office Rental and Related Fees,2020/10/01,2690.00
Promenades St-Georges Inc.,Office Rental and Related Fees,2020/10/01,650.00
