"Members – Detailed Contract Expenditures Report – Robillard, Yves – Q2 2021"
Supplier,Description,Date,Total
ceci cela convenience,"Office Supplies, Stationery and Accessories",2020/02/19,6.6300
Cercle de fermieres Ste-Rose Auteuil,Advertising,2020/04/18,500.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.5000
BELL CANADA,Cable and Internet Fees,2020/06/05,87.9000
BELL CANADA,Cable and Internet Fees,2020/06/10,155.0000
les lames d'argent de Laval,Advertising,2020/06/11,62.5000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
SPORTS LAVAL,Advertising,2020/06/18,125.0000
2M.Media,Advertising,2020/06/20,343.7500
2M.Media,Advertising,2020/06/27,450.5500
"Immeubles Lussier & Fortin inc., Les",Consumable Items for Constituency Offices (COVID19),2020/06/29,1000.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,153.3800
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.1800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,51.2000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,25.5000
2M.Media,Advertising,2020/07/04,450.5500
BELL CANADA,Cable and Internet Fees,2020/07/05,88.3500
BELL CANADA,Cable and Internet Fees,2020/07/10,155.0000
2M.Media,Advertising,2020/07/11,212.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,197.0200
Café Le Signet,Advertising,2020/07/15,250.0000
Café Le Signet,Advertising,2020/07/15,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,14.4300
Entretien Ménager AV,Janitorial Services and Maintenance,2020/07/20,235.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,153.3800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,18.4000
Femmes en Emploi,Advertising,2020/08/01,500.0000
"Immeubles Lussier & Fortin inc., Les",Office Rental and Related Fees,2020/08/01,2328.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
BELL CANADA,Cable and Internet Fees,2020/08/05,88.4100
BELL CANADA,Cable and Internet Fees,2020/08/10,155.8900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
canadian tire,"Office Supplies, Stationery and Accessories",2020/08/20,15.4800
2M.Media,Advertising,2020/08/22,361.4400
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/08/26,220.0000
Entretien Ménager AV,Janitorial Services and Maintenance,2020/08/28,400.0000
2M.Media,Advertising,2020/08/29,343.7500
Grand & Toy,Cleaning Products,2020/08/31,261.6500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,547.0600
SEMAINIER PAROISSIAL,Advertising,2020/08/31,1010.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,153.3800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,40.7900
"Immeubles Lussier & Fortin inc., Les",Office Rental and Related Fees,2020/09/01,2328.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
BELL CANADA,Cable and Internet Fees,2020/09/05,88.4100
BELL CANADA,Cable and Internet Fees,2020/09/10,155.8900
aqdr laval laurentides,Advertising,2020/09/16,25.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.7300
Canada Post – Postes Canada,Courier Services,2020/09/23,12.5000
House of Commons – Chambre des communes,Voice Communication Equipment,2020/09/30,1020.0000
"Immeubles Lussier & Fortin inc., Les",Office Rental and Related Fees,2020/10/01,2328.0000
