"Members – Detailed Contract Expenditures Report – Ruff, Alex – Q2 2021"
Supplier,Description,Date,Total
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/04/21,10.9500
Herald Newspaper Corp.,Advertising,2020/05/12,250.0000
Home Depot,Cleaning Products,2020/05/13,7.2000
Tobermory Press Inc.,Advertising,2020/05/13,230.3000
Postmedia Network Inc.,Advertising,2020/05/16,445.0000
Postmedia Network Inc.,Advertising,2020/05/16,200.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/05/21,10.9500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,63.0000
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/06/04,19.9900
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/05,17.8300
Owen Sound Glass Service,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/05,139.7100
Barclay Wholesale,Consumable Items for Constituency Offices (COVID19),2020/06/10,53.2500
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/10,261.0000
Thompson-Pallister Bait Co. Ltd.,Promotional Items,2020/06/11,1768.6200
Barclay Wholesale,Consumable Items for Constituency Offices (COVID19),2020/06/12,19.9000
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/12,2.9700
Reliance Printing,Constituency Mail,2020/06/17,2674.0000
Culligan Water,Spring Water,2020/06/18,29.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/06/20,10.9500
Postmedia Network Inc.,Advertising,2020/06/23,200.0000
Postmedia Network Inc.,Advertising,2020/06/23,200.0000
Wix.com,Web Site Hosting/Domain Name,2020/06/23,118.1100
ColourPix - SouthGrey.ca,Advertising,2020/06/24,59.0000
Herald Newspaper Corp.,Advertising,2020/06/24,250.0000
Tobermory Press Inc.,Advertising,2020/06/24,230.3000
Rogers,Cable and Internet Fees,2020/06/25,49.9900
All-Wright Cleaning,Janitorial Services and Maintenance,2020/06/27,160.0000
Nicol Insurance Inc.,Constituency Office Insurance,2020/06/29,815.0000
BAYSHORE BROADCASTING CORP.,Advertising,2020/06/30,400.0000
BAYSHORE BROADCASTING CORP.,Advertising,2020/06/30,400.0000
BAYSHORE BROADCASTING CORP.,Advertising,2020/06/30,600.0000
BAYSHORE BROADCASTING CORP.,Advertising,2020/06/30,600.0000
Grand & Toy,Cleaning Products,2020/06/30,7.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,74.1800
Postmedia Network Inc.,Advertising,2020/06/30,280.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,67.2500
Escape Productions,Advertising,2020/07/06,298.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,279.3700
Owen Sound & District Chamber of Commerce,Advertising,2020/07/13,200.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,61.8800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.7000
GEORGIAN BAY FIRE & SAFETY LTD.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/20,649.0000
GEORGIAN BAY FIRE & SAFETY LTD.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/20,70.0000
GEORGIAN BAY FIRE & SAFETY LTD.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/20,392.0000
GEORGIAN BAY FIRE & SAFETY LTD.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/20,103.6000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/07/21,10.9500
Rogers,Cable and Internet Fees,2020/07/25,49.9900
All-Wright Cleaning,Janitorial Services and Maintenance,2020/07/27,160.0000
GEORGIAN BAY FIRE & SAFETY LTD.,"Safety Supplies (fire extinguishers, first aid kits)",2020/07/28,87.0000
GEORGIAN BAY FIRE & SAFETY LTD.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/31,1620.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,257.5800
TMI Publications Inc.,Advertising,2020/07/31,265.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.0000
NORTHRIDGE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/08/01,2963.3300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,63.0000
Niagara Escarpment Views,Advertising,2020/08/03,249.0000
"Grey-Bruce Boomers, Huron-Perth Boomers & Grey-Bruce Kids magazines",Advertising,2020/08/09,250.0000
The Ginger Press,Advertising,2020/08/17,85.0000
Parsons foto source,Photographic Equipment,2020/08/20,51.9900
