"Members – Detailed Contract Expenditures Report – Turnbull, Ryan – Q2 2021"
Supplier,Description,Date,Total
NGP VAN,Professional Communication Services,2020/04/27,100.00
Facebook,Advertising,2020/05/12,30.00
Facebook,Advertising,2020/05/31,40.00
PRINT ME DESIGN,"Householders ",2020/06/02,3720.00
BELL CANADA,Cable and Internet Fees,2020/06/05,165.90
Facebook,Advertising,2020/06/05,13.73
Facebook,Advertising,2020/06/05,26.10
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/12,52.49
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/12,81.05
Facebook,Advertising,2020/06/16,70.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
PRINT ME DESIGN,Advertising,2020/06/17,45.00
BROADWAY EXPORTERS IMPORTERS INC.,Pins and Flags,2020/06/23,450.00
PRINT ME DESIGN,Promotional Items,2020/06/23,2478.00
Facebook,Advertising,2020/06/26,100.00
Facebook,Advertising,2020/06/26,100.00
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/06/26,31.30
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/06/26,66.90
Facebook,Advertising,2020/06/27,150.00
Facebook,Advertising,2020/06/28,200.00
Star Metroland Media,Advertising,2020/06/28,749.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,50.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,262.27
Facebook,Advertising,2020/07/01,300.00
Gulf Pacific Property Mgmt. ITF 400 Dundas St. W,Office Rental and Related Fees,2020/07/01,3277.10
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
SNAPD WHITBY,Advertising,2020/07/01,265.00
Facebook,Advertising,2020/07/02,34.72
BELL CANADA,Cable and Internet Fees,2020/07/05,165.90
Costco,Cleaning Products,2020/07/07,21.99
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/07/07,6.00
Pacific Fresh Food Market,Consumable Items for Constituency Offices (COVID19),2020/07/07,77.98
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,230.30
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,68.03
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/07/15,2.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.11
Skyland Food Mart,Consumable Items for Constituency Offices (COVID19),2020/07/18,39.98
Chabad of Durham Region,Advertising,2020/07/21,525.00
NGP VAN,Professional Communication Services,2020/07/28,540.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,160.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,222.00
Gulf Pacific Property Mgmt. ITF 400 Dundas St. W,Office Rental and Related Fees,2020/08/01,3277.10
SNAPD WHITBY,Advertising,2020/08/01,265.00
BELL CANADA,Cable and Internet Fees,2020/08/05,188.40
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,269.56
B & B Cleaning,Janitorial Services and Maintenance,2020/08/24,150.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,222.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,61.00
Gulf Pacific Property Mgmt. ITF 400 Dundas St. W,Office Rental and Related Fees,2020/09/01,3277.10
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Snapd Inc,Advertising,2020/09/01,299.45
BELL CANADA,Cable and Internet Fees,2020/09/18,187.46
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/18,269.80
Canada Post – Postes Canada,Courier Services,2020/09/23,44.12
Canada Post – Postes Canada,Courier Services,2020/09/23,22.01
Canada Post – Postes Canada,Courier Services,2020/09/23,29.15
B & B Cleaning,Janitorial Services and Maintenance,2020/09/24,150.00
Gulf Pacific Property Mgmt. ITF 400 Dundas St. W,Office Rental and Related Fees,2020/10/01,3277.10
