"Members – Detailed Contract Expenditures Report – Savard-Tremblay, Simon-Pierre – Q2 2021"
Supplier,Description,Date,Total
"Courrier de Saint-Hyacinthe, Le","Printed Matter, Books, Newspapers and Subscriptions",2020/04/02,46.1000
Democratik,Advertising,2020/04/29,1168.5000
"Pensée de Bagot, La",Advertising,2020/04/29,110.0000
"ACTION NATIONALE, L'",Advertising,2020/05/01,250.0000
"Aubin, Louis",Information Technology (IT) Support Officer,2020/06/01,3000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,193.2900
Buropro citation,"Office Supplies, Stationery and Accessories",2020/06/11,7.1700
Couche-Tard,Spring Water,2020/06/15,15.0000
Imprimerie Dumaine,External Printing Costs,2020/06/15,3652.5900
Imprimerie Maska,External Printing Costs,2020/06/16,83.0000
"Pensée de Bagot, La",Advertising,2020/06/17,375.0000
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/06/18,566.0000
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/06/18,160.0000
Imprimerie Maska,External Printing Costs,2020/06/18,153.0000
CFID Radio Acton Inc.,Advertising,2020/06/19,230.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/22,139.1600
Le Clairon Saint-Hyacinthe et région,Advertising,2020/06/23,593.0000
Ecocup,Gifts given as a matter of protocol,2020/06/29,525.0000
HARNOIS,Spring Water,2020/06/29,15.0000
Journal Mobiles,Advertising,2020/06/29,525.0000
Course des Rêves - pour Jeunes en Santé,Advertising,2020/07/01,200.0000
L'aut`journal,Advertising,2020/07/01,425.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,199.2900
Le Clairon Saint-Hyacinthe et région,Advertising,2020/07/07,300.0000
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/07/09,535.0000
rona,"Office Supplies, Stationery and Accessories",2020/07/10,4.0900
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/07/11,160.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,283.5500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,261.8700
Cellbox,"Office Supplies, Stationery and Accessories",2020/07/14,85.0000
Cellbox,"Office Supplies, Stationery and Accessories",2020/07/14,45.0000
"Pensée de Bagot, La",Advertising,2020/07/15,360.0000
Lettrage Sercost Inc.,Signage,2020/07/16,317.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.4900
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/22,139.1600
Exposition Agricole et Alimentaire de Saint-Hyacinthe,Advertising,2020/07/23,500.0000
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/08/01,2000.0000
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/08/01,350.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,190.5400
Ecocup,Promotional Items,2020/08/03,545.0000
Les Castors d'Acton Vale,Advertising,2020/08/04,250.0000
Couche-Tard,Spring Water,2020/08/05,5.9900
Amazon,Voice Communication Equipment,2020/08/08,65.1500
Carrefour Chrétien des Maskoutains,Advertising,2020/08/11,200.0000
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/08/16,160.0000
COUCHE-TARD,Spring Water,2020/08/19,5.9900
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/08/20,535.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/22,144.8800
BOISÉ DES DOUZE,Advertising,2020/08/26,300.0000
Citevu,Signage,2020/08/31,350.0000
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/09/01,2000.0000
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/09/01,350.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,284.0700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,11.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,9.4500
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1900
Canada Post – Postes Canada,Courier Services,2020/09/23,9.6500
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,10.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/10/01,2000.0000
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/10/01,350.0000
