"Members – Detailed Contract Expenditures Report – Schmale, Jamie – Q2 2021"
Supplier,Description,Date,Total
Home Hardware,"Office Supplies, Stationery and Accessories",2020/05/23,4.9900
My Broadcasting Corp.,Advertising,2020/05/31,249.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.5000
DVINE Laboratories,Consumable Items for Constituency Offices (COVID19),2020/06/10,344.8800
HOOTSUITE,Professional Communication Services,2020/06/11,71.0600
RBC,Banking Fees and Cheque Orders,2020/06/12,15.9500
RBC,Banking Fees and Cheque Orders,2020/06/12,56.2700
RBC,Banking Fees and Cheque Orders,2020/06/12,15.9500
Amazon,Computer Equipment,2020/06/15,128.9900
Cogeco,Cable and Internet Fees,2020/06/22,193.9200
"Hydro One ",Public Utilities,2020/06/22,83.1400
"Hydro One ",Public Utilities,2020/06/22,93.9500
"Costco Wholesale ",Consumable Items for Constituency Offices (COVID19),2020/06/25,19.9900
Haliburton County Echo,Advertising,2020/06/25,125.0000
"The Highlander ",Advertising,2020/06/25,49.0000
The Standard News Corp.,Advertising,2020/06/25,180.0000
Fireside Publishing House,Advertising,2020/06/26,210.0000
Star Metroland Media,Advertising,2020/06/28,398.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,72.8500
Grand & Toy,Digital Communication Equipment,2020/06/30,108.9500
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/06/30,250.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,194.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,43.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,21.2500
Zoom Video Communications Inc.,Professional Communication Services,2020/07/01,186.0000
"Computer Smart ",Repair of Computer Equipment and Peripherals,2020/07/03,140.0000
KAWARTHA BUSINESS EQUIPMENT LTD.,Photocopier Rental and Related Costs,2020/07/08,595.7500
Bulldog Apparel Ltd.,Consumable Items for Constituency Offices (COVID19),2020/07/09,108.0000
"McLaughlin Plaza ",Public Utilities,2020/07/09,51.5800
Hootsuite,Professional Communication Services,2020/07/11,71.0600
The Millbrook Times,Advertising,2020/07/13,180.0000
"Staples ","Office Supplies, Stationery and Accessories",2020/07/15,36.9700
"Staples ",Computer Equipment,2020/07/15,189.9800
