"Members – Detailed Contract Expenditures Report – Schulte, Deb – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
LoSpecchio,Advertising,2020/06/05,450.0000
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/08,15.9700
Shoppers Drug Mart,Consumable Items for Constituency Offices (COVID19),2020/06/10,16.4800
"Shoppers Drug Mart ",Consumable Items for Constituency Offices (COVID19),2020/06/10,31.0100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
"Alectra Utilities ",Public Utilities,2020/06/17,104.1400
Curbex,Advertising,2020/06/22,198.0000
Rogers,Cable and Internet,2020/06/23,14.9900
King Weekly Sentinel,Advertising,2020/06/25,225.0000
Star Metroland Media,Advertising,2020/06/28,670.0000
Curbex,Advertising,2020/06/29,198.0000
Curbex,Advertising,2020/06/29,198.0000
Curbex,Advertising,2020/06/29,198.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,96.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
GRAND ALARMS LTD.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,129.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Snapd Vaughan,Advertising,2020/07/01,745.0000
Rogers,Cable and Internet Fees,2020/07/02,59.9900
King Weekly Sentinel,Advertising,2020/07/09,225.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,43.3800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.0200
Alectra Utilities,Public Utilities,2020/07/20,150.3400
ROGERS,Cable and Internet,2020/07/23,14.9900
King Weekly Sentinel,Advertising,2020/07/30,225.0000
Grand & Toy,Cleaning Products,2020/07/31,87.7000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,96.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.0000
PARAPET VIEW ESTATES INC.,Office Rental and Related Fees,2020/08/01,2500.0000
Rogers,Cable and Internet Fees,2020/08/01,59.9900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
"Alectra Utilities ",Public Utilities,2020/08/20,133.3000
King Weekly Sentinel,Advertising,2020/08/20,225.0000
Rogers,Cable and Internet Fees,2020/08/23,14.9900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,96.0000
"Magnetite Canada ",Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/01,900.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
PARAPET VIEW ESTATES INC.,Office Rental and Related Fees,2020/09/01,2500.0000
Rogers,Cable and Internet Fees,2020/09/01,59.9900
King Weekly Sentinel,Advertising,2020/09/03,225.0000
Vanessa Galle Photography & Design Inc.,Professional Communication Services,2020/09/03,1380.0000
King Weekly Sentinel,Advertising,2020/09/10,225.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.8300
Canada Post – Postes Canada,Courier Services,2020/09/23,28.8400
Canada Post – Postes Canada,Courier Services,2020/09/23,15.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,9.9100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1700
PARAPET VIEW ESTATES INC.,Office Rental and Related Fees,2020/10/01,2500.0000
