"Members – Detailed Contract Expenditures Report – Simms, Scott – Q2 2021"
Supplier,Description,Date,Total
Zoom,Licence Renewal,2020/03/27,20.00
Fido,Internet (COVID19),2020/04/02,60.00
Bell Aliant,Internet (COVID19),2020/04/18,57.93
Walmart,Cleaning Products,2020/04/21,26.95
Zoom,Licence Renewal,2020/04/27,20.00
D & K Computers & Crafts,Repair of Computer Equipment and Peripherals,2020/04/29,110.00
Fido,Internet (COVID19),2020/05/02,60.00
Bell Aliant,Internet (COVID19),2020/05/18,57.93
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.25
Zoom,Licence Renewal,2020/05/27,20.00
Fido,Internet (COVID19),2020/06/02,60.00
Moving Media,Advertising,2020/06/10,89.00
Dooley's Trucking,Courier Services,2020/06/11,9.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Bell Aliant,Internet (COVID19),2020/06/18,57.93
Dicks & Company Basics,Toner,2020/06/18,20.99
EV Water,Spring Water,2020/06/23,100.00
Isle's Flowers,Gifts given as a matter of protocol,2020/06/26,90.00
Zoom,Licence Renewal,2020/06/27,20.00
CENTRAL OFFICE EQUIPMENT,Photocopier Rental and Related Costs,2020/06/30,54.37
FINISHING TOUCHES,Janitorial Services and Maintenance,2020/06/30,180.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,216.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,74.69
"Gander Flyer, The",Advertising,2020/07/01,2000.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Fido,Internet (COVID19),2020/07/02,60.00
Stingray Radio Inc.,Advertising,2020/07/05,330.00
Stingray Radio Inc.,Advertising,2020/07/05,330.00
Stingray Radio Inc.,Advertising,2020/07/05,270.00
Stingray Radio Inc.,Advertising,2020/07/05,270.00
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/07/08,49.98
Rogers Wireless,Cable and Internet Fees,2020/07/08,126.08
Rogers Wireless,Cable and Internet Fees,2020/07/08,131.40
Xplornet,Cable and Internet Fees,2020/07/12,177.49
Skir,Consumable Items for Constituency Offices (COVID19),2020/07/15,78.00
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/07/16,24.99
De Lage Landen Financial Services Canada Inc.,Photocopier Rental and Related Costs,2020/07/16,503.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.14
Courtyard by Marriott,Public Meeting Room Rentals,2020/07/20,300.00
Flanker Marketing,Advertising,2020/07/28,1200.00
FINISHING TOUCHES,Janitorial Services and Maintenance,2020/07/31,180.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,61.38
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,216.25
Horwood's Limited,Office Rental and Related Fees,2020/08/01,1600.00
Skyline Rentals Ltd,Office Rental and Related Fees,2020/08/01,1500.00
Moving Media,Advertising,2020/08/04,89.00
Rogers,Cable and Internet Fees,2020/08/08,126.02
Rogers,Cable and Internet Fees,2020/08/08,133.70
Stingray Radio Inc.,Advertising,2020/08/09,264.00
Stingray Radio Inc.,Advertising,2020/08/09,216.00
Stingray Radio Inc.,Advertising,2020/08/09,216.00
Stingray Radio Inc.,Advertising,2020/08/09,264.00
Xplornet,Cable and Internet Fees,2020/08/12,177.49
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
De Lage Landen Financial Services Canada Inc.,Photocopier Rental and Related Costs,2020/08/16,503.22
Town of Lewisporte,Advertising,2020/08/19,200.00
FINISHING TOUCHES,Janitorial Services and Maintenance,2020/08/31,180.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,56.11
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,216.25
Horwood's Limited,Office Rental and Related Fees,2020/09/01,1600.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Skyline Rentals Ltd,Office Rental and Related Fees,2020/09/01,1500.00
Admirals Inn,Public Meeting Room Rentals,2020/09/02,345.00
Rogers,Cable and Internet Fees,2020/09/08,133.94
Rogers,Cable and Internet Fees,2020/09/08,125.06
Xplornet,Cable and Internet Fees,2020/09/12,177.49
De Lage Landen Financial Services Canada Inc.,Photocopier Rental and Related Costs,2020/09/15,503.22
Canada Post – Postes Canada,Courier Services,2020/09/23,52.60
Canada Post – Postes Canada,Courier Services,2020/09/23,31.30
Canada Post – Postes Canada,Courier Services,2020/09/23,26.87
Canada Post – Postes Canada,Courier Services,2020/09/23,18.27
Canada Post – Postes Canada,Courier Services,2020/09/23,147.17
Canada Post – Postes Canada,Courier Services,2020/09/23,17.21
Canada Post – Postes Canada,Courier Services,2020/09/23,21.82
Canada Post – Postes Canada,Courier Services,2020/09/30,62.71
Horwood's Limited,Office Rental and Related Fees,2020/10/01,1600.00
Skyline Rentals Ltd,Office Rental and Related Fees,2020/10/01,1500.00
