"Members – Detailed Contract Expenditures Report – Romanado, Sherry – Q2 2021"
Supplier,Description,Date,Total
Vidéotron,Internet (COVID19),2020/02/28,40.95
Vidéotron,Internet (COVID19),2020/03/06,36.95
Shred-it,Shredding,2020/03/22,83.70
Vidéotron,Internet (COVID19),2020/04/03,40.95
Vidéotron,Internet (COVID19),2020/04/03,36.95
Vidéotron,Internet (COVID19),2020/05/01,40.95
Vidéotron,Internet (COVID19),2020/05/08,46.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Bell,Cable and Internet,2020/05/28,93.95
Canada Post,Postage and Parcel Post,2020/06/15,7.38
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Shred-it,Shredding,2020/06/22,75.77
"FM 103,3 LA RADIO ALLUMÉE",Advertising,2020/06/23,850.00
Lucas & Voigt,Advertising,2020/06/23,5050.00
Bell,Cable and Internet,2020/06/28,93.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,4.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,153.38
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/09,44.56
Vidéotron,Cable and Internet Fees,2020/07/10,139.85
GraVité Média,Advertising,2020/07/11,275.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,84.81
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.52
Canada Post,Postage and Parcel Post,2020/07/22,7.38
Shred-it,Shredding,2020/07/22,76.65
Bell,Cable and Internet,2020/07/28,93.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,155.13
Grand & Toy,Cleaning Products,2020/07/31,210.53
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,61.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,22.70
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,25.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,153.38
CORPORATION FINANCIERE IMMOCREDIT INC.,Office Rental and Related Fees,2020/08/01,2840.09
Indigo,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/04,48.06
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/06,35.96
Association de soccer de Greenfield Park,Advertising,2020/08/07,500.00
Vidéotron,Cable and Internet Fees,2020/08/07,139.85
"Mike Reid Softball Tournament, The",Advertising,2020/08/08,500.00
Metro Plus Bellemare,Cleaning Products,2020/08/11,5.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Shred-it,Shredding,2020/08/22,76.65
Club des Lions Greenfield Park,Advertising,2020/08/29,500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,153.38
CORPORATION FINANCIERE IMMOCREDIT INC.,Office Rental and Related Fees,2020/09/01,2840.09
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Vidéotron,Cable and Internet Fees,2020/09/11,139.85
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/23,19.47
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,13.02
Canada Post – Postes Canada,Courier Services,2020/09/23,6.06
Canada Post – Postes Canada,Courier Services,2020/09/23,7.61
CORPORATION FINANCIERE IMMOCREDIT INC.,Office Rental and Related Fees,2020/10/01,2840.09
