"Members – Detailed Travel Expenditures Report – Romanado, Sherry – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202916,2020/03/23,2020/05/01,,,,,,,0.0000,25.6800,0.0000,0,0,0,25.68
T0202916,2020/03/23,2020/05/01,"Romanado, Sherry",Member,Secondary Residence,2020/03/23,Ottawa,Ottawa,,,,,,,
T0204133,2020/05/01,2020/07/01,,,,,,,0.0000,54.5500,0.0000,0,0,0,54.55
T0204133,2020/05/01,2020/07/01,"Romanado, Sherry",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0204133,2020/05/01,2020/07/01,"Romanado, Sherry",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202917,2020/05/25,2020/08/31,,,,,,,0.0000,446.0100,0.0000,0,0,0,446.01
T0202917,2020/05/25,2020/08/31,"Romanado, Sherry",Member,Secondary Residence,2020/06/11,Ottawa,Ottawa,,,,,,,
T0202917,2020/05/25,2020/08/31,"Romanado, Sherry",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202917,2020/05/25,2020/08/31,"Romanado, Sherry",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0202917,2020/05/25,2020/08/31,"Romanado, Sherry",Member,Secondary Residence,2020/05/25,Ottawa,Ottawa,,,,,,,
T0202896,2020/06/10,2020/06/11,,,,,,,216.2200,0.0000,95.0900,1.0000,0,0,311.31
T0202896,2020/06/10,2020/06/11,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/06/10,Greenfield Park,Ottawa,,,,,,,
T0202896,2020/06/10,2020/06/11,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/06/11,Ottawa,Greenfield Park,,,,,,,
T0202913,2020/06/15,2020/06/18,,,,,,,235.8600,0.0000,242.1400,1.0000,0,0,478.00
T0202913,2020/06/15,2020/06/18,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/06/15,Greenfield Park,Ottawa,,,,,,,
T0202913,2020/06/15,2020/06/18,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Greenfield Park,,,,,,,
T0205259,2020/07/01,2020/09/01,,,,,,,0.0000,46.2300,0.0000,0,0,0,46.23
T0205259,2020/07/01,2020/09/01,"Romanado, Sherry",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0205259,2020/07/01,2020/09/01,"Romanado, Sherry",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
200430782,2020/08/01,2020/08/31,,,,,,,0.0000,1853.9000,0.0000,0,0,0,1853.90
200430782,2020/08/01,2020/08/31,"Romanado, Sherry",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204198,2020/08/11,2020/08/12,,,,,,,227.7400,0.0000,95.0900,1.0000,0,0,322.83
T0204198,2020/08/11,2020/08/12,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/08/11,Greenfield Park,Ottawa,,,,,,,
T0204198,2020/08/11,2020/08/12,"Romanado, Sherry",Member,To travel to/from constituency and Ottawa,2020/08/12,Ottawa,Greenfield Park,,,,,,,
T0204202,2020/08/16,2020/08/30,,,,,,,209.9800,0.0000,30.1300,1.0000,0,0,240.11
T0204202,2020/08/16,2020/08/30,"Watkins, Dianne",Employee,To travel to/from constituency and Ottawa,2020/08/16,Gatineau,Greenfield Park,,,,,,,
T0204202,2020/08/16,2020/08/30,"Watkins, Dianne",Employee,To travel to/from constituency and Ottawa,2020/08/30,Greenfield Park,Gatineau,,,,,,,
200437264,2020/09/01,2020/09/30,,,,,,,0.0000,1853.9000,0.0000,0,0,0,1853.90
200437264,2020/09/01,2020/09/30,"Romanado, Sherry",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442126,2020/10/01,2020/10/31,,,,,,,0.0000,1853.9000,0.0000,0,0,0,1853.90
200442126,2020/10/01,2020/10/31,"Romanado, Sherry",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
