"Members – Detailed Contract Expenditures Report – Shipley, Doug – Q2 2021"
Supplier,Description,Date,Total
Staples Canada,"Office Supplies, Stationery and Accessories",2020/03/05,36.9900
Staples Canada,"Office Supplies, Stationery and Accessories",2020/03/18,76.9800
TD Bank,Banking Fees and Cheque Orders,2020/03/31,86.0600
Amazon.ca,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/08,29.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Google,Advertising,2020/05/31,7.8000
Shoppers Drug Mart,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/03,34.9900
BELL CANADA,Public Utilities,2020/06/05,58.5400
Facebook Inc.,Advertising,2020/06/08,4.9300
Staples Canada,Toner,2020/06/09,123.9900
Facebook,Advertising,2020/06/17,60.0000
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/18,6.3000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,27.4800
Addictive Design,Consumable Items for Constituency Offices (COVID19),2020/06/25,155.0000
Alectra Utilities Corporation,Public Utilities,2020/06/25,131.8300
"Ashby, Carry",Janitorial Services and Maintenance,2020/06/25,100.0000
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/06/25,100.0000
Facebook,Advertising,2020/06/26,60.0000
Village Media Inc,Advertising,2020/06/26,249.9900
Star Metroland Media,Advertising,2020/06/28,499.0000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/29,58.0100
Facebook Inc,Advertising,2020/06/30,4.9600
Google,Advertising,2020/06/30,7.8000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,115.9500
Grand & Toy,Bulk Paper Purchases,2020/06/30,108.4000
AS Properties Inc.,"Office Rentals, Taxes, Common Area Fees",2020/07/01,263.3400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,222.0000
"MCFARQUHAR, BRETT",Professional Communication Services,2020/07/01,800.0000
Zoom Video Communications Inc,Licence Renewal,2020/07/01,20.0000
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/07/03,7.9800
BELL CANADA,Cable and Internet Fees,2020/07/05,60.3000
Staples Canada,Toner,2020/07/06,299.9700
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/07/08,65.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,100.6200
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,57.9300
Cyncor,Consumable Items for Constituency Offices (COVID19),2020/07/17,20.0000
Cyncor,Consumable Items for Constituency Offices (COVID19),2020/07/17,500.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,53.7100
BRAC Marketing Group Inc.,Advertising,2020/07/21,625.0000
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/07/23,73.4500
"Ashby, Carry",Janitorial Services and Maintenance,2020/07/26,100.0000
Alectra Utilities Corporation,Public Utilities,2020/07/28,176.4900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/29,91.8500
Facebook Inc.,Advertising,2020/07/31,47.4700
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,230.7500
AS Properties Inc.,Office Rental and Related Fees,2020/08/01,1384.2100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,222.0000
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,105.0000
Zoom Video Communications Inc.,Licence Renewal,2020/08/04,20.0000
BELL CANADA,Cable and Internet Fees,2020/08/05,60.2800
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/08/06,65.0000
Facebook Inc,Advertising,2020/08/11,12.0700
Facebook Inc,Advertising,2020/08/14,12.0000
Facebook Inc.,Advertising,2020/08/14,6.8100
Facebook Inc,Advertising,2020/08/16,12.0000
"Ashby, Carry",Janitorial Services and Maintenance,2020/08/19,100.0000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/08/27,54.5000
Alectra Utilities Corporation,Public Utilities,2020/08/28,176.1600
Facebook Inc.,Advertising,2020/08/31,20.0000
AS Properties Inc.,Office Rental and Related Fees,2020/09/01,1384.2100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,222.0000
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/09/04,65.0000
BELL CANADA,Cable and Internet Fees,2020/09/05,59.9500
Facebook Inc.,Advertising,2020/09/14,29.0700
"Ashby, Carry",Janitorial Services and Maintenance,2020/09/17,100.0000
SPRINGWATER NEWS (MICHAEL JACOBS),Advertising,2020/09/18,65.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,28.1800
AS Properties Inc.,Office Rental and Related Fees,2020/10/01,1384.2100
