"Members – Detailed Contract Expenditures Report – Sidhu, Sonia – Q2 2021"
Supplier,Description,Date,Total
NGP VAN Inc.,Professional Communication Services,2020/04/01,65.0000
ZOOM,Licence Renewal,2020/04/23,20.0000
NGP VAN Inc.,Professional Communication Services,2020/05/01,200.0000
ZOOM,Licence Renewal,2020/05/23,20.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
NGP VAN Inc.,Professional Communication Services,2020/06/01,200.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,237.0400
Staples,"Office Supplies, Stationery and Accessories",2020/06/08,20.6700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Campaign Print,Advertising,2020/06/23,1615.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,22.3400
Hamdard Media Group,Advertising,2020/06/25,750.0000
PrimeContact Inc.,Advertising,2020/06/26,494.9800
The Home Depot,Moving Supplies,2020/06/26,70.3600
The Home Depot,Moving Supplies,2020/06/28,22.6600
Prime Asia TV Lt d.,Advertising,2020/06/30,600.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
NGP VAN Inc.,Professional Communication Services,2020/07/01,200.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rathcliffe Properties Limited,Office Rental and Related Fees,2020/07/01,4301.0000
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,0.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,223.2900
J.B. Movers Inc.,Office Relocation,2020/07/02,4500.0000
PrimeContact Inc.,Advertising,2020/07/07,494.9800
PRINT 1,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,500.0000
COSTCO SUPPLIES,Consumable Items for Constituency Offices (COVID19),2020/07/10,129.4200
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,100.5100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,15.6300
Dollar Store,Consumable Items for Constituency Offices (COVID19),2020/07/15,27.9400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2800
PTC PUNJABI,Advertising,2020/07/31,750.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
Rathcliffe Properties Limited,Office Rental and Related Fees,2020/08/01,4301.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,372.5400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Rathcliffe Properties Limited,Office Rental and Related Fees,2020/09/01,4301.0000
"Leonard, Kyle",Communications Officer,2020/09/04,2250.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,234.4300
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2100
Canada Post – Postes Canada,Courier Services,2020/09/23,13.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,8.8700
Canada Post – Postes Canada,Courier Services,2020/09/30,5.5400
Rathcliffe Properties Limited,Office Rental and Related Fees,2020/10/01,4301.0000
