"Members – Detailed Contract Expenditures Report – Savard-Tremblay, Simon-Pierre – Q2 2021"
Supplier,Description,Date,Total
"Courrier de Saint-Hyacinthe, Le","Printed Matter, Books, Newspapers and Subscriptions",2020/04/02,46.10
Democratik,Advertising,2020/04/29,1168.50
"Pensée de Bagot, La",Advertising,2020/04/29,110.00
"ACTION NATIONALE, L'",Advertising,2020/05/01,250.00
"Aubin, Louis",Information Technology (IT) Support Officer,2020/06/01,3000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,193.29
Buropro citation,"Office Supplies, Stationery and Accessories",2020/06/11,7.17
Couche-Tard,Spring Water,2020/06/15,15.00
Imprimerie Dumaine,External Printing Costs,2020/06/15,3652.59
Imprimerie Maska,External Printing Costs,2020/06/16,83.00
"Pensée de Bagot, La",Advertising,2020/06/17,375.00
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/06/18,566.00
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/06/18,160.00
Imprimerie Maska,External Printing Costs,2020/06/18,153.00
CFID Radio Acton Inc.,Advertising,2020/06/19,230.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/22,139.16
Le Clairon Saint-Hyacinthe et région,Advertising,2020/06/23,593.00
Ecocup,Gifts given as a matter of protocol,2020/06/29,525.00
HARNOIS,Spring Water,2020/06/29,15.00
Journal Mobiles,Advertising,2020/06/29,525.00
Course des Rêves - pour Jeunes en Santé,Advertising,2020/07/01,200.00
L'aut`journal,Advertising,2020/07/01,425.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,199.29
Le Clairon Saint-Hyacinthe et région,Advertising,2020/07/07,300.00
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/07/09,535.00
rona,"Office Supplies, Stationery and Accessories",2020/07/10,4.09
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/07/11,160.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,283.55
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,261.87
Cellbox,"Office Supplies, Stationery and Accessories",2020/07/14,85.00
Cellbox,"Office Supplies, Stationery and Accessories",2020/07/14,45.00
"Pensée de Bagot, La",Advertising,2020/07/15,360.00
Lettrage Sercost Inc.,Signage,2020/07/16,317.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.49
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/22,139.16
Exposition Agricole et Alimentaire de Saint-Hyacinthe,Advertising,2020/07/23,500.00
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/08/01,2000.00
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/08/01,350.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,190.54
Ecocup,Promotional Items,2020/08/03,545.00
Les Castors d'Acton Vale,Advertising,2020/08/04,250.00
Couche-Tard,Spring Water,2020/08/05,5.99
Amazon,Voice Communication Equipment,2020/08/08,65.15
Carrefour Chrétien des Maskoutains,Advertising,2020/08/11,200.00
"Entreprises J. Waterhouse Inc., Les",Janitorial Services and Maintenance,2020/08/16,160.00
COUCHE-TARD,Spring Water,2020/08/19,5.99
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/08/20,535.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/22,144.88
BOISÉ DES DOUZE,Advertising,2020/08/26,300.00
Citevu,Signage,2020/08/31,350.00
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/09/01,2000.00
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/09/01,350.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,284.07
Canada Post – Postes Canada,Courier Services,2020/09/23,7.06
Canada Post – Postes Canada,Courier Services,2020/09/23,11.32
Canada Post – Postes Canada,Courier Services,2020/09/23,9.45
Canada Post – Postes Canada,Courier Services,2020/09/23,9.79
Canada Post – Postes Canada,Courier Services,2020/09/23,7.16
Canada Post – Postes Canada,Courier Services,2020/09/23,7.19
Canada Post – Postes Canada,Courier Services,2020/09/23,9.65
Canada Post – Postes Canada,Courier Services,2020/09/23,7.94
Canada Post – Postes Canada,Courier Services,2020/09/23,7.47
Canada Post – Postes Canada,Courier Services,2020/09/23,10.46
Canada Post – Postes Canada,Courier Services,2020/09/23,7.37
2968-9825 Québec Inc.,Office Rental and Related Fees,2020/10/01,2000.00
Carrefour Jeunesse-Emploi Comté de Johnson,Office Rental and Related Fees,2020/10/01,350.00
