"Members – Detailed Travel Expenditures Report – Soroka, Gerald – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203167,2020/05/30,2020/06/29,,,,,,,0.0000,39.1300,0.0000,0,0,0,39.1300
T0203167,2020/05/30,2020/06/29,"Soroka, Gerald",Member,Secondary Residence,2020/05/30,Ottawa,Ottawa,,,,,,,
T0202818,2020/06/19,2020/06/30,,,,,,,446.9000,0.0000,138.7500,0,0,0,585.6500
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/06/19,Mayerthorpe,Drayton Valley,,,,,,,
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/06/19,Drayton Valley,Mayerthorpe,,,,,,,
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/06/27,Mayerthorpe,Edson,,,,,,,
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/06/27,Edson,Mayerthorpe,,,,,,,
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend meetings about constituency issues,2020/06/30,Mayerthorpe,Rimbey,,,,,,,
T0202818,2020/06/19,2020/06/30,"Soroka, Gerald",Member,To attend meetings about constituency issues,2020/06/30,Rimbey,Mayerthorpe,,,,,,,
T0203947,2020/06/29,2020/07/30,,,,,,,0.0000,33.2500,0.0000,0,0,0,33.2500
T0203947,2020/06/29,2020/07/30,"Soroka, Gerald",Member,Secondary Residence,2020/06/29,Ottawa,Ottawa,,,,,,,
T0203153,2020/07/01,2020/07/11,,,,,,,218.5200,0.0000,89.4700,0.0000,0,0,307.9900
T0203153,2020/07/01,2020/07/11,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/01,Mayerthorpe,Drayton Valley,,,,,,,
T0203153,2020/07/01,2020/07/11,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/01,Drayton Valley,Breton,,,,,,,
T0203153,2020/07/01,2020/07/11,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/01,Breton,Drayton Valley,,,,,,,
T0203153,2020/07/01,2020/07/11,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/01,Drayton Valley,Mayerthorpe,,,,,,,
T0203153,2020/07/01,2020/07/11,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/11,Mayerthorpe,Edson,,,,,,,
T0202816,2020/07/01,2020/07/31,,,,,,,0.0000,55.0000,0.0000,0,0,0,55.0000
T0202816,2020/07/01,2020/07/31,"Soroka, Gerald",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203098,2020/07/05,2020/07/10,,,,,,,2535.6700,0.0000,374.2000,1.0000,0,0,2909.8700
T0203098,2020/07/05,2020/07/10,"Soroka, Gerald",Member,To travel to/from constituency and Ottawa,2020/07/05,Mayerthorpe,Ottawa,,,,,,,
T0203098,2020/07/05,2020/07/10,"Soroka, Gerald",Member,To travel to/from constituency and Ottawa,2020/07/09,Ottawa,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,,,,,,,918.4400,0.0000,138.7500,0.0000,0,0,1057.1900
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/17,Mayerthorpe,Edson,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/24,Entwistle,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/28,Mayerthorpe,Grande Cache,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/28,Grande Cache,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/30,Mayerthorpe,Hinton,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/30,Hinton,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/17,Edson,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/20,Mayerthorpe,Drayton Valley,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/20,Drayton Valley,Mayerthorpe,,,,,,,
T0203728,2020/07/17,2020/07/30,"Soroka, Gerald",Member,To attend a constituency or community event,2020/07/23,Mayerthorpe,Rocky Mountain House,,,,,,,
