"Members – Detailed Contract Expenditures Report – Stanton, Bruce – Q2 2021"
Supplier,Description,Date,Total
Wagner and Associates,Public Meeting Room Rentals,2020/02/23,-375.0000
Orillia Power,Public Utilities,2020/04/01,135.9400
"Villager Press, The",Advertising,2020/04/01,65.0000
Rogers,Internet (COVID19),2020/04/19,39.9900
Dollarama,"Office Supplies, Stationery and Accessories",2020/04/28,10.5000
Hasty Market,Spring Water,2020/04/30,5.9900
Rogers,Cable and Internet Fees,2020/04/30,54.9900
Orillia Power,Public Utilities,2020/05/01,108.3800
SNAPD MIDLAND/PENETANG,Advertising,2020/05/01,252.0000
Jeffery's Pro Hrdwr,"Office Supplies, Stationery and Accessories",2020/05/04,29.9900
enbridge/union gas,Public Utilities,2020/05/12,71.7600
Enbridge/Union Gas,Public Utilities,2020/05/12,33.1200
"Federation, The",Advertising,2020/05/13,840.0000
Jeffrey's Pro Hrdwr,Cleaning Products,2020/05/13,14.7800
First for Safety,Consumable Items for Constituency Offices (COVID19),2020/05/14,35.9600
Nascent Naturals inc,Consumable Items for Constituency Offices (COVID19),2020/05/14,94.3600
Metroland Media,Advertising,2020/05/17,198.0000
Costco,Cleaning Products,2020/05/19,16.9900
Midland PUC,Public Utilities,2020/05/19,67.9800
Midland PUC,Public Utilities,2020/05/19,67.9800
Orillia Water & Sewer,Public Utilities,2020/05/19,121.0400
Rogers,Internet (COVID19),2020/05/19,39.9900
BlueMountainL inen,Consumable Items for Constituency Offices (COVID19),2020/05/20,207.0400
Rogers,Cable and Internet Fees,2020/05/20,54.9900
Jeffrey's pro hrdwr,"Office Supplies, Stationery and Accessories",2020/05/25,25.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Rogers,Cable and Internet Fees,2020/05/31,54.9900
Orillia Power Distribution Corporation,Public Utilities,2020/06/01,98.6900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,193.6900
"Villager Press, The",Advertising,2020/06/01,65.0000
"Villager Press, The",Advertising,2020/06/01,65.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/04,267.0000
TEMPLETON WINDOWS,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/05,492.2700
Enbridge/Union gas,Public Utilities,2020/06/10,54.0500
Enbridge/Union Gas,Public Utilities,2020/06/10,44.8600
First for Safety,Consumable Items for Constituency Offices (COVID19),2020/06/12,179.7000
Jeffery's Hardware,Consumable Items for Constituency Offices (COVID19),2020/06/15,21.5800
Willow Graphix,Professional Communication Services,2020/06/16,55.0000
HURONIA ALARMS,Protection and Alarm Monitoring (Member's Office Budget),2020/06/17,85.0000
Tripletech plumbing & Electrical,Office Renovations,2020/06/18,126.0000
Arcade & Jory Guardian Drugstore,Consumable Items for Constituency Offices (COVID19),2020/06/19,37.5000
Jeffery's Hardware,"Office Supplies, Stationery and Accessories",2020/06/19,22.5600
Jeffery's Pro Hrdwr,"Office Supplies, Stationery and Accessories",2020/06/19,22.5600
Rogers,Cable and Internet Fees,2020/06/20,54.9900
GOÛT DE VIVRE (LE),Advertising,2020/06/22,308.0000
Garthside Ltd.,Operating Machinery and Equipment,2020/06/23,1200.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/23,150.8000
Northern Micro Inc.,"Office Supplies, Stationery and Accessories",2020/06/23,98.0000
Springwater News,Advertising,2020/06/25,65.0000
Bard Plumbing,Repair of Office Equipment,2020/06/28,189.6600
Metroland Media,Advertising,2020/06/28,378.0000
Jeffrey's Pro Hardware,"Office Supplies, Stationery and Accessories",2020/06/29,14.3800
Grand & Toy,Bulk Paper Purchases,2020/06/30,89.4000
Grand & Toy,Office Equipment,2020/06/30,29.5400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,73.4200
Grand & Toy,Cleaning Products,2020/06/30,4.2300
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,21.8200
Rogers,Cable and Internet Fees,2020/06/30,54.9900
Midland PUC,Public Utilities,2020/07/01,41.8000
Orillia Power,Public Utilities,2020/07/01,106.5800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,201.5400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,5.2500
SNAPD MIDLAND/PENETANG,Advertising,2020/07/01,252.0000
Talk of the Town,Advertising,2020/07/04,110.0000
La Cle d'la Baie en Huronie,Advertising,2020/07/08,500.0000
Enbridge,Public Utilities,2020/07/13,22.5000
City of Orillia W & S,Public Utilities,2020/07/17,121.0400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.9900
Rogers,Cable and Internet Fees,2020/07/20,54.9900
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/20,52.0000
Canadian Tire,Spring Water,2020/07/24,2.6800
Rogers,Cable and Internet Fees,2020/07/31,54.9900
2511765 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2646.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,281.5300
"Rumeo, Karl",Office Rental and Related Fees,2020/08/01,1290.9500
UNITED STORAGE,Office Rental and Related Fees,2020/08/01,100.0000
Enbridge Gas,Public Utilities,2020/08/13,23.9400
Enbridge Gas,Public Utilities,2020/08/13,26.5500
Orillia Power,Public Utilities,2020/08/18,124.2500
Midland PUC,Public Utilities,2020/08/19,51.2400
Shoppers Drug Mart,Cleaning Products,2020/08/19,5.4900
Rogers,Cable and Internet Fees,2020/08/31,56.8500
2511765 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2646.0000
"Rumeo, Karl",Office Rental and Related Fees,2020/09/01,1290.9500
UNITED STORAGE,Office Rental and Related Fees,2020/09/01,100.0000
Enbridge Gas,Public Utilities,2020/09/11,22.9000
Enbridge Gas,Public Utilities,2020/09/11,22.9500
Jeffery's Hardware,"Office Supplies, Stationery and Accessories",2020/09/11,22.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,12.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,46.2200
2511765 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2646.0000
"Rumeo, Karl",Office Rental and Related Fees,2020/10/01,1290.9500
UNITED STORAGE,Office Rental and Related Fees,2020/10/01,100.0000
