"Members – Detailed Contract Expenditures Report – Kusie, Stephanie – Q2 2021"
Supplier,Description,Date,Total
582276 AB Inc,Signage,2020/04/21,145.80
TElus,Cable and Internet Fees,2020/06/07,140.00
Alberta Native News,Advertising,2020/06/15,167.50
Survey Monkey,Licence Renewal,2020/06/25,99.00
"Tulk, Landon",Research Consultants,2020/06/26,520.00
Delta Calgary South,Equipment Rental (non-hospitality related),2020/06/30,100.00
Delta Calgary South,Public Meeting Room Rentals,2020/06/30,200.00
Grand & Toy,Cleaning Products,2020/06/30,18.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,71.66
VISTEK,Photographic Equipment,2020/06/30,299.99
VISTEK,Photographic Equipment,2020/06/30,139.99
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,18.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.32
CANADA JEWISH PIPELINE,Advertising,2020/07/04,220.00
Alberta Jewish News,Advertising,2020/07/07,233.75
TElus,Cable and Internet Fees,2020/07/07,140.00
"CANADIAN TIMES, THE",Advertising,2020/07/08,250.00
"Tulk, Landon",Research Consultants,2020/07/10,680.00
Zoom,Licence Renewal,2020/07/15,20.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,98.64
MOUNTAIN VIEW PRINTING & GRAPHICS LTD.,"Office Supplies, Stationery and Accessories",2020/07/24,312.50
"Tulk, Landon",Research Consultants,2020/07/24,1000.00
CIBC,Banking Fees and Cheque Orders,2020/07/31,23.50
CIBC,Banking Fees and Cheque Orders,2020/07/31,23.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,118.76
Grand & Toy,Cleaning Products,2020/07/31,157.08
582276 Alberta Inc.,Office Rental and Related Fees,2020/08/01,2936.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,185.32
"CANADIAN TIMES, THE",Advertising,2020/08/06,250.00
TELUS,Cable and Internet Fees,2020/08/07,183.00
"Tulk, Landon",Research Consultants,2020/08/07,1020.00
AVIVA INSURANCE COMPANY OF CANADA,Constituency Office Insurance,2020/08/14,1137.00
Zoom,Licence Renewal,2020/08/15,20.00
CIBC,Banking Fees and Cheque Orders,2020/08/31,23.50
582276 Alberta Inc.,Office Rental and Related Fees,2020/09/01,2936.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,18.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,185.32
Securtek,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,68.85
TELUS Communications Inc.,Cable and Internet Fees,2020/09/07,173.84
Alberta Jewish News,Advertising,2020/09/09,290.00
Zoom,Licence Renewal,2020/09/15,400.00
Canada Post – Postes Canada,Courier Services,2020/09/23,39.52
Canada Post – Postes Canada,Courier Services,2020/09/23,7.84
Canada Post – Postes Canada,Courier Services,2020/09/23,22.29
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,287.37
Canada Post – Postes Canada,Courier Services,2020/09/30,27.42
582276 Alberta Inc.,Office Rental and Related Fees,2020/10/01,2936.35
