"Members – Detailed Contract Expenditures Report – Blaney, Steven – Q2 2021"
Supplier,Description,Date,Total
UBIK,Monthly Phone Service,2019/04/29,90.00
UBIK,Monthly Phone Service,2019/07/28,90.00
"Voix du Sud, La",Advertising,2020/04/01,542.00
PARC NAUTIQUE LEVY (1984) INC.,Advertising,2020/04/14,150.00
Groupe Cultur'art,Advertising,2020/05/01,200.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.82
Cyberimpact inc.,Professional Communication Services,2020/06/01,40.00
"CJMD 96,9 FM-Lévis",Advertising,2020/06/08,1500.00
PUROLATOR INC.,Courier Services,2020/06/12,15.80
BELL CANADA,Cable and Internet Fees,2020/06/13,302.00
Vidéotron s.e.n.c,Cable and Internet,2020/06/19,40.90
SOGETEL INC,Cable and Internet Fees,2020/06/20,95.95
UBIK,Monthly Phone Service,2020/06/22,90.00
Association des Chabot,Advertising,2020/06/23,100.00
"Journal de lévis.com, Le",Advertising,2020/06/23,746.00
Vitrerie Global,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/23,500.00
"Voix du Sud, La",Advertising,2020/06/24,442.00
NIVEAU 5,Professional Communication Services,2020/06/26,950.00
Jean-Luc Joncas,Spring Water,2020/06/30,300.00
"Journal de lévis.com, Le",Advertising,2020/06/30,746.00
Précisio,Computer Software,2020/06/30,2895.00
Radio Bellechasse-etchemins,Advertising,2020/06/30,786.03
TECHNIBUREAU,Householders,2020/06/30,5362.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,221.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,56.49
Cyberimpact inc,Professional Communication Services,2020/07/01,35.00
"Voix du Sud, La",Advertising,2020/07/01,442.00
PUROLATOR INC.,Courier Services,2020/07/03,5.12
Chambre Commerce Bellechasse-Etchemins,Advertising,2020/07/07,300.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/10,3084.00
BELL CANADA,Cable and Internet Fees,2020/07/13,302.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,29.18
SOGETEL INC,Cable and Internet Fees,2020/07/20,95.95
"Journal de lévis.com, Le",Advertising,2020/07/21,450.00
TECHNIBUREAU,Toner,2020/07/21,64.99
UBIK,Monthly Phone Service,2020/07/22,90.00
PUROLATOR INC.,Courier Services,2020/07/24,5.17
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/24,40.90
Radio Bellechasse-etchemins,Advertising,2020/07/31,207.00
9125-9531 QUÉBEC INC.,Office Rental and Related Fees,2020/08/01,428.82
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,221.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,48.00
Cyberimpact inc.,Professional Communication Services,2020/08/01,35.00
"POIRIER, ROBERT",Office Rental and Related Fees,2020/08/01,2500.00
Chambre Commerce Bellechasse-Etchemins,Advertising,2020/08/03,100.00
"CJMD 96,9 FM-Lévis",Advertising,2020/08/10,3000.00
BELL CANADA,Cable and Internet Fees,2020/08/13,302.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,305.62
Michel L'Hébreux,Gifts given as a matter of protocol,2020/08/20,120.00
SOGETEL INC,Cable and Internet Fees,2020/08/20,98.08
UBIK,Monthly Phone Service,2020/08/21,90.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/21,40.90
MAISON DE LA CULTURE DE BELLECHASSE,Advertising,2020/08/24,500.00
9125-9531 QUÉBEC INC.,Office Rental and Related Fees,2020/09/01,428.82
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,203.04
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,221.84
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,35.00
"POIRIER, ROBERT",Office Rental and Related Fees,2020/09/01,2500.00
"CJMD 96,9 FM-Lévis",Advertising,2020/09/10,1500.00
INFO-MANIAC,Repair of Computer Equipment and Peripherals,2020/09/10,884.62
UNION DES PRODUCTEURS AGRICOLES,Advertising,2020/09/10,150.00
BELL CANADA,Cable and Internet Fees,2020/09/13,305.48
Postes Canada,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/15,36.92
SOGETEL INC,Cable and Internet Fees,2020/09/20,97.02
UBIK,Monthly Phone Service,2020/09/20,90.00
Canada Post – Postes Canada,Courier Services,2020/09/23,17.98
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/29,3290.00
9125-9531 QUÉBEC INC.,Office Rental and Related Fees,2020/10/01,428.82
"POIRIER, ROBERT",Office Rental and Related Fees,2020/10/01,2500.00
