"Members – Detailed Travel Expenditures Report – Blaney, Steven – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204776,2020/05/01,2020/05/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204776,2020/05/01,2020/05/31,"Blaney, Steven",Member,Secondary Residence,2020/05/01,Gatineau,Gatineau,,,,,,,
T0202749,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202749,2020/06/01,2020/06/30,"Blaney, Steven",Member,Secondary Residence,2020/06/01,Gatineau,Gatineau,,,,,,,
T0204046,2020/06/01,2020/08/31,,,,,,,69.1400,0.0000,0.0000,0.0000,0,0,69.14
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend an event as a guest speaker,2020/06/01,Lévis,Sainte-Claire,,,,,,,
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend an event as a guest speaker,2020/06/01,Sainte-Claire,Lévis,,,,,,,
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend a constituency or community event,2020/08/11,Lévis,Lévis,,,,,,,
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend a constituency or community event,2020/08/11,Lévis,Lévis,,,,,,,
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend a constituency or community event,2020/08/19,Lévis,La Durantaye,,,,,,,
T0204046,2020/06/01,2020/08/31,"Blaney, Steven",Member,To attend a constituency or community event,2020/08/19,La Durantaye,Lévis,,,,,,,
T0203732,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0203732,2020/07/01,2020/07/31,"Blaney, Steven",Member,Secondary Residence,2020/07/01,Gatineau,Gatineau,,,,,,,
T0204774,2020/08/01,2020/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204774,2020/08/01,2020/08/31,"Blaney, Steven",Member,Secondary Residence,2020/08/01,Gatineau,Gatineau,,,,,,,
T0204772,2020/09/08,2020/09/09,,,,,,,393.6000,0.0000,196.6100,1.0000,0,0,590.21
T0204772,2020/09/08,2020/09/09,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/09/08,Lévis,Ottawa,,,,,,,
T0204772,2020/09/08,2020/09/09,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/09/09,Ottawa,Lévis,,,,,,,
