"Members – Detailed Contract Expenditures Report – MacKinnon, Steven – Q2 2021"
Supplier,Description,Date,Total
Groupe Capitales Médias,Advertising,2020/03/14,91.63
Best buy,Photographic Equipment,2020/05/28,169.99
Costco wholesale,Photographic Equipment,2020/06/05,870.24
Bell,Internet (COVID19),2020/06/06,69.95
Maison de quartier Notre-Dame,Advertising,2020/06/14,500.00
Bell,Cable and Internet Fees,2020/06/16,123.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Dépannage St-rené Goupil,Advertising,2020/06/17,500.00
Chambre de Commerce de Gatineau,Advertising,2020/06/18,150.00
Vidéotron s.e.n.c,Internet (COVID19),2020/06/19,74.95
Grands Frères Grandes soeurs de l'Outaouais,Advertising,2020/06/22,250.00
Campus 3,Advertising,2020/06/23,500.00
Soupiere de l'amitié,Advertising,2020/06/23,500.00
Bulletin d'Aylmer,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/25,80.00
Rona,Office Plants and Flowers,2020/06/25,114.54
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,218.73
Grand & Toy,Cleaning Products,2020/06/30,40.69
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,71.96
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,60.62
Lave Partout ENR.,Janitorial Services and Maintenance,2020/06/30,150.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,152.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Excellence sportive Outaouais,Advertising,2020/07/02,300.00
ORCHESTRE SYMPHONIQUE DE GATINEAU,Advertising,2020/07/03,500.00
Bell,Internet (COVID19),2020/07/06,69.95
Inoxtal inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,1175.00
JEUNESSE IDEM,Advertising,2020/07/07,300.00
National bank of Canada,Banking Fees and Cheque Orders,2020/07/07,62.71
National bank of Canada,Banking Fees and Cheque Orders,2020/07/07,3.95
Martin Barbe electrique,Office Renovations,2020/07/08,540.69
Bell,Internet (COVID19),2020/07/11,75.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,40.21
Bell,Cable and Internet Fees,2020/07/16,119.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.11
Vidéotron s.e.n.c,Internet (COVID19),2020/07/17,74.95
Lave Partout ENR.,Janitorial Services and Maintenance,2020/07/30,200.00
Grand & Toy,Cleaning Products,2020/07/31,130.85
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,67.59
Vidéotron s.e.n.c,Cable and Internet,2020/07/31,218.73
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,152.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.00
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2020/08/01,3056.40
Saga Jeunesse,Advertising,2020/08/01,250.00
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,119.97
Bell,Internet (COVID19),2020/08/06,69.95
bell,Internet (COVID19),2020/08/11,75.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Bell,Cable and Internet,2020/08/16,119.95
Vidéotron s.e.n.c,Cable and Internet,2020/08/28,218.73
Lave Partout ENR.,Janitorial Services and Maintenance,2020/08/31,200.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,152.92
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2020/09/01,3056.40
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
"CAPITALE ASSURANCES GENERALES INC., LA",Constituency Office Insurance,2020/09/07,460.00
Fleuriste Au Bouquet,Gifts given as a matter of protocol,2020/09/15,108.72
Zoom video communications inc,Licence Renewal,2020/09/21,200.00
Canada Post – Postes Canada,Courier Services,2020/09/30,51.71
"CARREFOUR DES AFFAIRES S.E.N.C., LE",Office Rental and Related Fees,2020/10/01,3056.40
