"Members – Detailed Contract Expenditures Report – Bergeron, Stéphane – Q2 2021"
Supplier,Description,Date,Total
GraVité Média,Advertising,2020/02/29,685.00
ADL Entrepreneur électricien,Office Relocation,2020/03/04,85.00
FADOQ RRSS,Advertising,2020/03/31,300.00
D.C.Q. 2020-2021,Advertising,2020/04/09,125.00
GraVité Média,Advertising,2020/05/30,415.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/08,124.94
Costco Saint-Hubert,"Office Supplies, Stationery and Accessories",2020/06/08,99.19
Adept Sportswear inc.,Promotional Items,2020/06/12,815.00
TVRS,Advertising,2020/06/12,435.00
Journal de la Relève Inc,Advertising,2020/06/16,402.00
La Coop COMAX BMR Sainte-Julie (3438),Office Plants and Flowers,2020/06/21,55.63
MATCO RAVARY - BMR DETAIL SEC,Consumable Items for Constituency Offices (COVID19),2020/06/22,88.94
AS Systèmes d'accrochage,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/23,735.67
"FM 103,3 LA RADIO ALLUMÉE",Advertising,2020/06/23,180.00
Journal de la Relève Inc,Advertising,2020/06/23,584.00
Journal de la Relève Inc,Advertising,2020/06/23,584.00
"Versants, Les",Advertising,2020/06/24,557.00
"Versants, Les",Advertising,2020/06/24,557.00
STR Micro (9163-0970 Québec inc.),Computer Equipment,2020/06/25,51.99
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/26,1500.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,0.01
GraVité Média,Advertising,2020/06/27,375.00
Bureau en gros Beloeil,"Office Supplies, Stationery and Accessories",2020/06/29,324.08
Parrainage civique de la Vallée-du-Richelieu,Advertising,2020/06/29,100.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,129.84
