"Members – Detailed Contract Expenditures Report – Lauzon, Stéphane – Q2 2021"
Supplier,Description,Date,Total
"REVIEW, THE",Advertising,2020/04/01,469.00
Vidéotron,Internet (COVID19),2020/04/10,55.95
Vidéotron,Internet (COVID19),2020/05/08,55.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.24
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.50
Vidéotron,Internet (COVID19),2020/06/12,55.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
"Argenteuil, l'",Advertising,2020/06/19,195.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/19,115.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/19,115.95
"Argenteuil, l'",Advertising,2020/06/26,195.00
ROUTE DES ARTS,Advertising,2020/06/26,500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,218.30
IN MEDIAS,Advertising,2020/07/01,350.00
"Journal les 2 Vallées, Le",Advertising,2020/07/01,395.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.75
Vidéotron,Internet (COVID19),2020/07/10,55.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,38.33
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,10.52
Corporation des affaires culturelles de Saint-André-Avellin inc.,Advertising,2020/07/15,250.00
"ÉDITIONS MAIN STREET INC., LES",Advertising,2020/07/15,395.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/24,115.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/24,115.95
Bureau en Gros,Toner,2020/07/30,184.99
9088-6003 QUEBEC INC.,Office Rental and Related Fees,2020/08/01,650.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,218.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,24.00
Marché de l'Encan MJT Larose Inc.,Office Rental and Related Fees,2020/08/01,950.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,29.75
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/21,115.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/21,115.95
9088-6003 QUEBEC INC.,Office Rental and Related Fees,2020/09/01,650.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,34.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,218.30
Marché de l'Encan MJT Larose Inc.,Office Rental and Related Fees,2020/09/01,950.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Centre pédiatrie sociale communauté d'Argenteuil,Advertising,2020/09/02,250.00
IN MEDIAS,Advertising,2020/09/16,450.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/18,296.71
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,115.95
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,115.95
9207-6959 QUÉBEC INC. DD CRÉATION,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/21,1274.97
9207-6959 QUÉBEC INC. DD CRÉATION,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/21,524.98
Serrurier Parson,Repair of Machinery and Office Furniture,2020/09/28,290.00
9088-6003 QUEBEC INC.,Office Rental and Related Fees,2020/10/01,650.00
Marché de l'Encan MJT Larose Inc.,Office Rental and Related Fees,2020/10/01,950.00
