"Members – Detailed Contract Expenditures Report – Sweet, David – Q2 2021"
Supplier,Description,Date,Total
WILLOW PRINTING AND PUBLISHING CO.,Advertising,2020/01/14,375.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/06,85.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/13,85.0000
Silo Wireless,Internet (COVID19),2020/03/15,65.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/20,85.0000
Bell,Internet (COVID19),2020/03/23,95.9500
Niagara Escarpment Views,Advertising,2020/04/01,249.0000
Silo Wireless,Internet (COVID19),2020/04/15,74.4200
Bell,Internet (COVID19),2020/04/23,95.9500
Cogeco,Internet (COVID19),2020/04/23,94.5100
Niagara Escarpment Views,Advertising,2020/04/29,249.0000
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/05/12,67.8900
Silo Wireless,Internet (COVID19),2020/05/15,70.0000
Bell,Internet (COVID19),2020/05/23,95.9500
Cogeco,Internet (COVID19),2020/05/23,90.0000
"ELECTED TECHNOLOGIES ",Computer Software,2020/05/28,1500.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,195.0400
Certas home and auto insurance,Constituency Office Insurance,2020/06/11,59.9400
Bell,Internet (COVID19),2020/06/14,85.9500
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/15,245.9500
Silo Wireless,Internet (COVID19),2020/06/15,70.0000
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/16,74.9900
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/16,138.2900
Rozalia Campbell,Janitorial Services and Maintenance,2020/06/19,85.0000
videotron,Internet (COVID19),2020/06/19,84.9500
Cogeco,Cable and Internet Fees,2020/06/20,87.9500
Bell,Cable and Internet Fees,2020/06/21,73.8500
Ancaster Mini Storage,Storage and Warehousing,2020/06/22,290.0000
Signocity,Promotional Items,2020/06/22,735.0000
Bell,Internet (COVID19),2020/06/23,95.9500
Cogeco,Internet (COVID19),2020/06/23,93.0000
Printing by Innovation,"Householders ",2020/06/23,3141.1700
Rozalia Campbell,Janitorial Services and Maintenance,2020/06/26,85.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,191.0900
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/03,85.0000
Clarity Communications & Consulting,Photography and Video Services,2020/07/08,2309.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/10,216.2400
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/10,85.0000
Star Metroland Media,Advertising,2020/07/12,130.0000
The Epoch Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/12,89.0000
Certas Home and auto insurance,Constituency Office Insurance,2020/07/13,59.9400
Silo Wireless,Cable and Internet Fees,2020/07/15,250.0000
Silo Wireless,Internet (COVID19),2020/07/15,70.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/17,85.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.5900
Videotron,Internet (COVID19),2020/07/17,84.9500
Ancaster Mini Storage,Storage and Warehousing,2020/07/20,290.0000
Cogeco,Cable and Internet Fees,2020/07/20,87.9500
Bell,Cable and Internet Fees,2020/07/21,73.8500
Cogeco,Internet (COVID19),2020/07/23,93.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/24,85.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,251.1000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,4.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,22.5000
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/31,85.0000
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/08/01,1500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,94.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,183.2900
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/07,85.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/10,223.5400
"Certas Home and Auto Insurance ",Constituency Office Insurance,2020/08/11,59.9400
Fortinos,Cleaning Products,2020/08/13,54.4200
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/14,85.0000
Silo Wireless,Cable and Internet Fees,2020/08/15,250.0000
Ancaster Mini Storage,Storage and Warehousing,2020/08/17,267.8800
Cogeco,Cable and Internet Fees,2020/08/20,87.9500
Bell,Cable and Internet Fees,2020/08/21,73.8500
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/21,85.0000
videotron,Internet (COVID19),2020/08/21,84.6200
Gemstone Window Cleaning,Janitorial Services and Maintenance,2020/08/25,80.0000
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/28,85.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/08/31,22.5000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/08/31,4.0000
Grand & Toy,Bulk Paper Purchases,2020/08/31,89.4000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,135.1700
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/09/01,1500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,94.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,30.4000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/08,1601.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/09/09,252.6300
Certas Home and auto insurance,Constituency Office Insurance,2020/09/11,59.9400
Ancaster Mini Storage,Storage and Warehousing,2020/09/14,290.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/15,1680.0000
Xplornet Entreprise Solutions,Cable and Internet Fees,2020/09/15,250.0000
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/18,19.8900
Videotron,Internet (COVID19),2020/09/18,97.6700
Canada Post – Postes Canada,Courier Services,2020/09/23,11.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,20.8000
Amazon,"Office Supplies, Stationery and Accessories",2020/09/24,48.9900
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/10/01,1500.0000
