"Members – Detailed Contract Expenditures Report – Tabbara, Marwan – Q2 2021"
Supplier,Description,Date,Total
Bo De Foods,Gifts given as a matter of protocol,2020/01/09,40.0000
No Frills,"Office Supplies, Stationery and Accessories",2020/01/09,5.9700
Bo De Factory Outlet,Gifts given as a matter of protocol,2020/01/15,10.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/01/17,5.0000
No Frills,"Office Supplies, Stationery and Accessories",2020/02/12,15.7700
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/02/18,5.0000
Walmart,"Office Supplies, Stationery and Accessories",2020/03/04,2.9200
Staples Canada,"Office Supplies, Stationery and Accessories",2020/03/11,77.7700
Rogers,Internet (COVID19),2020/03/14,57.9900
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/03/17,5.0000
Rogers,Internet (COVID19),2020/04/14,58.6900
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/04/17,5.0000
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/05/01,235.0000
Rogers,Internet (COVID19),2020/05/14,72.9900
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/05/20,5.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,313.2500
Star Metroland Media,Advertising,2020/06/07,133.3300
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/11,31.4600
Rogers,Cable and Internet Fees,2020/06/12,207.9900
Rogers,Internet (COVID19),2020/06/14,72.9900
Star Metroland Media,Advertising,2020/06/14,133.3300
Creative Outdoor,Advertising,2020/06/15,145.0000
Creative Outdoor,Advertising,2020/06/15,149.0000
Creative Outdoor,Advertising,2020/06/15,145.0000
No Frills,"Office Supplies, Stationery and Accessories",2020/06/15,9.9700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/06/17,5.0000
"Régional Hamilton-Niagara, Le",Advertising,2020/06/18,650.0000
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/18,14.9900
"Régional Hamilton-Niagara, Le",Advertising,2020/06/30,600.0000
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/07/01,235.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,264.5400
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/07/08,75.8600
Rogers,Cable and Internet Fees,2020/07/12,207.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,53.3600
CITY OF KITCHENER,Public Utilities,2020/07/14,47.4000
Creative Outdoor,Advertising,2020/07/15,149.0000
Creative Outdoor,Advertising,2020/07/15,145.0000
Creative Outdoor,Advertising,2020/07/15,145.0000
Sparo Group Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/16,1694.5000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/07/17,5.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.7000
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/08/01,235.0000
Petricca Holdings Inc,Office Rental and Related Fees,2020/08/01,2946.6800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,322.0000
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/08/10,84.9800
CITY OF KITCHENER,Public Utilities,2020/08/11,35.0600
Rogers,Cable and Internet Fees,2020/08/12,207.9900
Creative Outdoor,Advertising,2020/08/15,145.0000
Creative Outdoor,Advertising,2020/08/15,149.0000
Creative Outdoor,Advertising,2020/08/15,145.0000
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/08/18,5.0000
KITCHENER CITIZEN -EAST EDITION,Advertising,2020/08/20,400.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,39.9900
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/09/01,235.0000
Petricca Holdings Inc,Office Rental and Related Fees,2020/09/01,2946.6800
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/09/09,81.9900
CITY OF KITCHENER,Public Utilities,2020/09/11,41.4900
Rogers,Cable and Internet Fees,2020/09/12,207.9900
KITCHENER CITIZEN -EAST EDITION,Advertising,2020/09/17,400.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,22.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,10.2300
"Régional, le",Advertising,2020/09/24,650.0000
Petricca Holdings Inc,Office Rental and Related Fees,2020/10/01,2946.6800
