"Members – Detailed Contract Expenditures Report – Jansen, Tamara – Q2 2021"
Supplier,Description,Date,Total
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/03/01,56.41
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/03/15,93.72
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/04/15,93.72
BC HYDRO,Public Utilities,2020/04/25,240.34
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/05/01,39.90
Momentuum BPO Inc.,Licence Renewal,2020/05/02,1862.47
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/05/15,91.96
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,39.90
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,178.29
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,4.50
"Sichuan Technology Co Ltd. ",Toner,2020/06/03,21.59
Costco,Gifts given as a matter of protocol,2020/06/08,53.48
Bond Reproductions Inc.,Constituency Mail,2020/06/23,5566.71
BC HYDRO,Public Utilities,2020/06/24,223.89
Black Press Group Ltd.,Advertising,2020/06/30,706.30
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,8.29
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,262.99
Grand & Toy,Cleaning Products,2020/06/30,32.09
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,39.90
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,193.79
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,15.00
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/07/01,0.45
Shaw Direct,Cable and Internet Fees,2020/07/02,700.52
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,566.35
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,128.88
Intercede Communication,Web Site Hosting/Domain Name,2020/07/14,572.00
Intercede Communication,Communications Officer,2020/07/14,2250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,11.36
Black Press Group Ltd.,Advertising,2020/07/31,358.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,231.84
Grand & Toy,Cleaning Products,2020/07/31,75.06
Grand & Toy,"Other Furniture, Fixtures and Furnishings",2020/07/31,105.90
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,15.77
0911110 B.C. LTD.,Office Rental and Related Fees,2020/08/01,4917.26
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,39.90
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,202.79
Shaw Direct,Cable and Internet Fees,2020/08/02,90.95
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/15,121.24
Balkan Signs,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/25,159.43
BC HYDRO,Public Utilities,2020/08/25,409.83
Black Press Group Ltd.,Advertising,2020/08/31,54.25
Grand & Toy,Cleaning Products,2020/08/31,30.48
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,262.23
0911110 B.C. LTD.,Office Rental and Related Fees,2020/09/01,4917.26
Alpha Integrated Systems Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,39.90
Shaw Direct,Cable and Internet Fees,2020/09/01,90.95
Intercede Communication,Communications Officer,2020/09/09,750.00
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/09/18,22.53
Canada Post – Postes Canada,Courier Services,2020/09/23,29.52
Canada Post – Postes Canada,Courier Services,2020/09/23,27.59
Canada Post – Postes Canada,Courier Services,2020/09/23,19.69
Canada Post – Postes Canada,Courier Services,2020/09/23,17.86
Canada Post – Postes Canada,Courier Services,2020/09/23,235.83
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,226.99
Canada Post – Postes Canada,Courier Services,2020/09/30,28.03
