"Members – Detailed Contract Expenditures Report – Falk, Ted – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Clipper Publishing Corp,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/28,47.08
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,284.04
Wayne Eustace,Advertising,2020/06/01,50.00
Clearwater Supply Company,Consumable Items for Constituency Offices (COVID19),2020/06/03,965.78
Evangeline's Flower Hut,Gifts given as a matter of protocol,2020/06/11,117.50
WS Machining and Fabrication,"Office Rentals, Taxes, Common Area Fees",2020/06/15,2095.00
Quintex Services LTD,Janitorial Services and Maintenance,2020/06/18,35.86
Swift High Speed.com,Cable and Internet,2020/06/22,80.25
JEWISH POST & NEWS,Advertising,2020/06/24,107.00
CLIPPER PUBLISHING CORP.,Advertising,2020/06/25,352.50
SOUTHEAST JOURNAL,Advertising,2020/06/26,200.00
"Carillon, The",Advertising,2020/06/30,352.80
EASTMAN RECYCLING SERVICES,Janitorial Services and Maintenance,2020/06/30,264.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,490.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,506.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,552.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,490.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,552.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,506.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,490.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,490.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,52.49
New Pathway Ukrainian News,Advertising,2020/06/30,93.00
BIL Security Services Canada Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,21.40
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,275.54
Shaw Direct,Cable and Internet Fees,2020/07/01,280.34
Wayne Eustace,Advertising,2020/07/01,50.00
Quintex Services Ltd.,Janitorial Services and Maintenance,2020/07/02,35.86
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,168.93
WS Steel Inc,"Office Rentals, Taxes, Common Area Fees",2020/07/15,2095.00
Quintex Services Ltd,Janitorial Services and Maintenance,2020/07/16,35.86
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.53
Swift High Speed.com,Cable and Internet Fees,2020/07/22,80.25
Quintex Services Ltd.,Janitorial Services and Maintenance,2020/07/30,35.86
Canada Post,Postage and Parcel Post,2020/07/31,16.07
"Carillon, The",Advertising,2020/07/31,295.00
Grand & Toy,Cleaning Products,2020/07/31,21.87
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,31.33
Steinbach Credit Union,Banking Fees and Cheque Orders,2020/07/31,5.41
BIL Security Services Canada Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,21.40
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,324.79
Shaw Direct,Cable and Internet Fees,2020/08/01,280.34
Wayne Eustace,Advertising,2020/08/01,50.00
Koallo,Web Site Hosting/Domain Name,2020/08/04,54.96
E.G. Penner,"Office Supplies, Stationery and Accessories",2020/08/12,5.34
Quintex Services Ltd,Janitorial Services and Maintenance,2020/08/13,35.86
Swift High Speed.com,Cable and Internet,2020/08/22,80.25
Lakeview Gimili Resort,Public Meeting Room Rentals,2020/08/25,258.75
Quintex Services Ltd,Janitorial Services and Maintenance,2020/08/27,35.86
Costco,Appliances,2020/08/31,101.99
BIL Security Services Canada Ltd,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,21.40
Shaw Direct,Cable and Internet Fees,2020/09/01,280.34
Wayne Eustace,Advertising,2020/09/01,50.00
Dawson Trail Dispatch,Advertising,2020/09/05,415.00
Quintex Services Ltd.,Janitorial Services and Maintenance,2020/09/10,35.86
Swift High Speed.com,Cable and Internet,2020/09/22,74.90
Canada Post – Postes Canada,Courier Services,2020/09/23,84.33
Canada Post – Postes Canada,Courier Services,2020/09/23,34.16
