"Members – Detailed Contract Expenditures Report – Dowdall, Terry – Q2 2021"
Supplier,Description,Date,Total
Zehrs,"Office Supplies, Stationery and Accessories",2020/04/01,32.46
Water Depot,Spring Water,2020/04/15,11.00
Water Depot,Spring Water,2020/05/05,14.24
Alectra Utilities Corporation,Public Utilities,2020/05/13,104.54
Dollarama,"Office Supplies, Stationery and Accessories",2020/05/18,22.30
Sobeys,Consumable Items for Constituency Offices (COVID19),2020/05/18,16.08
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,450.45
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.24
Walmart,"Office Supplies, Stationery and Accessories",2020/05/25,34.55
Dollarama,"Office Supplies, Stationery and Accessories",2020/05/31,30.25
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.75
Water Depot,Spring Water,2020/06/01,7.49
Alectra Utilities Corporation,Public Utilities,2020/06/11,111.64
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/13,102.68
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/06/22,200.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/06/22,125.00
Water Depot,Spring Water,2020/06/24,7.49
Village Media Inc,Advertising,2020/06/26,500.00
Corus Sales Inc.,Advertising,2020/06/28,560.00
My Broadcasting Corp.,Advertising,2020/06/28,800.00
Star Metroland Media,Advertising,2020/06/28,877.00
Rogers,Cable and Internet Fees,2020/06/30,93.53
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.75
CREEMORE ECHO,Advertising,2020/07/03,573.75
2449125 ONTARIO INC.,Public Utilities,2020/07/07,26.63
2449125 ONTARIO INC.,Public Utilities,2020/07/07,101.86
Madhunt Publishing,Advertising,2020/07/07,1000.00
Rogers,Cable and Internet Fees,2020/07/08,99.25
BLOOMCO,Consumable Items for Constituency Offices (COVID19),2020/07/10,59.90
Star Metroland Media,Advertising,2020/07/12,498.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,105.55
Alectra Utilities Corporation,Public Utilities,2020/07/14,191.04
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/17,61.09
Riverside Press,Advertising,2020/07/17,450.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.53
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/07/23,125.00
Wilton Floor & Wall Coverings Ltd.,Office Renovations,2020/07/24,1581.43
Corus Sales Inc.,Advertising,2020/07/26,1120.00
Star Metroland Media,Advertising,2020/07/26,498.00
Village Media Inc,Advertising,2020/07/26,500.00
"Weatherall, Matthew",Janitorial Services and Maintenance,2020/07/29,200.00
2449125 ONTARIO INC.,Public Utilities,2020/07/30,129.84
2449125 ONTARIO INC.,Public Utilities,2020/07/31,25.81
Rogers,Cable and Internet Fees,2020/07/31,79.99
2449125 ONTARIO INC.,Office Rental and Related Fees,2020/08/01,1500.00
452 Victoria Inc.,Office Rental and Related Fees,2020/08/01,1450.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,52.46
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,46.75
Rogers,Cable and Internet Fees,2020/08/08,83.32
Star Metroland Media,Advertising,2020/08/09,498.00
