"Members – Detailed Contract Expenditures Report – Doherty, Todd – Q2 2021"
Supplier,Description,Date,Total
Majestic Designs Ltd,"Office Supplies, Stationery and Accessories",2020/03/23,22.67
BC Livestock Producers Co-operative Association,Advertising,2020/05/31,250.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/12,56.24
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/12,321.05
Meridian OneCap,Photocopier Rental and Related Costs,2020/06/23,214.82
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,108.24
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/24,169.00
Shaw Direct,Cable and Internet Fees,2020/06/26,245.73
Vista Radio Ltd,Advertising,2020/06/28,75.00
Vista Radio Ltd,Advertising,2020/06/28,75.00
"Prince George Citizen, The",Advertising,2020/06/29,300.00
Black Press Group Ltd.,Advertising,2020/06/30,205.25
Black Press Group Ltd.,Advertising,2020/06/30,730.50
Black Press Group Ltd.,Advertising,2020/06/30,195.25
Black Press Group Ltd.,Advertising,2020/06/30,170.25
Grand & Toy,Cleaning Products,2020/06/30,35.28
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,160.47
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,358.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,67.25
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,2.25
Canadian Springs,Spring Water,2020/07/01,18.63
"Majestic Management ""In Trust""","Office Rentals, Taxes, Common Area Fees",2020/07/01,173.25
Vista Radio Ltd,Advertising,2020/07/05,236.25
Vista Radio Ltd,Advertising,2020/07/05,236.25
Costco,Office Furniture and Fixtures,2020/07/07,123.19
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/07/08,62.68
London Drugs,Spring Water,2020/07/08,14.24
London Drugs,Spring Water,2020/07/08,7.41
Flags Unlimited,"Office Supplies, Stationery and Accessories",2020/07/10,663.35
Flags Unlimited,Freight,2020/07/10,201.66
Loblaws,"Office Supplies, Stationery and Accessories",2020/07/13,4.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,42.10
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/21,-2010.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,52.24
Meridian OneCap,Photocopier Rental and Related Costs,2020/07/23,184.93
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/23,546.00
Shaw Direct,Cable and Internet Fees,2020/07/26,245.73
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/29,-2798.00
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,335.21
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,340.48
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,242.95
"Majestic Management ""In Trust""","Office Rentals, Taxes, Common Area Fees",2020/08/01,165.00
"Majestic Management ""In Trust""",Office Rental and Related Fees,2020/08/01,600.00
0826193 B.C LTD,Advertising,2020/08/06,66.55
CANADIAN NETWORK BROADCASTING,Advertising,2020/08/06,660.45
Climb for Cancer PG,Advertising,2020/08/06,500.00
Central Builders Supply,"Office Supplies, Stationery and Accessories",2020/08/12,11.19
London Drugs,Computer Equipment,2020/08/13,21.15
London Drugs,Computer Equipment,2020/08/13,14.15
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,21.88
Meridian OneCap,Photocopier Rental and Related Costs,2020/08/25,235.45
Canadian Tire,Office Equipment,2020/08/30,135.59
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,144.34
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,340.48
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,9.00
"Majestic Management ""In Trust""",Office Rental and Related Fees,2020/09/01,600.00
"Majestic Management ""In Trust""","Office Rentals, Taxes, Common Area Fees",2020/09/01,173.25
Sooters Photography,External Printing Costs,2020/09/14,13.54
UPS Store,Courier Services,2020/09/22,51.48
Canada Post – Postes Canada,Courier Services,2020/09/23,11.47
"Majestic Management ""In Trust""",Office Rental and Related Fees,2020/10/01,600.00
