"Members – Detailed Contract Expenditures Report – Kmiec, Tom – Q2 2021"
Supplier,Description,Date,Total
ATIP,Accounting and Audit Services,2020/06/16,5.00
ATIP,Accounting and Audit Services,2020/06/16,5.00
ATIP,Accounting and Audit Services,2020/06/16,5.00
ATIP,Accounting and Audit Services,2020/06/16,5.00
ATIP,Accounting and Audit Services,2020/06/16,5.00
ATIP,Accounting and Audit Services,2020/06/19,5.00
ATIP,Accounting and Audit Services,2020/06/19,5.00
ATIP,Accounting and Audit Services,2020/06/19,5.00
ATIP,Accounting and Audit Services,2020/06/19,5.00
Shaw Cable,Cable and Internet Fees,2020/06/22,234.00
SIGN GURU South Inc.,Signage,2020/06/28,624.00
1963284 ALBERTA INC. O/A Mobile Signs,Advertising,2020/06/29,2574.00
ATIP,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/30,5.00
ATIP,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/30,5.00
Superstore,Consumable Items for Constituency Offices (COVID19),2020/06/30,5.98
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,22.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,106.88
Four Star Communications Inc,Professional Communication Services,2020/07/01,160.00
Great News Media,Advertising,2020/07/01,2580.00
Millican Ogden Community Association,Advertising,2020/07/01,250.00
Uline Shipping Supply Specialists,"Office Supplies, Stationery and Accessories",2020/07/02,40.00
Uline Shipping Supply Specialists,Freight,2020/07/02,17.31
ENTERPRISE PAPER PACKAGING & CLEANING SUPPLIES,Promotional Items,2020/07/06,150.00
"A&W, Auburn Village",Advertising,2020/07/10,476.20
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,928.44
Dollarama,Cleaning Products,2020/07/14,3.25
Uline Shipping Supply Specialists,"Office Supplies, Stationery and Accessories",2020/07/14,40.00
Uline Shipping Supply Specialists,Freight,2020/07/14,17.45
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,24.17
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/20,354.82
Government of Canada,Accounting and Audit Services,2020/07/20,5.00
Government of Canada,Accounting and Audit Services,2020/07/20,5.00
Government of Canada,Accounting and Audit Services,2020/07/20,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Government of Canada,Accounting and Audit Services,2020/07/21,5.00
Shaw Cable,Cable and Internet Fees,2020/07/22,234.00
Superstore,Spring Water,2020/07/27,6.09
Landsharkz,Gifts given as a matter of protocol,2020/07/28,93.50
Landsharkz,Postage and Parcel Post,2020/07/28,16.08
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,100.53
1141870 Alberta Ltd,Office Rental and Related Fees,2020/08/01,2150.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,106.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,31.40
Four Star Communications Inc,Professional Communication Services,2020/08/01,160.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.79
Uline,"Office Supplies, Stationery and Accessories",2020/08/06,570.00
Uline,Office Furniture and Fixtures,2020/08/06,101.00
Uline,Freight,2020/08/06,73.31
Amazon,"Office Supplies, Stationery and Accessories",2020/08/07,20.90
ATIP,Accounting and Audit Services,2020/08/10,5.00
ATIP,Accounting and Audit Services,2020/08/10,5.00
ATIP,Accounting and Audit Services,2020/08/10,5.00
ATIP,Accounting and Audit Services,2020/08/10,5.00
ATIP,Accounting and Audit Services,2020/08/10,5.00
ATIP,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/10,5.00
ATIP,Accounting and Audit Services,2020/08/10,5.00
