"Members – Detailed Contract Expenditures Report – Baldinelli, Tony – Q2 2021"
Supplier,Description,Date,Total
Ace Hardware,Office Decor,2020/04/09,23.98
Sobeys,Consumable Items for Constituency Offices (COVID19),2020/05/06,8.99
Fort Erie Observer,Advertising,2020/05/14,149.00
BEATTIES,Office Furniture and Fixtures,2020/05/15,359.99
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/05/27,24.99
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/05,44.99
Artista Design and Print Inc,"Householders ",2020/06/08,3190.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/08,52.49
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/08,151.05
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/10,44.99
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/16,338.30
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/18,-0.30
"Niagara-on-the-Lake Local, The",Advertising,2020/06/18,65.00
"Régional, le",Advertising,2020/06/18,540.00
No Frills,Cleaning Products,2020/06/19,10.88
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/23,4.47
"Niagara-on-the-Lake Local, The",Advertising,2020/06/25,240.00
Star Metroland Media,Advertising,2020/06/28,300.00
Cogeco,Cable and Internet Fees,2020/06/29,404.85
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,120.42
Niagara Now Ltd.,Advertising,2020/06/30,150.00
"Régional Hamilton-Niagara, Le",Advertising,2020/06/30,400.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,293.74
Fort Erie Observer,Advertising,2020/07/01,169.00
N.E.E.D. Central Cleaning Services,Janitorial Services and Maintenance,2020/07/01,180.00
"Niagara-on-the-Lake Local, The",Advertising,2020/07/02,65.00
Star Metroland Media,Advertising,2020/07/05,300.00
"Niagara-on-the-Lake Local, The",Advertising,2020/07/09,65.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,180.84
"Niagara-on-the-Lake Local, The",Advertising,2020/07/16,65.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,22.41
"Accu-Lock and Security. ","Office Supplies, Stationery and Accessories",2020/07/22,60.00
Models By Mann,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/23,320.00
"Niagara-on-the-Lake Local, The",Advertising,2020/07/23,65.00
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/07/25,180.00
Cogeco,Cable and Internet Fees,2020/07/29,404.85
Niagara Now Ltd. The Lake Report,Advertising,2020/07/30,200.00
"Niagara-on-the-Lake Local, The",Advertising,2020/07/30,65.00
Fort Erie Observer,Advertising,2020/07/31,138.00
1736104 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2920.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.00
NM Brother's Corp.,Office Rental and Related Fees,2020/08/01,625.00
NIAGARA ESCARPMENT VIEWS,Advertising,2020/08/03,249.00
BEATTIES,"Office Supplies, Stationery and Accessories",2020/08/05,154.24
"Niagara-on-the-Lake Local, The",Advertising,2020/08/06,65.00
"Niagara-on-the-Lake Local, The",Advertising,2020/08/13,65.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,1645.00
BEATTIES,Office Equipment,2020/08/19,479.99
Artista Design and Print Inc,Signage,2020/08/20,2202.00
"Niagara-on-the-Lake Local, The",Advertising,2020/08/20,65.00
Chabad of Niagara,Advertising,2020/08/21,100.00
"Niagara-on-the-Lake Local, The",Advertising,2020/08/27,65.00
Fort Erie Observer,Advertising,2020/08/28,138.00
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/08/29,180.00
Star Metroland Media,Advertising,2020/08/30,300.00
1736104 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2920.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,158.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,12.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,25.00
NM Brother's Corp.,Office Rental and Related Fees,2020/09/01,625.00
"Niagara-on-the-Lake Local, The",Advertising,2020/09/03,65.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/15,1465.00
Niagara Now Ltd.,Advertising,2020/09/16,200.00
Canada Post – Postes Canada,Courier Services,2020/09/23,12.37
Canada Post – Postes Canada,Courier Services,2020/09/23,19.52
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/09/25,180.00
Canada Post – Postes Canada,Courier Services,2020/09/30,9.53
1736104 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2920.50
NM Brother's Corp.,Office Rental and Related Fees,2020/10/01,625.00
