"Members – Detailed Contract Expenditures Report – Van Bynen, Tony – Q2 2021"
Supplier,Description,Date,Total
Neil Moore,Professional Communication Services,2020/03/30,150.0000
staples,Toner,2020/04/04,123.9800
staples,"Office Supplies, Stationery and Accessories",2020/04/04,11.9800
"Auroran Newspaper Company Ltd, The",Advertising,2020/04/23,100.0000
Neil Moore,Writer,2020/04/24,325.0000
bell,Cable and Internet Fees,2020/04/26,74.9500
Star Metroland Media,Advertising,2020/04/26,335.0000
Star Metroland Media,Advertising,2020/04/26,65.0000
Cassidy Flowers,Gifts given as a matter of protocol,2020/05/02,119.9500
STAPLES,Toner,2020/05/03,105.9900
STAPLES,Toner,2020/05/03,123.9800
"Bell ",Cable and Internet Fees,2020/05/26,74.9500
Central Supplies Inc.,Toner,2020/05/28,806.9900
Neil Moore,Writer,2020/05/31,550.0000
Star Metroland Media,Constituency Mail,2020/05/31,5557.7000
Star Metroland Media,Advertising,2020/05/31,426.1100
"Bell ",Internet (COVID19),2020/06/06,59.9500
"Bell ",Internet (COVID19),2020/06/06,59.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/13,31.5900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Star Metroland Media,Advertising,2020/06/17,500.0000
Village Media Inc,Advertising,2020/06/24,200.0000
Village Media Inc,Advertising,2020/06/24,120.0000
Village Media Inc,Advertising,2020/06/24,180.0000
"Auroran Newspaper Company Ltd, The",Advertising,2020/06/25,250.0000
ZOOM VIDEO COMMUNICATIONS,Licence Renewal,2020/06/25,20.0000
"Bell ",Internet (COVID19),2020/06/26,74.9500
Star Metroland Media,Advertising,2020/06/28,379.0100
Star Metroland Media,Advertising,2020/06/28,73.8900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,344.0200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,222.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers,Cable and Internet Fees,2020/07/01,159.9900
Bellwether Technologies,Professional Communication Services,2020/07/02,1324.1600
Neil Moore,Photography and Video Services,2020/07/02,75.0000
Neil Moore,Writer,2020/07/02,75.0000
Neil Moore,Writer,2020/07/02,100.0000
Neil Moore,Photography and Video Services,2020/07/02,175.0000
Neil Moore,Writer,2020/07/02,75.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,172.6800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.3300
Walmart,Consumable Items for Constituency Offices (COVID19),2020/07/24,71.6400
ZOOM VIDEO COMMUNICATIONS,Licence Renewal,2020/07/25,20.0000
BELL,Internet (COVID19),2020/07/26,74.9500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,241.9000
Grand & Toy,Cleaning Products,2020/07/31,69.5400
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
House of Commons – Chambre des communes,Language Training,2020/07/31,110.5600
Rogers,Cable and Internet Fees,2020/07/31,159.9900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,313.7700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,222.0000
LILCRIS INDUSTRIES LIMITED,Office Rental and Related Fees,2020/08/01,2738.0000
Star Metroland Media,Advertising,2020/08/02,120.9900
Neil Moore,Writer,2020/08/04,375.0000
NGP VAN Inc.,Professional Communication Services,2020/08/07,540.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
NACCA,Subject Matter Expert,2020/08/19,850.0000
Bell Canada,Internet (COVID19),2020/08/26,128.0200
Village Media Inc,Advertising,2020/08/31,175.0000
Village Media Inc,Advertising,2020/08/31,75.0000
Village Media Inc,Advertising,2020/08/31,175.0000
Village Media Inc,Advertising,2020/08/31,75.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,195.0400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,222.0000
LILCRIS INDUSTRIES LIMITED,Office Rental and Related Fees,2020/09/01,2738.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
"Moore, Neil",Writer,2020/09/02,1100.0000
HootSuite,Licence Renewal,2020/09/21,5.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
Canada Post – Postes Canada,Courier Services,2020/09/23,21.2600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4800
Canada Post – Postes Canada,Courier Services,2020/09/23,206.7800
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.5800
Canada Post – Postes Canada,Courier Services,2020/09/23,53.6400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.0400
House of Commons – Chambre des communes,"Pins, Flags and Poles",2020/09/25,527.0800
LILCRIS INDUSTRIES LIMITED,Office Rental and Related Fees,2020/10/01,2738.0000
